序号,学校代码,学校名称,办别,所属区,区代码
371,JD0032,上海嘉定区世界外国语学校,PUBLIC,嘉定区,JD
372,JD0033,上海市嘉定区金鹤学校,PUBLIC,嘉定区,JD
373,JD0034,上海市嘉定区嘉二实验学校,PUBLIC,嘉定区,JD
374,JD0035,上海嘉定区民办华盛怀少学校,PRIVATE,嘉定区,JD
375,PD0001,上海市建平中学西校,PUBLIC,浦东区,PD
376,PD0002,上海市进才中学北校,PUBLIC,浦东区,PD
377,PD0003,华东师范大学附属东昌中学南校,PUBLIC,浦东区,PD
378,PD0004,上海市洋泾中学东校,PUBLIC,浦东区,PD
379,PD0005,上海市上南中学东校,PUBLIC,浦东区,PD
380,PD0006,上海市上南中学北校,PUBLIC,浦东区,PD
381,PD0007,上海市三林中学北校,PUBLIC,浦东区,PD
382,PD0008,上海市洪山中学,PUBLIC,浦东区,PD
383,PD0009,上海市上南中学南校,PUBLIC,浦东区,PD
384,PD0010,上海市清流中学,PUBLIC,浦东区,PD
385,PD0011,上海市浦泾中学,PUBLIC,浦东区,PD
386,PD0012,上海交通大学附属浦东实验中学北校,PUBLIC,浦东区,PD
387,PD0013,上海市浦东新区教育学院附属实验中学,PUBLIC,浦东区,PD
388,PD0014,上海市洋泾中学南校,PUBLIC,浦东区,PD
389,PD0015,上海市东昌东校,PUBLIC,浦东区,PD
390,PD0016,上海市罗山中学,PUBLIC,浦东区,PD
391,PD0017,上海市金杨中学,PUBLIC,浦东区,PD
392,PD0018,上海市金川中学,PUBLIC,浦东区,PD
393,PD0019,上海市华林中学,PUBLIC,浦东区,PD
394,PD0020,上海市孙桥中学,PUBLIC,浦东区,PD
395,PD0021,上海市育人中学,PUBLIC,浦东区,PD
396,PD0022,上海市东林中学,PUBLIC,浦东区,PD
397,PD0023,上海市施湾中学,PUBLIC,浦东区,PD
398,PD0024,上海市黄楼中学,PUBLIC,浦东区,PD
399,PD0025,上海市王港中学,PUBLIC,浦东区,PD
400,PD0026,上海市杨园中学,PUBLIC,浦东区,PD
401,PD0027,上海市东沟中学,PUBLIC,浦东区,PD
402,PD0028,上海师范大学附属高桥实验中学,PUBLIC,浦东区,PD
403,PD0029,上海市凌桥中学,PUBLIC,浦东区,PD
404,PD0030,上海市顾路中学,PUBLIC,浦东区,PD
405,PD0031,上海市浦东模范中学,PUBLIC,浦东区,PD
406,PD0032,上海市川沙中学华夏西校,PUBLIC,浦东区,PD
407,PD0033,上海市陆行中学北校,PUBLIC,浦东区,PD
408,PD0034,上海市致远中学,PUBLIC,浦东区,PD
409,PD0035,上海市浦东新区进才实验中学南校,PUBLIC,浦东区,PD
410,PD0036,上海市蔡路中学,PUBLIC,浦东区,PD
411,PD0037,上海市六团中学,PUBLIC,浦东区,PD
412,PD0038,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",PUBLIC,浦东区,PD
413,PD0039,上海市浦兴中学,PUBLIC,浦东区,PD
414,PD0040,上海浦东新区民办恒洋外国语学校,PRIVATE,浦东区,PD
415,PD0041,上海浦东新区民办欣竹中学,PRIVATE,浦东区,PD
416,PD0042,上海市新云台中学,PUBLIC,浦东区,PD
417,PD0043,上海市陆行中学南校,PUBLIC,浦东区,PD
418,PD0044,上海市杨思中学,PUBLIC,浦东区,PD
419,PD0045,上海民办浦东交中初级中学,PRIVATE,浦东区,PD
420,PD0046,上海市建平香梅中学,PUBLIC,浦东区,PD
421,PD0047,上海市南汇第二中学,PUBLIC,浦东区,PD
422,PD0048,上海市南汇第三中学,PUBLIC,浦东区,PD
423,PD0049,上海市新港中学,PUBLIC,浦东区,PD
