district,school_name,min_score
闵行区,华东师范大学第二附属中学闵行紫竹分校,757.50
闵行区,上海师范大学附属中学闵行分校,736.00
闵行区,上海交通大学附属中学闵行分校,761.00
闵行区,华东师范大学第二附属中学,761.00
闵行区,上海师范大学附属中学,730.50
杨浦区,复旦大学附属中学青浦分校,757.00
杨浦区,华东师范大学第二附属中学临港奉贤分校,737.50
杨浦区,上海市朱家角中学,685.50
杨浦区,上海市奉贤中学,734.50
杨浦区,上海市崇明中学,702.50
闵行区,上海市格致中学,744.00
闵行区,上海市大同中学,729.50
闵行区,上海市向明中学（浦江校区）,723.50
闵行区,上海市光明中学,705.50
闵行区,上海市敬业中学,709.00
闵行区,上海市卢湾高级中学,706.50
闵行区,上海市第二中学（梅陇校区）,735.00
闵行区,上海市南洋模范中学,748.00
闵行区,上海市位育中学,741.00
闵行区,上海市南洋中学,723.50
闵行区,上海市第三女子中学,727.50
闵行区,上海市延安中学,747.50
闵行区,上海市复旦中学,727.00
闵行区,上海市市西中学,736.50
闵行区,上海市进才中学,726.50
闵行区,上海市新中高级中学,722.00
闵行区,上海市市北中学,701.00
宝山区,上海南汇中学,705.50
宝山区,上海交通大学附属中学,760.00
宝山区,复旦大学附属中学,762.00
宝山区,上海大学附属中学,729.50
宝山区,上海师范大学附属中学宝山分校,743.00
宝山区,华东师范大学第二附属中学（宝山校区）,756.50
宝山区,华东师范大学第二附属中学,750.50
闵行区,上海师范大学附属中学松江分校,726.00
闵行区,上海外国语大学附属外国语学校松江云间中学,736.00
闵行区,上海市松江一中,720.50
闵行区,上海市青浦高级中学,718.50
闵行区,上海市朱家角中学,702.00
闵行区,上海市奉贤中学,735.50
闵行区,上海市崇明中学,704.50
宝山区,上海市格致中学,742.50
宝山区,上海市大同中学,736.00
宝山区,上海市光明中学,681.50
宝山区,上海市第二中学,712.50
宝山区,上海市南洋模范中学,736.50
宝山区,上海市位育中学,737.50
宝山区,上海市南洋中学,717.00
宝山区,上海市第三女子中学,715.50
宝山区,上海市延安中学,746.00
宝山区,上海市复旦中学,698.00
宝山区,上海市市西中学,727.50
宝山区,上海市进才中学,723.50
宝山区,上海市新中高级中学,708.50
宝山区,上海市市北中学,716.50
宝山区,上海市回民中学,685.00
嘉定区,上海南汇中学,693.50
嘉定区,上海交通大学附属中学,762.50
嘉定区,复旦大学附属中学,761.50
嘉定区,上海交通大学附属中学嘉定分校,760.00
嘉定区,上海师范大学附属中学嘉定新城分校,730.00
嘉定区,华东师范大学第二附属中学,754.00
嘉定区,上海师范大学附属中学,726.00
宝山区,复旦大学附属中学青浦分校,749.50
宝山区,上海市朱家角中学,687.50
宝山区,上海市奉贤中学,727.50
宝山区,上海市崇明中学,703.00
嘉定区,上海市格致中学,729.50
嘉定区,上海市大同中学,730.00
嘉定区,上海市光明中学,701.00
嘉定区,上海市卢湾高级中学,691.50
嘉定区,上海市第二中学,721.50
嘉定区,上海市南洋模范中学,742.50
嘉定区,上海市位育中学,746.50
嘉定区,上海市南洋中学,715.50
嘉定区,上海市第三女子中学,726.50
嘉定区,上海市延安中学,738.00
嘉定区,上海市复旦中学,713.50
嘉定区,上海市进才中学,723.00
嘉定区,上海市新中高级中学,693.00
嘉定区,上海市市北中学,698.00
嘉定区,上海市回民中学,675.00
嘉定区,上海市华东模范中学,686.00
嘉定区,上海市晋元高级中学,723.00
嘉定区,上海市曹杨第二中学,739.50
嘉定区,上海市宜川中学,694.00
