id,name,short_name,district,tier,district_rank,estimated_student_count
507,上海市三林中学东校,上海市三林中,浦东新区,,,189
230,上海市二十五中学,上海市二十五,杨浦区,,,114
335,上海市大华中学,上海市大华中,宝山区,,,218
153,上海市华灵学校,上海市华灵学,静安区,,,98
334,上海市大场中学,上海市大场中,宝山区,,,283
699,上海市崇明中学附属东门中学,上海市崇明中,崇明区,一梯队,3,528
232,上海市杨浦区教育学院附属中学,上海市杨浦区,杨浦区,,,103
159,上海市延河中学,上海市延河中,普陀区,,,92
128,上海市静安区实验中学,上海市静安区,静安区,,,127
493,上海市建平实验张江中学,上海市建平实,浦东新区,,,257
447,上海市东沟中学,上海市东沟中,浦东新区,,,193
290,上海市民办上宝中学,上海市民办上,闵行区,一梯队,1,411
383,华东师范大学附属宝山宝杨实验学校,华东师范大学,宝山区,,,74
563,上海市张堰第二中学,上海市张堰第,金山区,,,98
429,上海市上南中学南校,上海市上南中,浦东新区,,,236
277,上海市闵行区七宝第三中学,上海市闵行区,闵行区,,,373
468,上海市新港中学,上海市新港中,浦东新区,,,471
278,华东师范大学第二附属中学附属初级中学,华东师范大学,闵行区,,,437
522,上海民办启能东方外国语学校,上海民办启能,浦东新区,,,94
139,上海市回民中学,上海市回民中,静安区,,,243
656,上海市奉贤区塘外中学,上海市奉贤区,奉贤区,,,105
201,上海市第五中学,上海市第五中,虹口区,,,
451,上海市浦东模范中学,上海市浦东模,浦东新区,三梯队,21,343
599,上海市松江区佘山外国语实验学校,上海市松江区,松江区,,,107
676,上海市奉贤区庄行学校,上海市奉贤区,奉贤区,,,84
327,上海市吴淞第二中学,上海市吴淞第,宝山区,,,218
560,上海市亭新中学,上海市亭新中,金山区,,,196
23,上海市嘉定区苏民学校,,嘉定区,,,247
129,上海市朝阳中学,上海市朝阳中,静安区,,,54
514,上海市长岛中学,上海市长岛中,浦东新区,,,189
342,上海市宝山区乐之中学,上海市宝山区,宝山区,,,218
309,上海市民办德英乐实验学校,上海市民办德,闵行区,,,129
271,上海市实验学校西校,上海市实验学,闵行区,,,437
680,上海市奉贤区泰日学校,上海市奉贤区,奉贤区,,,118
601,东华大学附属实验学校松江小昆山分校,东华大学附属,松江区,,,107
41,上海市晋元高级中学附属学校,晋元附校,普陀区,,,390
471,上海市坦直中学,上海市坦直中,浦东新区,,,189
2,上海市嘉定区方泰中学,,嘉定区,,,62
130,上海市市北初级中学,上海市市北初,静安区,一梯队,1,402
510,上海市高东中学,上海市高东中,浦东新区,,,94
526,上海市张江集团中学,上海市张江集,浦东新区,一梯队,2,94
511,上海市南汇第一中学,上海市南汇第,浦东新区,三梯队,18,471
295,上海市闵行区诸翟学校,上海市闵行区,闵行区,,,167
238,上海市国和中学,上海市国和中,杨浦区,,,498
301,上海师范大学康城实验学校,上海师范大学,闵行区,,,373
419,上海市嘉定区嘉二实验学校,上海市嘉定区,嘉定区,,,155
107,上海市虹桥中学,上海市虹桥中,长宁区,,,91
145,同济大学附属七一中学,同济大学附属,静安区,,,217
157,上海市洵阳中学,上海市洵阳中,普陀区,,,46
56,市八初级中学,市八初级中学,黄浦区,三梯队,9,135
102,上海师范大学第三附属实验学校,上海师范大学,徐汇区,,,269
264,上海市七宝中学附属闵行金都实验中学,上海市七宝中,闵行区,,,187
121,上海市育才初级中学,上海市育才初,静安区,三梯队,10,197
140,上海市民立中学,上海市民立中,静安区,三梯队,11,107
535,上海市宣桥学校,上海市宣桥学,浦东新区,,,189
305,上海市闵行区君莲学校,上海市闵行区,闵行区,,,129
660,上海市奉贤区洪庙中学,上海市奉贤区,奉贤区,,,131
7,上海市嘉定区徐行中学,,嘉定区,,,77
594,上海市松江区李塔汇学校,上海市松江区,松江区,,,71
371,上海市宝山区新民实验学校,上海市宝山区,宝山区,,,148
625,上海市青浦区徐泾中学,上海市青浦区,青浦区,,,368
258,上海市航华中学,上海市航华中,闵行区,,,300
614,上海赫贤学校,上海赫贤学校,松江区,,,71
85,上海市紫阳中学,上海市紫阳中,徐汇区,三梯队,18,255
126,上海市静安区市北初级中学北校,上海市静安区,静安区,一梯队,1,214
251,上海市育鹰学校,上海市育鹰学,杨浦区,,,85
17,上海市嘉定区华江中学,,嘉定区,,,170
476,上海市南汇第四中学,上海市南汇第,浦东新区,三梯队,20,600
106,上海市天山初级中学,上海市天山初,长宁区,三梯队,7,219
260,上海市龙柏中学,上海市龙柏中,闵行区,,,131
566,上海市金山区教育学院附属中学,上海市金山区,金山区,,,135
61,民办立达中学,民办立达中学,黄浦区,一梯队,1,350
59,清华中学,清华中学,黄浦区,,,53
418,上海市嘉定区金鹤学校,上海市嘉定区,嘉定区,,,240
693,上海市崇明区建设中学,上海市崇明区,崇明区,,,39
22,上海市嘉定区朱桥学校,,嘉定区,,,67
552,华东师范大学第二附属中学前滩学校,华东师范大学,浦东新区,,,94
431,上海市浦泾中学,上海市浦泾中,浦东新区,,,94
475,上海市浦东教育发展研究院附属中学,上海市浦东教,浦东新区,,,150
135,上海市岭南中学,上海市岭南中,静安区,三梯队,16,121
450,上海市顾路中学,上海市顾路中,浦东新区,,,94
536,上海市航头学校,上海市航头学,浦东新区,,,189
550,上海民办华曜浦东实验学校,上海民办华曜,浦东新区,一梯队,3,94
590,上海市松江区民办茸一中学,上海市松江区,松江区,一梯队,2,321
287,上海市闵行第三中学,上海市闵行第,闵行区,,,262
5,上海市嘉定区南苑中学,,嘉定区,,,139
593,上海市松江区洞泾学校,上海市松江区,松江区,,,214
339,上海市民办交华中学,上海市民办交,宝山区,一梯队,3,501
282,上海师范大学附属闵行第三中学,上海师范大学,闵行区,,,167
681,上海市奉贤中学附属三官堂学校,上海市奉贤中,奉贤区,,,51
517,上海市洋泾菊园实验学校,上海市洋泾菊,浦东新区,一梯队,1,189
127,上海市新中初级中学,上海市新中初,静安区,,,302
568,上海市西林中学,上海市西林中,金山区,二梯队,4,503
623,上海市青浦区东方中学,上海市青浦区,青浦区,三梯队,6,606
315,上海博世凯外国语学校,上海博世凯外,闵行区,,,103
167,上海兰田中学,上海兰田中学,普陀区,二梯队,4,399
347,上海市顾村中学,上海市顾村中,宝山区,,,74
481,上海民办光华中学,上海民办光华,浦东新区,,,94
372,上海市刘行新华实验学校,上海市刘行新,宝山区,,,148
377,上海市行知中学附属宝山实验学校,上海市行知中,宝山区,一梯队,4,109
488,上海市浦东新区三灶实验中学,上海市浦东新,浦东新区,,,189
259,上海市闵行区上虹中学,上海市闵行区,闵行区,,,225
4,上海市嘉定区迎园中学,,嘉定区,二梯队,7,418
610,上海市松江区叶榭学校,上海市松江区,松江区,,,107
368,上海市宝山区顾村实验学校,上海市宝山区,宝山区,,,222
330,上海市宝山区求真中学北校,上海市宝山区,宝山区,二梯队,7,74
181,华东师范大学附属外国语实验学校,华东师范大学,普陀区,,,184
42,上海市宜川中学附属学校,宜川附校,普陀区,,,191
311,上海市民办协和双语尚音学校,上海市民办协,闵行区,,,103
52,大境初级中学,大境初级中学,黄浦区,,,315
497,上海市香山中学,上海市香山中,浦东新区,,,171
243,上海市复旦实验中学,上海市复旦实,杨浦区,,,256
146,上海市向东中学,上海市向东中,静安区,,,121
530,上海市黄路学校,上海市黄路学,浦东新区,,,94
462,上海市陆行中学南校,上海市陆行中,浦东新区,,,94
619,上海市三新学校松江东部分校,上海市三新学,松江区,一梯队,4,428
265,上海市闵行区北桥中学,上海市闵行区,闵行区,,,154
268,上海市闵行区浦江第三中学,上海市闵行区,闵行区,,,393
95,上海师大附中附属龙华中学,上海师大附中,徐汇区,三梯队,16,148
6,上海市嘉定区黄渡中学,,嘉定区,,,217
175,上海华东师范大学附属进华中学,上海华东师范,普陀区,一梯队,1,319
298,上海市闵行区纪王学校,上海市闵行区,闵行区,,,141
564,上海市廊下中学,上海市廊下中,金山区,,,61
233,上海市同济初级中学,上海市同济初,杨浦区,,,199
292,上海市文来中学,上海市文来中,闵行区,一梯队,2,475
668,上海市奉贤区肖塘中学,上海市奉贤区,奉贤区,,,84
653,上海市奉贤区实验中学,上海市奉贤区,奉贤区,,,526
489,上海市实验学校南校,上海市实验学,浦东新区,一梯队,1,189
141,上海市第一中学,上海市第一中,静安区,,,161
325,上海市海滨第二中学,上海市海滨第,宝山区,,,153
235,上海市思源中学,上海市思源中,杨浦区,,,171
635,上海政法学院附属青浦崧淀中学,上海政法学院,青浦区,,,99
183,上海市洛川学校,上海市洛川学,普陀区,,,69
674,上海市奉贤区柘林学校,上海市奉贤区,奉贤区,,,67
562,上海市山阳中学,上海市山阳中,金山区,,,98
115,上海市延安初级中学,上海市延安初,长宁区,二梯队,6,602
186,上海市普陀区教育学院附属学校,上海市普陀区,普陀区,,,46
