year,school_code,district,quota_count
2026,102057,杨浦区,46
2026,152003,杨浦区,6
2026,012001,杨浦区,9
2026,012003,杨浦区,3
2026,012005,杨浦区,4
2026,012007,杨浦区,5
2026,012008,杨浦区,4
2026,012009,杨浦区,2
2026,012011,杨浦区,4
2026,042001,杨浦区,3
2026,042008,杨浦区,2
2026,042035,杨浦区,2
2026,043015,杨浦区,2
2026,042036,杨浦区,3
2026,052001,杨浦区,5
2026,052002,杨浦区,4
2026,053004,杨浦区,3
2026,062001,杨浦区,6
2026,062002,杨浦区,2
2026,062003,杨浦区,5
2026,062004,杨浦区,8
2026,062011,杨浦区,6
2026,063004,杨浦区,2
2026,072002,杨浦区,2
2026,073003,杨浦区,6
2026,092001,杨浦区,16
2026,092002,杨浦区,15
2026,093001,杨浦区,12
2026,102004,杨浦区,10
2026,102032,杨浦区,10
2026,103002,杨浦区,8
2026,122001,杨浦区,4
2026,123001,杨浦区,3
2026,122002,杨浦区,6
2026,122003,杨浦区,5
2026,122004,杨浦区,3
2026,132001,杨浦区,12
2026,132002,杨浦区,12
2026,133001,杨浦区,9
2026,132003,杨浦区,5
2026,133003,杨浦区,4
2026,142001,杨浦区,5
2026,142002,杨浦区,8
2026,142004,杨浦区,3
2026,152001,杨浦区,12
2026,152002,杨浦区,9
2026,152004,杨浦区,4
2026,153001,杨浦区,10
2026,153004,杨浦区,8
2026,153005,杨浦区,8
2026,151078,杨浦区,13
2026,152005,杨浦区,15
2026,162000,杨浦区,2
2026,163002,杨浦区,4
2026,172001,杨浦区,4
2026,173001,杨浦区,4
2026,172002,杨浦区,5
2026,174003,杨浦区,2
2026,182001,杨浦区,6
2026,183002,杨浦区,5
2026,182002,杨浦区,4
2026,202001,杨浦区,2
2026,202002,杨浦区,2
2026,512000,杨浦区,2
2026,512001,杨浦区,3
2026,042032,闵行区,57
2026,102056,闵行区,37
2026,102057,闵行区,34
2026,152003,闵行区,22
2026,152006,闵行区,50
2026,012001,闵行区,6
2026,012003,闵行区,15
2026,012007,闵行区,15
2026,012008,闵行区,12
2026,012009,闵行区,10
2026,012010,闵行区,20
2026,012006,闵行区,23
2026,012011,闵行区,5
2026,042008,闵行区,16
2026,042035,闵行区,34
2026,043015,闵行区,20
2026,042002,闵行区,31
2026,042036,闵行区,10
2026,052001,闵行区,6
2026,052002,闵行区,8
2026,053004,闵行区,7
2026,062001,闵行区,8
