year,school_code,district,quota_count
2026,042001,奉贤区,1
2026,042035,奉贤区,1
2026,043015,奉贤区,2
2026,062002,奉贤区,4
2026,062011,奉贤区,2
2026,073003,奉贤区,2
2026,092002,奉贤区,1
2026,102004,奉贤区,1
2026,122001,奉贤区,3
2026,123001,奉贤区,6
2026,122002,奉贤区,3
2026,122003,奉贤区,6
2026,122004,奉贤区,4
2026,132001,奉贤区,4
2026,132002,奉贤区,3
2026,133001,奉贤区,4
2026,133003,奉贤区,3
2026,142001,奉贤区,3
2026,142004,奉贤区,4
2026,152001,奉贤区,2
2026,152002,奉贤区,5
2026,152004,奉贤区,15
2026,153001,奉贤区,4
2026,153004,奉贤区,5
2026,153005,奉贤区,3
2026,151078,奉贤区,3
2026,162000,奉贤区,2
2026,163002,奉贤区,6
2026,172001,奉贤区,2
2026,173001,奉贤区,8
2026,174003,奉贤区,2
2026,182001,奉贤区,10
2026,183002,奉贤区,10
2026,202001,奉贤区,5
2026,202002,奉贤区,3
2026,042032,崇明区,2
2026,102056,崇明区,2
2026,102057,崇明区,2
2026,152003,崇明区,1
2026,012011,崇明区,1
2026,062002,崇明区,1
2026,073003,崇明区,1
2026,102032,崇明区,2
2026,123001,崇明区,1
2026,132001,崇明区,18
2026,132002,崇明区,3
2026,133001,崇明区,4
2026,132003,崇明区,2
2026,133003,崇明区,4
2026,142004,崇明区,2
2026,152001,崇明区,4
2026,152002,崇明区,2
2026,152004,崇明区,6
2026,153001,崇明区,5
2026,153004,崇明区,5
2026,153005,崇明区,1
2026,152005,崇明区,3
2026,163002,崇明区,2
2026,173001,崇明区,1
2026,174003,崇明区,1
2026,182001,崇明区,2
2026,183002,崇明区,3
2026,202001,崇明区,2
2026,512000,崇明区,7
2026,512001,崇明区,3
2026,042032,虹口区,7
2026,102056,虹口区,20
2026,102057,虹口区,14
2026,152003,虹口区,9
2026,012001,虹口区,9
2026,012003,虹口区,2
2026,012007,虹口区,1
2026,012008,虹口区,2
2026,012009,虹口区,3
2026,012011,虹口区,2
2026,042001,虹口区,4
2026,042008,虹口区,2
2026,042035,虹口区,3
2026,043015,虹口区,3
2026,052001,虹口区,5
2026,052002,虹口区,2
2026,053004,虹口区,3
2026,062002,虹口区,2
2026,062003,虹口区,6
2026,062004,虹口区,5
2026,062011,虹口区,2
2026,063004,虹口区,7
2026,064001,虹口区,1
2026,072002,虹口区,2
2026,073003,虹口区,7
2026,073082,虹口区,5
2026,092001,虹口区,8
2026,092002,虹口区,7
