id,code,full_name,short_name,district,school_type_id,school_nature_id
121,102032,上海市控江中学,控江中学,杨浦区,CITY_MODEL,PUBLIC
260,173003,东华大学附属松江高级中学,东华附高,松江区,GENERAL,PUBLIC
134,122001,上海市七宝中学,七宝中学,闵行区,CITY_MODEL,PUBLIC
209,153011,上海市新场中学,新场中学,浦东新区,DISTRICT_MODEL,PUBLIC
334,154017,上海第二工业大学附属龚路中学,龚路中学,浦东新区,GENERAL,PUBLIC
154,124109,上海市民办文绮中学,文绮中学,闵行区,GENERAL,PRIVATE
102,074007,上海市甘泉外国语中学,甘泉外国语,普陀区,CITY_FEATURED,PUBLIC
224,154037,上海市民办育辛高级中学,育辛高中,浦东新区,GENERAL,PRIVATE
230,154053,上海市吴迅中学,吴迅中学,浦东新区,GENERAL,PUBLIC
327,124115,上海闵行区协和双语教科学校,协和教科,闵行区,GENERAL,PRIVATE
159,125113,上海星河湾双语学校,星河湾,闵行区,GENERAL,PRIVATE
106,074018,上海华东师范大学附属进华中学,进华中学,普陀区,GENERAL,PRIVATE
118,094003,上海市第五十二中学,市五十二中,虹口区,GENERAL,PUBLIC
113,094005,上海师范大学附属虹口中学,上师虹口,虹口区,DISTRICT_MODEL,PUBLIC
116,094006,同济大学附属澄衷中学,澄衷中学,虹口区,DISTRICT_MODEL,PUBLIC
153,124024,上海市古美高级中学,古美高中,闵行区,GENERAL,PUBLIC
211,153013,华东师范大学附属浦东临港高级中学,华师临港,浦东新区,DISTRICT_MODEL,PUBLIC
46,014004,上海音乐学院附属黄浦比乐中学,比乐中学,黄浦区,GENERAL,PUBLIC
94,064023,上海市民办新和中学,新和中学,静安区,GENERAL,PRIVATE
288,205006,上海奉贤区博华高级中学,博华高中,奉贤区,GENERAL,PRIVATE
273,182002,复旦大学附属中学青浦分校,复旦青浦,青浦区,CITY_POLICY,PUBLIC
42,012013,上海市五爱高级中学,五爱高中,黄浦区,DISTRICT_MODEL,PUBLIC
82,064004,上海戏剧学院附属高级中学,上戏附中,静安区,DISTRICT_MODEL,PUBLIC
114,093003,上海音乐学院虹口区北虹高级中学,北虹高中,虹口区,DISTRICT_MODEL,PUBLIC
241,155055,上海浦东民办未来科技学校,未来科技,浦东新区,GENERAL,PRIVATE
182,135034,上海宝山区世外学校,宝山世外,宝山区,GENERAL,PRIVATE
146,124010,上海市第二体育运动学校（上海市体育中学）,市体校,闵行区,GENERAL,PUBLIC
347,012011,同济大学科技中学,同济科技中学,黄浦区,CITY_POLICY,PUBLIC
350,074087,上海市晋元高级中学南校,晋元南校,普陀区,GENERAL,PUBLIC
351,124117,上海闵行区诺美高级中学,诺美高中,闵行区,GENERAL,PRIVATE
352,124118,上海圣华紫竹高级中学,圣华紫竹,闵行区,GENERAL,PRIVATE
354,135033,上海民办至德实验学校,至德实验,宝山区,GENERAL,PRIVATE
356,151019,上海市洋泾中学南校,洋泾南校,浦东新区,GENERAL,PUBLIC
364,204021,上海奉贤区博华高级中学,博华高中,奉贤区,GENERAL,PRIVATE
357,154054,上海市浦东新区群峰高级中学,群峰高中,浦东新区,GENERAL,PRIVATE
358,165009,华东师范大学第二附属中学金山实验学校,华二金山实验,金山区,CITY_MODEL,PUBLIC
360,173005,上海市松江区励滕高级中学,励滕高中,松江区,GENERAL,PRIVATE
361,173006,上海市松江区弘毅南洋高级中学,弘毅南洋,松江区,GENERAL,PRIVATE
362,181020,上海师范大学附属青浦实验中学,上师大青浦实验,青浦区,CITY_MODEL,PUBLIC
363,201004,上海市奉贤中学附属南桥中学,奉中南桥,奉贤区,GENERAL,PUBLIC
355,153014,上海市浦东临港科技高级中学,临港科技高中,浦东新区,CITY_MODEL,PUBLIC
163,128100,上海七宝德怀特高级中学,七宝德怀特,闵行区,GENERAL,PRIVATE
221,152007,上海市建平中学筠溪分校,建平筠溪,浦东新区,GENERAL,PUBLIC
337,154026,上海市三林中学东校,三林东校,浦东新区,GENERAL,PUBLIC
74,054013,华东政法大学附属中学,华政附中,长宁区,CITY_FEATURED,PUBLIC
119,094049,上海外国语大学附属外国语学校东校,上外东校,虹口区,GENERAL,PUBLIC
333,154015,上海市育民中学,育民中学,浦东新区,GENERAL,PUBLIC
341,164005,上海市民办交大南洋中学,交大南洋,金山区,GENERAL,PRIVATE
326,134002,上海市通河中学,通河中学,宝山区,DISTRICT_MODEL,PUBLIC
40,013001,上海市第八中学,市八中学,黄浦区,DISTRICT_MODEL,PUBLIC
91,064003,同济大学附属七一中学,同济七一,静安区,DISTRICT_MODEL,PRIVATE
335,154020,上海市江镇中学,江镇中学,浦东新区,GENERAL,PUBLIC
