year,district,school_id,school_name,min_score
2026,金山区,251,上海市民办永昌中学,501.00
2026,金山区,249,上海金山区世外学校,649.50
2026,金山区,358,华东师范大学第二附属中学金山实验学校,675.50
2026,金山区,267,上海市西外外国语学校,563.50
2026,金山区,277,上海青浦区世外高级中学,592.50
2026,金山区,364,上海奉贤区博华高级中学,547.50
2026,金山区,294,上海市崇明区堡镇中学,564.50
2026,金山区,295,上海民办民一中学,452.00
2026,徐汇区,1,上海市第二中学,689.50
2026,徐汇区,1,上海市第二中学（梅陇校区）,697.00
2026,徐汇区,1,上海市南洋模范中学,705.00
2026,徐汇区,1,上海市上海中学,716.00
2026,徐汇区,1,上海市位育中学,700.00
2026,徐汇区,1,复旦大学附属中学徐汇分校,711.00
2026,徐汇区,1,上海市南洋中学,685.50
2026,徐汇区,1,上海市民办西南高级中学,559.00
2026,徐汇区,1,上海市位育附属徐汇科技实验中学,690.00
2026,徐汇区,1,上海市中国中学,663.50
2026,徐汇区,1,上海市第五十四中学,644.00
2026,徐汇区,1,上海市徐汇中学,674.00
2026,徐汇区,1,上海市第四中学,653.50
2026,徐汇区,1,上海市零陵中学,638.00
2026,徐汇区,1,华东理工大学附属中学,628.50
2026,徐汇区,1,上海市西南位育中学,671.00
2026,徐汇区,1,上海市西南模范中学,613.50
2026,徐汇区,1,上海民办位育中学,658.50
2026,徐汇区,1,上海市紫竹园中学,607.00
2026,徐汇区,1,上海市徐汇区董恒甫高级中学,600.00
2026,徐汇区,1,上海交通大学附属中学,716.00
2026,徐汇区,1,复旦大学附属中学,715.50
2026,徐汇区,1,华东师范大学第二附属中学,715.50
2026,徐汇区,1,上海师范大学附属中学,701.00
2026,徐汇区,1,上海市同济黄浦设计创意中学,637.00
2026,徐汇区,1,上海市民办扬波中学,609.50
2026,徐汇区,1,上海市民办风范中学,552.50
2026,徐汇区,1,上海戏剧学院附属高级中学（艺术班）,615.50
2026,徐汇区,107,上海安生学校,539.50
2026,徐汇区,1,上海音乐学院附属安师实验中学（艺术班）,643.50
2026,徐汇区,1,上海市文来中学,671.50
2026,徐汇区,1,上海市民办燎原双语高级中学,618.50
2026,徐汇区,161,上海闵行区诺达双语学校,544.50
2026,徐汇区,162,上海闵行区民办德闳学校,541.50
2026,徐汇区,1,上海民办行中中学,508.50
2026,徐汇区,1,上海存志高级中学,632.50
2026,徐汇区,1,上海宝山区民办维尚高级中学,543.50
2026,徐汇区,1,上海创艺高级中学,581.50
2026,徐汇区,1,上海市宝山华曜高级中学,639.00
2026,徐汇区,180,上海市同洲模范学校,558.00
2026,徐汇区,181,上海金瑞学校,529.50
2026,徐汇区,190,上海市民办远东学校,549.00
2026,徐汇区,191,上海华旭双语学校,493.00
2026,徐汇区,1,上海市浦东新区民办浦实高级中学,620.50
2026,徐汇区,1,民办上海工商外国语职业学院附属中学,546.50
2026,徐汇区,233,上海市民办金苹果学校,545.00
2026,徐汇区,234,上海浦东新区民办东鼎外国语学校,576.50
2026,徐汇区,6,上海市民办尚德实验学校,631.50
2026,徐汇区,1,上海市民办交大南洋中学,573.00
2026,徐汇区,249,上海金山区世外学校,639.50
2026,徐汇区,1,上海市松江区科德高级中学,537.50
2026,徐汇区,266,上海领科双语学校,646.00
2026,徐汇区,267,上海市西外外国语学校,563.00
2026,徐汇区,269,上海赫贤学校,528.00
2026,徐汇区,270,上海松江区爱菊学校,610.50
2026,徐汇区,1,上海青浦区世外高级中学,649.00
2026,徐汇区,280,上海宋庆龄学校,580.00
2026,徐汇区,155,上海青浦区协和双语学校,611.00
2026,徐汇区,1,上海奉贤区博华高级中学,540.00
2026,徐汇区,1,上海市崇明区城桥中学,513.50
2026,徐汇区,1,上海市崇明区堡镇中学,548.00
2026,徐汇区,1,上海民办民一中学,472.00
2026,徐汇区,365,上海新纪元双语学校,517.50
2026,崇明区,1,上海市上海中学,705.50
2026,崇明区,323,上海田家炳中学,648.50
2026,崇明区,369,上海音乐学院附属安师实验中学（艺术班）,567.00
2026,崇明区,2,上海交通大学附属中学,705.00
2026,崇明区,3,复旦大学附属中学,711.50
2026,崇明区,175,上海民办行中中学,487.50
2026,崇明区,176,上海存志高级中学,654.50
2026,崇明区,179,上海市宝山华曜高级中学,543.50
2026,崇明区,4,华东师范大学第二附属中学,704.50
2026,崇明区,289,上海市崇明中学,655.50
2026,崇明区,290,上海市实验学校东滩高级中学,661.00
2026,崇明区,292,上海市崇明区民本中学,594.00
2026,崇明区,293,上海市扬子中学,585.00
2026,崇明区,291,上海市崇明区城桥中学,524.50
2026,崇明区,294,上海市崇明区堡镇中学,522.00
2026,崇明区,295,上海民办民一中学,441.50
2026,崇明区,296,上海市崇明区横沙中学,505.00
2026,崇明区,365,上海新纪元双语学校,464.50
2026,闵行区,175,上海民办行中中学,486.50
2026,闵行区,176,上海存志高级中学,621.00
2026,闵行区,177,上海宝山区民办维尚高级中学,501.00
2026,闵行区,178,上海创艺高级中学,488.00
2026,闵行区,179,上海市宝山华曜高级中学,576.50
2026,闵行区,180,上海市同洲模范学校,569.50
2026,闵行区,181,上海金瑞学校,506.00
2026,闵行区,182,上海宝山区世外学校,685.50
2026,闵行区,190,上海市民办远东学校,592.50
2026,闵行区,191,上海华旭双语学校,549.00
2026,闵行区,192,上海嘉定区民办华盛怀少学校,501.00
2026,闵行区,223,上海市浦东新区民办浦实高级中学,560.50
2026,闵行区,225,上海市民办丰华高级中学,594.00
2026,闵行区,227,民办上海工商外国语职业学院附属中学,588.00
2026,闵行区,233,上海市民办金苹果学校,561.50
2026,闵行区,234,上海浦东新区民办东鼎外国语学校,570.00
2026,闵行区,235,上海市民办尚德实验学校,633.50
2026,闵行区,341,上海市民办交大南洋中学,579.00
2026,闵行区,251,上海市民办永昌中学,501.50
2026,闵行区,249,上海金山区世外学校,636.50
2026,闵行区,263,上海市松江区科德高级中学,544.50
2026,闵行区,360,上海市松江区励滕高级中学,501.00
2026,闵行区,265,上海市松江九峰实验学校,653.50
2026,闵行区,266,上海领科双语学校,603.00
2026,闵行区,267,上海市西外外国语学校,569.00
2026,闵行区,269,上海赫贤学校,532.50
2026,闵行区,270,上海松江区爱菊学校,632.00
2026,闵行区,277,上海青浦区世外高级中学,507.00
2026,闵行区,278,上海青浦区宏润博源高级中学,500.50
2026,闵行区,280,上海宋庆龄学校,626.50
2026,闵行区,279,上海青浦区协和双语学校,515.00
2026,闵行区,342,上海美达菲双语高级中学,514.50
2026,闵行区,364,上海奉贤区博华高级中学,578.00
2026,闵行区,291,上海市崇明区城桥中学,554.50
2026,闵行区,294,上海市崇明区堡镇中学,607.00
2026,闵行区,295,上海民办民一中学,490.00
2026,闵行区,365,上海新纪元双语学校,468.00
