学校招生代码,学校名称,所在区,学校地址,收费标准,自招计划数,名额到区计划数,名额到区分数线,1-15志愿计划数,1-15志愿分数线,学校类型,录取难度等级,寄宿情况
143001,上海市嘉定区第二中学,嘉定区,待补充,1200,81,0,0,459,0,区重点,4,走读
202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,待补充,0,21,0,0,0,0,市重点,4,走读
13002,上海市五爱高级中学,黄浦区,待补充,1200,0,0,0,6,0,区重点,3,走读
44109,上海市徐汇中学,徐汇区,待补充,0,65,0,0,0,0,区重点,3,走读
62011,上海市回民中学,静安区,待补充,0,35,0,0,0,0,区重点,3,走读
74007,上海市甘泉外国语中学,普陀区,待补充,0,59,0,0,0,0,区重点,3,走读
124006,上海市闵行第三中学,闵行区,待补充,0,75,0,0,0,0,区重点,3,走读
133002,上海师范大学附属宝山罗店中学,宝山区,待补充,0,76,0,0,0,0,区重点,3,走读
142003,上海市嘉定区嘉一实验高级中学,嘉定区,待补充,1200,0,0,0,270,0,一般,3,走读
143002,上海师范大学附属嘉定高级中学,嘉定区,待补充,1200,0,0,0,450,0,一般,3,走读
143003,上海市嘉定区安亭高级中学,嘉定区,待补充,1200,0,0,0,360,0,一般,3,走读
144011,上海大学附属嘉定高级中学,嘉定区,待补充,1200,0,0,0,360,0,一般,3,走读
144010,上海市嘉定区中光高级中学,嘉定区,待补充,900,0,0,0,360,0,一般,3,走读
144006,上海市嘉定区封浜高级中学,嘉定区,待补充,900,0,0,0,450,0,一般,3,走读
153002,华东师范大学附属东昌中学,浦东新区,待补充,0,84,0,0,0,0,区重点,3,走读
514001,上海市崇明区城桥中学,崇明区,待补充,0,58,0,0,0,0,区重点,3,走读
14006,上海市同济黄浦设计创意中学,黄浦区,待补充,900,0,0,0,2,0,一般,2,走读
44223,上海市紫竹园中学,徐汇区,待补充,0,28,0,0,0,0,一般,2,走读
63004,上海市第六十中学,静安区,待补充,0,33,0,0,0,0,一般,2,走读
64020,上海田家炳中学,静安区,待补充,18700,0,0,0,2,0,一般,2,走读
134012,上海存志高级中学,宝山区,待补充,55000,0,0,0,6,0,一般,2,走读
134014,上海创艺高级中学,宝山区,待补充,62000,0,0,0,4,0,一般,2,走读
134015,上海市宝山华曜高级中学,宝山区,待补充,42000,0,0,0,4,0,一般,2,走读
135001,上海市同洲模范学校,宝山区,待补充,25200,0,0,0,5,0,一般,2,走读
135003,上海金瑞学校,宝山区,待补充,75000,0,0,0,5,0,一般,2,走读
135034,上海宝山区世外学校,宝山区,待补充,59000,0,0,0,5,0,一般,2,走读
145007,上海市民办远东学校,嘉定区,待补充,21600,0,0,0,193,0,一般,2,走读
145018,上海华旭双语学校,嘉定区,待补充,84500,0,0,0,120,0,一般,2,走读
145030,上海嘉定区民办华盛怀少学校,嘉定区,待补充,80000,0,0,0,28,0,一般,2,走读
154009,上海市香山中学,浦东新区,待补充,0,60,0,0,0,0,一般,2,走读
154013,上海海事大学附属北蔡高级中学,浦东新区,待补充,0,48,0,0,0,0,一般,2,走读
154039,上海市民办丰华高级中学,浦东新区,待补充,18000,0,0,0,1,0,一般,2,走读
154048,民办上海工商外国语职业学院附属中学,浦东新区,待补充,16800,0,0,0,2,0,一般,2,走读
155041,上海浦东新区民办东鼎外国语学校,浦东新区,待补充,25500,0,0,0,2,0,一般,2,走读
155043,上海市民办尚德实验学校,浦东新区,待补充,45000,0,0,0,3,0,一般,2,走读
163001,上海师范大学第二附属中学,金山区,待补充,0,48,0,0,0,0,一般,2,走读
164000,华东师范大学附属枫泾中学,金山区,待补充,0,36,0,0,0,0,一般,2,走读
164005,上海市民办交大南洋中学,金山区,待补充,16800,0,0,0,10,0,一般,2,走读
164008,上海市民办永昌中学,金山区,待补充,40000,0,0,0,4,0,一般,2,走读
165004,上海金山区世外学校,金山区,待补充,37000,0,0,0,3,0,一般,2,走读
173002,上海市松江区科德高级中学,松江区,待补充,100000,0,0,0,2,0,一般,2,走读
175018,上海市西外外国语学校,松江区,待补充,32000,0,0,0,4,0,一般,2,走读
175024,上海赫贤学校,松江区,待补充,102000,0,0,0,1,0,一般,2,走读
184005,上海市青浦区第一中学,青浦区,待补充,0,49,0,0,0,0,一般,2,走读
184006,上海青浦区世外高级中学,青浦区,待补充,108000,0,0,0,2,0,一般,2,走读
184007,上海青浦区宏润博源高级中学,青浦区,待补充,97500,0,0,0,1,0,一般,2,走读
185014,上海青浦区协和双语学校,青浦区,待补充,85000,0,0,0,2,0,一般,2,走读
