初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市罗山中学,上海市洋泾中学,726,否,408,136,127,137
上海市罗山中学,上海市高桥中学,717.5,否,388.5,119,130,136.5
上海市罗山中学,上海市川沙中学,720,否,393.5,121,132,132
上海市金杨中学,复旦大学附属中学,752,否,412.5,132,133,146
上海市金杨中学,上海中学东校,706.5,否,390,122,128,123
上海市金杨中学,上海市建平中学,742,否,406,134,129,138
上海市金杨中学,上海市进才中学,725,否,398.5,138,120,134
上海市金杨中学,上海南汇中学,706.5,否,383,129,124,134
上海市金杨中学,上海市浦东复旦附中分校,745.5,否,411.5,142,125,140
上海市金杨中学,上海市洋泾中学,723.5,否,401.5,136,128,130
上海市金杨中学,上海市高桥中学,714,否,394,137,115,132
上海市金杨中学,上海市川沙中学,735.5,否,404.5,146,121,138
上海市金川中学,上海交通大学附属中学,726.5,否,393,128,123,141
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市金川中学,上海中学东校,696,否,382,115,131,125
上海市金川中学,上海市建平中学,711,否,391.5,128,129,129
上海市金川中学,上海市进才中学,701,否,373.5,124,118,140
上海市金川中学,上海南汇中学,686.5,否,380,122,124,119
上海市金川中学,上海市浦东复旦附中分校,723.5,否,392.5,121,133,138
上海市金川中学,上海市洋泾中学,672,否,370.5,112,122,115
上海市金川中学,上海市高桥中学,680,否,376,116,124,119
上海市华林中学,上海中学东校,706.5,否,386.5,122,131,128
上海市华林中学,上海市建平中学,732.5,否,403.5,131,132,136
上海市华林中学,上海市进才中学,735.5,否,399.5,130,125,138
上海市华林中学,华东师范大学第二附属中学,756,否,414.5,141,129,148
上海市华林中学,上海南汇中学,704.5,否,390.5,120,128,124
上海市华林中学,上海市浦东复旦附中分校,743,否,409,138,129,142
