初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市闵行区七宝第二中学,上海市闵行中学,729,否,397,121,132,140
上海市罗阳中学,上海市向明中学（浦江校区）,735,否,404,140,129,143
上海市罗阳中学,上海交通大学附属中学,754.5,否,423.5,144,136,136
上海市罗阳中学,上海市七宝中学,745,否,405,132,131,141
上海市罗阳中学,华东师范大学第二附属中学闵行紫竹分校,736,否,408,129,131,136
上海市罗阳中学,上海师范大学附属中学闵行分校,733.5,否,401.5,134,131,137
上海市罗阳中学,上海交通大学附属中学闵行分校,744.5,否,403.5,128,130,143
上海市罗阳中学,上海市闵行中学,726.5,否,401.5,131,129,131
上海市闵行区莘松中学,上海市向明中学（浦江校区）,728,否,403,130,131,132
上海市闵行区莘松中学,上海市第二中学（梅陇校区）,736.5,否,403.5,133,130,139
上海市闵行区莘松中学,上海市上海中学,763.5,否,424,142,136,144
上海市闵行区莘松中学,上海市七宝中学,752.5,否,416.5,141,131,145
上海市闵行区莘松中学,华东师范大学第二附属中学闵行紫竹分校,746,否,414,125,140,137
上海市闵行区莘松中学,上海师范大学附属中学闵行分校,734.5,否,405.5,135,136,132
上海市闵行区莘松中学,上海交通大学附属中学闵行分校,752,否,410,137,130,143
上海市闵行区莘松中学,上海市闵行中学,730,否,390,125,125,145
上海市七宝中学附属闵行金都实验中学,上海市向明中学（浦江校区）,718.5,否,394.5,132,129,136
上海市七宝中学附属闵行金都实验中学,上海市第二中学（梅陇校区）,720,否,395.5,128,132,130
上海市七宝中学附属闵行金都实验中学,上海市七宝中学,737,否,405,142,127,140
上海市七宝中学附属闵行金都实验中学,华东师范大学第二附属中学闵行紫竹分校,734,否,401,122,134,136
上海市七宝中学附属闵行金都实验中学,上海师范大学附属中学闵行分校,722.5,否,401.5,134,128,131
上海市七宝中学附属闵行金都实验中学,上海交通大学附属中学闵行分校,707.5,否,383,124,122,137
上海市七宝中学附属闵行金都实验中学,上海市闵行中学,716,否,396,136,129,126
上海市七宝中学附属闵行金都实验中学,上海师范大学附属中学,733,否,402.5,136,131,140
上海市闵行区北桥中学,上海市向明中学（浦江校区）,738.5,否,410.5,131,133,136
上海市闵行区北桥中学,上海市七宝中学,751.5,否,412.5,134,132,143
上海市闵行区北桥中学,华东师范大学第二附属中学闵行紫竹分校,746,否,408,127,134,142
上海市闵行区北桥中学,上海师范大学附属中学闵行分校,743,否,404,133,130,140
上海市闵行区北桥中学,上海交通大学附属中学闵行分校,746,否,413,134,135,137
上海市闵行区北桥中学,上海市闵行中学,731,否,398,125,134,140
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市闵行区浦江第一中学,上海市向明中学（浦江校区）,730.5,否,402.5,136,126,139
上海市闵行区浦江第一中学,上海市第二中学（梅陇校区）,730,否,401.5,129,130,136
上海市闵行区浦江第一中学,上海市七宝中学,723.5,否,403,132,127,129
上海市闵行区浦江第一中学,华东师范大学第二附属中学闵行紫竹分校,735.5,否,401.5,127,131,141
上海市闵行区浦江第一中学,上海师范大学附属中学闵行分校,733.5,否,401.5,128,137,140
上海市闵行区浦江第一中学,上海交通大学附属中学闵行分校,740,否,409,131,135,140
上海市闵行区浦江第一中学,上海市闵行中学,725,否,392,128,129,141
上海市闵行区浦江第一中学,华东师范大学第二附属中学,759,否,419,133,139,142
上海市闵行区浦江第二中学,上海市第二中学（梅陇校区）,727,否,396.5,127,128,139
上海市闵行区浦江第二中学,上海市七宝中学,718.5,否,389.5,122,127,136
上海市闵行区浦江第二中学,华东师范大学第二附属中学闵行紫竹分校,734,否,400,127,131,143
上海市闵行区浦江第二中学,上海师范大学附属中学闵行分校,729,否,395,135,125,146
上海市闵行区浦江第二中学,上海交通大学附属中学闵行分校,742.5,否,404.5,132,127,140
上海市闵行区浦江第二中学,上海市闵行中学,728,否,399.5,130,127,136
上海市闵行区浦江第二中学,上海师范大学附属中学,721.5,否,389.5,125,121,140
上海市闵行区浦江第三中学,上海市第二中学（梅陇校区）,716.5,否,392.5,120,131,130
上海市闵行区浦江第三中学,上海市上海中学,743,否,407,128,135,140
上海市闵行区浦江第三中学,上海市七宝中学,737,否,404,126,134,142
上海市闵行区浦江第三中学,华东师范大学第二附属中学闵行紫竹分校,710.5,否,387.5,125,121,132
上海市闵行区浦江第三中学,上海师范大学附属中学闵行分校,714,否,386.5,125,122,139
