初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市真北中学,上海市宜川中学,707.5,否,385.5,115,132,128
上海市真北中学,华东师范大学第二附属中学（普陀校区）,756,否,416,141,132,146
上海市普陀区教育学院附属中学,上海市晋元高级中学,729.5,否,399.5,126,133,138
上海市普陀区教育学院附属中学,上海市曹杨第二中学,736.5,否,404.5,129,133,140
上海市普陀区教育学院附属中学,上海市宜川中学,711.5,否,389.5,132,121,127
上海市普陀区教育学院附属中学,华东师范大学第二附属中学（普陀校区）,746.5,否,409.5,137,132,139
上海市普陀区教育学院附属中学,复旦大学附属中学,749,否,408,140,126,145
上海市梅陇中学,上海市上海中学,759,否,422,141,134,139
上海市梅陇中学,上海市晋元高级中学,731,否,390,118,130,145
上海市梅陇中学,上海市曹杨第二中学,739,否,406,132,127,139
上海市梅陇中学,上海市宜川中学,715,否,386,121,133,131
上海市梅陇中学,华东师范大学第二附属中学（普陀校区）,752.5,否,420.5,141,135,137
上海兰田中学,上海市晋元高级中学,728,否,407,124,140,126
上海兰田中学,上海市曹杨第二中学,743,否,404,131,131,142
上海兰田中学,上海市宜川中学,719.5,否,387.5,122,126,140
上海兰田中学,华东师范大学第二附属中学（普陀校区）,756.5,否,420.5,142,134,140
上海市曹杨中学,上海市晋元高级中学,721.5,否,395.5,126,129,134
上海市曹杨中学,上海市曹杨第二中学,727,否,394.5,127,126,138
上海市曹杨中学,上海市宜川中学,711,否,394,119,131,123
上海市曹杨中学,华东师范大学第二附属中学（普陀校区）,743.5,否,407.5,135,129,141
同济大学第二附属中学,上海市晋元高级中学,729.5,否,397.5,131,128,139
同济大学第二附属中学,上海市曹杨第二中学,738,否,412.5,139,130,136
同济大学第二附属中学,上海市宜川中学,717.5,否,401,130,132,128
同济大学第二附属中学,华东师范大学第二附属中学（普陀校区）,753.5,否,414.5,140,129,144
上海市新杨中学,上海市晋元高级中学,720.5,否,402.5,124,132,124
上海市新杨中学,上海市曹杨第二中学,737.5,否,408.5,128,133,135
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市新杨中学,上海市宜川中学,713,否,387,119,130,131
上海市新杨中学,华东师范大学第二附属中学（普陀校区）,750.5,否,412.5,133,136,138
上海市长征中学,上海市晋元高级中学,726.5,否,404.5,127,135,128
上海市长征中学,上海市曹杨第二中学,743,否,404,128,132,141
上海市长征中学,上海市宜川中学,719.5,否,391,123,134,137
上海市长征中学,华东师范大学第二附属中学（普陀校区）,755.5,否,414.5,140,133,140
上海市长征中学,上海交通大学附属中学,749.5,否,414.5,143,128,140
上海市桃浦中学,上海市晋元高级中学,717.5,否,389.5,124,131,133
上海市桃浦中学,上海市曹杨第二中学,725,否,402,129,135,133
上海市桃浦中学,上海市宜川中学,707.5,否,389.5,124,123,127
上海市桃浦中学,华东师范大学第二附属中学（普陀校区）,739.5,否,409.5,136,128,137
上海市晋元高级中学附属学校南校,上海市晋元高级中学,735,否,399,134,131,141
上海市晋元高级中学附属学校南校,上海市曹杨第二中学,745.5,否,408.5,132,133,140
上海市晋元高级中学附属学校南校,上海市宜川中学,721.5,否,394.5,126,130,131
上海市晋元高级中学附属学校南校,华东师范大学第二附属中学（普陀校区）,763,否,422.5,138,139,142
上海音乐学院附属安师实验中学,上海市晋元高级中学,723,否,401.5,132,127,129
上海音乐学院附属安师实验中学,上海市曹杨第二中学,713,否,388.5,110,131,130.5
上海音乐学院附属安师实验中学,上海市宜川中学,710,否,386,114,132,131
上海音乐学院附属安师实验中学,华东师范大学第二附属中学（普陀校区）,724,否,396,121,133,132
上海华东师范大学附属进华中学,上海市晋元高级中学,724.5,否,396,133,128,138
上海华东师范大学附属进华中学,上海市曹杨第二中学,739.5,否,405.5,141,129,138
上海华东师范大学附属进华中学,上海市宜川中学,715.5,否,385.5,116,129,138
上海华东师范大学附属进华中学,华东师范大学第二附属中学（普陀校区）,753.5,否,418.5,135,137,139
上海华东师范大学附属进华中学,上海交通大学附属中学,759.5,否,426,144,137,139
上海安生学校,上海市晋元高级中学,721.5,否,399.5,141,124,128
上海安生学校,上海市曹杨第二中学,722,否,401,136,129,127
上海安生学校,上海市宜川中学,715.5,否,386.5,115,127,135
上海安生学校,华东师范大学第二附属中学（普陀校区）,760.5,否,420.5,143,134,146
上海培佳双语学校,上海市晋元高级中学,721,否,396,132,121,131
上海培佳双语学校,上海市曹杨第二中学,739,否,405.5,134,127,140
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海培佳双语学校,上海市宜川中学,715,否,395,119,130,122
上海培佳双语学校,华东师范大学第二附属中学（普陀校区）,755.5,否,420.5,139,134,139
上海市光新学校,上海市晋元高级中学,661.5,否,361.5,107,124,110
上海市光新学校,上海市曹杨第二中学,693.5,否,377.5,118,126,122
上海市铜川学校,上海市晋元高级中学,714.5,否,381.5,118,128,140
上海市铜川学校,上海市曹杨第二中学,734,否,403,135,127,136
上海市铜川学校,上海市宜川中学,705,否,385.5,115,131,128
上海市铜川学校,华东师范大学第二附属中学（普陀校区）,747,否,411,131,134,140
上海市沙田学校,上海市晋元高级中学,733.5,否,396.5,118,137,139
上海市沙田学校,上海市曹杨第二中学,744.5,否,409,140,129,145
上海市沙田学校,上海市宜川中学,716.5,否,391,131,128,136
上海市沙田学校,华东师范大学第二附属中学（普陀校区）,667.5,否,366.5,107,129,112
华东师范大学附属外国语实验学校,上海市晋元高级中学,731,否,388,118,127,145
华东师范大学附属外国语实验学校,上海市曹杨第二中学,740,否,407,134,126,141
华东师范大学附属外国语实验学校,上海市宜川中学,717,否,396,124,132,124
华东师范大学附属外国语实验学校,华东师范大学第二附属中学（普陀校区）,753.5,否,417.5,142,133,141
上海市子长学校,上海市晋元高级中学,738,否,401,125,133,141
上海市子长学校,上海市曹杨第二中学,745,否,414,138,134,140
上海市子长学校,上海市宜川中学,695.5,否,384.5,112,133,122
上海市子长学校,华东师范大学第二附属中学（普陀校区）,752,否,410,132,132,143
上海市洛川学校,上海市晋元高级中学,716,否,394,123,132,128
上海市洛川学校,上海市曹杨第二中学,721,否,392,131,127,135
上海市洛川学校,上海市宜川中学,703.5,否,383,119,127,126
上海市洛川学校,华东师范大学第二附属中学（普陀校区）,682,否,363,108,115,128
上海市宜川中学附属学校,上海市晋元高级中学,731.5,否,398.5,121,136,138
上海市宜川中学附属学校,上海市曹杨第二中学,742.5,否,405.5,134,131,142
上海市宜川中学附属学校,上海市宜川中学,714,否,381,121,130,139
上海市宜川中学附属学校,华东师范大学第二附属中学（普陀校区）,751,否,415,140,132,138
上海市宜川中学附属学校,复旦大学附属中学,757,否,417,140,133,144
上海市曹杨中学附属学校,上海市晋元高级中学,737,否,410,131,134,137
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市曹杨中学附属学校,上海市曹杨第二中学,748,否,413,136,130,137
上海市曹杨中学附属学校,上海市宜川中学,724,否,392.5,123,126,139
上海市曹杨中学附属学校,华东师范大学第二附属中学（普陀校区）,754,否,416,139,133,141
上海市普陀区教育学院附属学校,上海市晋元高级中学,727,否,395,129,129,141
上海市普陀区教育学院附属学校,上海市曹杨第二中学,723.5,否,391.5,120,130,138
上海市普陀区教育学院附属学校,上海市宜川中学,718.5,否,388.5,124,125,136
