初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市奉贤区星火学校,上海市奉贤中学,703,否,380.5,128,123,134
上海市奉贤区星火学校,华东师范大学第二附属中学临港奉贤分校,703,否,385.5,120,130,125
上海市奉贤区五四学校,上海市奉贤中学,678.5,否,366.5,114,119,127
上海市奉贤区五四学校,华东师范大学第二附属中学临港奉贤分校,698.5,否,377,113,126,132
上海市奉贤区肇文学校,上海市格致中学（奉贤校区）,708,否,382.5,118,126,132
上海市奉贤区肇文学校,上海市奉贤中学,713,否,391,123,129,128
上海市奉贤区肇文学校,华东师范大学第二附属中学临港奉贤分校,729.5,否,399,131,130,137
上海市奉贤区奉浦中学,上海市格致中学（奉贤校区）,711,否,388.5,121,130,131
上海市奉贤区奉浦中学,上海市奉贤中学,717.5,否,393.5,117,131,133
上海市奉贤区奉浦中学,华东师范大学第二附属中学临港奉贤分校,715,否,392,121,134,128
上海奉贤区世外教育附属临港外国语学校,上海市格致中学（奉贤校区）,704.5,否,388,127,129,123
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海奉贤区世外教育附属临港外国语学校,上海市奉贤中学,719.5,否,394,123,134,134
上海奉贤区世外教育附属临港外国语学校,华东师范大学第二附属中学临港奉贤分校,713,否,384,123,119,132
柘林学校师大附中教学点,上海市格致中学（奉贤校区）,662.5,否,353.5,120,118,121
柘林学校师大附中教学点,上海市奉贤中学,710.5,否,386,125,131,134
柘林学校师大附中教学点,华东师范大学第二附属中学临港奉贤分校,669,否,353.5,104,119,123
