初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市大华中学,上海大学附属中学,723.5,否,401,121,136,131
上海市大华中学,上海师范大学附属中学宝山分校,715,否,389,133,123,140
上海市大华中学,上海市吴淞中学,700.5,否,387.5,130,122,127
上海市大华中学,华东师范大学第二附属中学（宝山校区）,743,否,415,139,131,132
上海市月浦中学,上海交通大学附属中学,734.5,否,398.5,126,136,138
上海市月浦中学,上海市行知中学,714,否,385,126,118,137
上海市月浦中学,上海大学附属中学,703.5,否,387.5,128,126,126
上海市月浦中学,上海师范大学附属中学宝山分校,715,否,398,125,129,125
上海市月浦中学,上海市吴淞中学,708,否,385,112,132,133
上海市月浦中学,华东师范大学第二附属中学（宝山校区）,734.5,否,408,132,133,137
上海市罗泾中学,上海市行知中学,701,否,378.5,120,128,137
上海市罗泾中学,上海大学附属中学,711.5,否,386.5,124,126,133
上海市罗泾中学,上海师范大学附属中学宝山分校,744,否,405.5,138,127,139
上海市罗泾中学,上海市吴淞中学,705.5,否,377.5,119,124,135
上海市罗泾中学,华东师范大学第二附属中学（宝山校区）,745,否,409,136,132,142
上海市罗南中学,上海市上海中学,723,否,393,132,125,135
上海市罗南中学,上海市行知中学,713.5,否,391.5,127,127,133
上海市罗南中学,上海大学附属中学,712,否,388,134,124,133
上海市罗南中学,上海师范大学附属中学宝山分校,717,否,392,125,129,132
上海市罗南中学,上海市吴淞中学,715,否,387,128,128,134
上海市罗南中学,华东师范大学第二附属中学（宝山校区）,734.5,否,407,131,133,132
上海市民办交华中学,上海市行知中学,734.5,否,407.5,134,138,133
上海市民办交华中学,上海大学附属中学,714,否,388,127,124,132
上海市民办交华中学,上海师范大学附属中学宝山分校,740,否,408,128,133,133
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市民办交华中学,上海市吴淞中学,708,否,389.5,130,127,133
上海市民办交华中学,华东师范大学第二附属中学（宝山校区）,753,否,414,133,134,141
上海市宝山区高境镇第三中学,上海市行知中学,732.5,否,404.5,133,128,134
上海市宝山区高境镇第三中学,上海大学附属中学,699.5,否,375.5,118,122,131
上海市宝山区高境镇第三中学,上海市吴淞中学,716.5,否,388,125,124,135
上海市宝山区高境镇第三中学,华东师范大学第二附属中学（宝山校区）,736,否,399,124,130,140
上海市宝山区罗店第二中学,上海市行知中学,726.5,否,397,137,120,138
上海市宝山区罗店第二中学,上海大学附属中学,717,否,400,125,132,123
上海市宝山区罗店第二中学,上海市吴淞中学,706,否,386,116,128,123
上海市宝山区罗店第二中学,华东师范大学第二附属中学（宝山校区）,735.5,否,406.5,135,130,138
上海市宝山区乐之中学,上海市行知中学,715,否,394,131,132,133
上海市宝山区乐之中学,上海大学附属中学,705.5,否,389.5,117,136,125
上海市宝山区乐之中学,上海市吴淞中学,694.5,否,382.5,118,131,123
上海市宝山区乐之中学,华东师范大学第二附属中学（宝山校区）,729.5,否,396.5,133,133,141
上海市宝山区美兰湖中学,上海市行知中学,720,否,397,118,134,126
上海市宝山区美兰湖中学,上海大学附属中学,715.5,否,383.5,113,132,138
上海市宝山区美兰湖中学,上海市吴淞中学,711.5,否,390.5,119,131,125
上海市宝山区美兰湖中学,华东师范大学第二附属中学（宝山校区）,732,否,399,128,131,139
上海市宝山区杨泰实验中学,上海市行知中学,735.5,否,406.5,130,132,136
上海市宝山区杨泰实验中学,上海大学附属中学,715,否,394,124,130,127
上海市宝山区杨泰实验中学,上海师范大学附属中学宝山分校,733.5,否,399.5,129,133,136
上海市宝山区杨泰实验中学,上海市吴淞中学,715,否,383,120,123,138
上海市宝山区杨泰实验中学,华东师范大学第二附属中学（宝山校区）,747.5,否,408.5,131,133,144
上海师范大学附属宝山经纬实验中学,上海市行知中学,734,否,398,119,135,143
上海师范大学附属宝山经纬实验中学,上海大学附属中学,723.5,否,390.5,123,127,141
上海师范大学附属宝山经纬实验中学,上海师范大学附属中学宝山分校,732,否,395,129,129,139
上海师范大学附属宝山经纬实验中学,上海市吴淞中学,707.5,否,381.5,127,126,138
上海师范大学附属宝山经纬实验中学,华东师范大学第二附属中学（宝山校区）,748.5,否,416.5,138,139,141
上海师范大学附属宝山罗店中学,上海市行知中学,694.5,否,371.5,108,127,132
上海师范大学附属宝山罗店中学,上海大学附属中学,694.5,否,382.5,116,132,118
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海师范大学附属宝山罗店中学,上海师范大学附属中学宝山分校,740.5,否,407.5,139,133,138
上海师范大学附属宝山罗店中学,上海市吴淞中学,698,否,384,117,132,120
上海师范大学附属宝山罗店中学,华东师范大学第二附属中学（宝山校区）,728,否,397,128,128,135
上海市顾村中学,上海市行知中学,722.5,否,392,119,138,140
上海市顾村中学,上海大学附属中学,709,否,393,120,136,121
上海市顾村中学,上海市吴淞中学,702,否,381,114,126,129
上海市顾村中学,华东师范大学第二附属中学（宝山校区）,748,否,415,130,139,137
上海市行知实验中学,上海交通大学附属中学,754,否,415,131,137,141
上海市行知实验中学,上海市行知中学,738,否,400,129,128,143
上海市行知实验中学,上海大学附属中学,724,否,402,127,135,126
上海市行知实验中学,上海师范大学附属中学宝山分校,698.5,否,381.5,121,117,129
上海市行知实验中学,上海市吴淞中学,707.5,否,387.5,120,128,128
上海市行知实验中学,华东师范大学第二附属中学（宝山校区）,747,否,418,139,134,137
上海市高境第一中学,上海市行知中学,728.5,否,404,124,136,134
上海市高境第一中学,上海大学附属中学,709,否,387,123,127,129
上海市高境第一中学,上海师范大学附属中学宝山分校,714,否,384.5,125,126,136
