初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市嘉定区朱桥学校,上海交通大学附属中学嘉定分校,722,否,394,116,139,133
上海市嘉定区苏民学校,上海市嘉定区第一中学,724,否,395,136,118,135
上海市嘉定区苏民学校,上海交通大学附属中学嘉定分校,739,否,408,128,133,137
上海市民办远东学校,上海市嘉定区第一中学,728.5,否,396.5,126,134,136
上海市民办远东学校,上海交通大学附属中学嘉定分校,747.5,否,415.5,137,135,137
上海市民办桃李园实验学校,上海市嘉定区第一中学,727,否,392,122,127,143
上海市民办桃李园实验学校,上海交通大学附属中学嘉定分校,745,否,409,127,137,140
上海市嘉定区华亭学校,上海市嘉定区第一中学,699,否,367,114,122,136
上海市嘉定区华亭学校,上海交通大学附属中学嘉定分校,725,否,389,114,133,140
上海市嘉定区娄塘学校,上海市嘉定区第一中学,696.5,否,378.5,124,129,124
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市嘉定区娄塘学校,上海交通大学附属中学嘉定分校,703.5,否,377.5,118,126,129
上海外国语大学嘉定外国语学校,上海交通大学附属中学,755,否,417,134,138,144
上海外国语大学嘉定外国语学校,上海市嘉定区第一中学,727,否,395,131,123,141
上海外国语大学嘉定外国语学校,上海交通大学附属中学嘉定分校,745,否,417,134,137,133
上海市嘉定区练川实验学校,上海市嘉定区第一中学,726,否,403,137,132,131
上海市嘉定区练川实验学校,上海交通大学附属中学嘉定分校,734.5,否,406.5,128,132,131
上海华旭双语学校,上海市上海中学,751.5,否,415.5,143,127,135
上海华旭双语学校,上海市嘉定区第一中学,730,否,401.5,123,134,134
上海华旭双语学校,上海交通大学附属中学嘉定分校,743,否,409,137,128,136
中科院上海实验学校,上海市嘉定区第一中学,728.5,否,397,129,129,140
中科院上海实验学校,上海交通大学附属中学嘉定分校,736.5,否,402.5,132,130,141
中科院上海实验学校,华东师范大学第二附属中学,756.5,否,425.5,141,137,138
上海嘉定区世界外国语学校,上海市嘉定区第一中学,725.5,否,399.5,132,126,132
上海嘉定区世界外国语学校,上海交通大学附属中学嘉定分校,740.5,否,417.5,143,128,127
上海嘉定区世界外国语学校,华东师范大学第二附属中学,762,否,421,134,140,144
上海市嘉定区金鹤学校,上海市嘉定区第一中学,726.5,否,398,134,125,135
上海市嘉定区金鹤学校,上海交通大学附属中学嘉定分校,733.5,否,400.5,119,139,132
上海市嘉定区嘉二实验学校,上海市上海中学,756.5,否,415.5,136,132,145
上海市嘉定区嘉二实验学校,上海市嘉定区第一中学,721,否,390,126,130,136
上海市嘉定区嘉二实验学校,上海交通大学附属中学嘉定分校,725,否,407,125,138,123
上海嘉定区民办华盛怀少学校,上海市嘉定区第一中学,728.5,否,399.5,127,135,138
上海嘉定区民办华盛怀少学校,上海交通大学附属中学嘉定分校,750,否,412,134,135,142
