年份,初中学校,初中学校代码,高中代码,高中名称,计划数
2024,0,上海市致远中学,,上海市建平中学,2
2024,0,上海市致远中学,,上海市进才中学,3
2024,0,上海市致远中学,,上海市洋泾中学,2
2024,0,上海市致远中学,,上海市川沙中学,2
2024,0,上海市致远中学,,上海 南汇中学,3
2024,0,上海市致远中学,,上海市高桥中学,3
2024,0,上海市致远中学,,上海中学东校,2
2024,0,上海市致远中学,,上海市浦东复旦附中分校,1
2024,0,上海市浦东新区进才实验中学南校,,华东师范大学第二附属中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海市建平中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海市进才中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海市洋泾中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海市川沙中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海 南汇中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海市高桥中学,1
2024,0,上海市浦东新区进才实验中学南校,,上海中学东校,1
2024,0,上海市浦东新区进才实验中学南校,,上海市浦东复旦附中分校,1
2024,1,上海市蔡路中学,,上海市建平中学,1
2024,1,上海市蔡路中学,,上海市进才中学,1
2024,1,上海市蔡路中学,,上海市洋泾中学,1
2024,1,上海市蔡路中学,,上海市川沙中学,1
2024,1,上海市蔡路中学,,上海 南汇中学,1
2024,1,上海市蔡路中学,,上海市高桥中学,1
2024,1,上海市蔡路中学,,上海中学东校,1
2024,1,上海市蔡路中学,,上海市浦东复旦附中分校,1
2024,0,上海市六团中学,,上海师范大学附属中学,1
2024,0,上海市六团中学,,上海市建平中学,1
2024,0,上海市六团中学,,上海市进才中学,1
2024,0,上海市六团中学,,上海市洋泾中学,1
2024,0,上海市六团中学,,上海市川沙中学,1
2024,0,上海市六团中学,,上海 南汇中学,1
2024,0,上海市六团中学,,上海市高桥中学,1
2024,0,上海市六团中学,,上海中学东校,1
2024,0,上海市六团中学,,上海市浦东复旦附中分校,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,复旦大学附属中学,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海市建平中学,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海市进才中学,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海市洋泾中学,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海市川沙中学,2
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海 南汇中学,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海市高桥中学,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海中学东校,1
2024,0,"上海戏剧学院附属浦东实验中学（原上海
市唐镇中学）",,上海市浦东复旦附中分校,1
2024,0,上海市浦兴中学,,上海市建平中学,1
2024,0,上海市浦兴中学,,上海市进才中学,2
2024,0,上海市浦兴中学,,上海市洋泾中学,1
2024,0,上海市浦兴中学,,上海市川沙中学,1
2024,0,上海市浦兴中学,,上海 南汇中学,2
2024,0,上海市浦兴中学,,上海市高桥中学,2
2024,0,上海市浦兴中学,,上海中学东校,2
2024,0,上海市浦兴中学,,上海市浦东复旦附中分校,1
2024,0,上海浦东新区民办恒洋外国语学校,,华东师范大学第二附属中学,1
2024,0,上海浦东新区民办恒洋外国语学校,,上海市建平中学,2
2024,0,上海浦东新区民办恒洋外国语学校,,上海市进才中学,1
2024,0,上海浦东新区民办恒洋外国语学校,,上海市洋泾中学,2
2024,0,上海浦东新区民办恒洋外国语学校,,上海市川沙中学,1
2024,0,上海浦东新区民办恒洋外国语学校,,上海 南汇中学,4
2024,0,上海浦东新区民办恒洋外国语学校,,上海市高桥中学,1
2024,0,上海浦东新区民办恒洋外国语学校,,上海中学东校,1
2024,0,上海浦东新区民办恒洋外国语学校,,上海市浦东复旦附中分校,1
2024,0,上海浦东新区民办欣竹中学,,上海市建平中学,4
2024,0,上海浦东新区民办欣竹中学,,上海市进才中学,3
2024,0,上海浦东新区民办欣竹中学,,上海市洋泾中学,4
2024,0,上海浦东新区民办欣竹中学,,上海市川沙中学,2
2024,0,上海浦东新区民办欣竹中学,,上海 南汇中学,6
2024,0,上海浦东新区民办欣竹中学,,上海市高桥中学,2
2024,0,上海浦东新区民办欣竹中学,,上海中学东校,2
2024,0,上海浦东新区民办欣竹中学,,上海市浦东复旦附中分校,1
2024,0,上海市新云台中学,,上海市实验学校,1
2024,0,上海市新云台中学,,上海市建平中学,1
2024,0,上海市新云台中学,,上海市进才中学,1
2024,0,上海市新云台中学,,上海市洋泾中学,1
2024,0,上海市新云台中学,,上海市川沙中学,1
2024,0,上海市新云台中学,,上海 南汇中学,1
2024,0,上海市新云台中学,,上海市高桥中学,1
2024,0,上海市新云台中学,,上海中学东校,1
2024,0,上海市新云台中学,,上海市浦东复旦附中分校,1
2024,1,上海市陆行中学南校,,上海市建平中学,1
2024,1,上海市陆行中学南校,,上海市进才中学,1
2024,1,上海市陆行中学南校,,上海市洋泾中学,2
2024,1,上海市陆行中学南校,,上海市川沙中学,1
2024,1,上海市陆行中学南校,,上海 南汇中学,1
2024,1,上海市陆行中学南校,,上海市高桥中学,1
2024,1,上海市陆行中学南校,,上海中学东校,1
2024,1,上海市陆行中学南校,,上海市浦东复旦附中分校,1
2024,0,上海市杨思中学,,上海师范大学附属中学,1
2024,0,上海市杨思中学,,上海市建平中学,3
2024,0,上海市杨思中学,,上海市进才中学,2
2024,0,上海市杨思中学,,上海市洋泾中学,3
2024,0,上海市杨思中学,,上海市川沙中学,2
2024,0,上海市杨思中学,,上海 南汇中学,3
2024,0,上海市杨思中学,,上海市高桥中学,1
2024,0,上海市杨思中学,,上海中学东校,1
2024,0,上海市杨思中学,,上海市浦东复旦附中分校,1
2024,0,上海民办浦东交中初级中学,,上海市建平中学,1
2024,0,上海民办浦东交中初级中学,,上海市进才中学,1
2024,0,上海民办浦东交中初级中学,,上海市洋泾中学,2
2024,0,上海民办浦东交中初级中学,,上海市川沙中学,2
2024,0,上海民办浦东交中初级中学,,上海 南汇中学,2
2024,0,上海民办浦东交中初级中学,,上海市高桥中学,1
2024,0,上海民办浦东交中初级中学,,上海中学东校,1
2024,0,上海民办浦东交中初级中学,,上海市浦东复旦附中分校,1
2024,0,上海市建平香梅中学,,上海市建平中学,3
2024,0,上海市建平香梅中学,,上海市进才中学,2
2024,0,上海市建平香梅中学,,上海市洋泾中学,3
2024,0,上海市建平香梅中学,,上海市川沙中学,2
2024,0,上海市建平香梅中学,,上海 南汇中学,2
2024,0,上海市建平香梅中学,,上海市高桥中学,1
2024,0,上海市建平香梅中学,,上海中学东校,1
2024,0,上海市建平香梅中学,,上海市浦东复旦附中分校,1
2024,0,上海市南汇第二中学,,上海市实验学校,1
2024,0,上海市南汇第二中学,,上海市建平中学,5
2024,0,上海市南汇第二中学,,上海市进才中学,4
2024,0,上海市南汇第二中学,,上海市洋泾中学,5
2024,0,上海市南汇第二中学,,上海市川沙中学,3
2024,0,上海市南汇第二中学,,上海 南汇中学,9
2024,0,上海市南汇第二中学,,上海市高桥中学,3
2024,0,上海市南汇第二中学,,上海中学东校,3
2024,0,上海市南汇第二中学,,上海市浦东复旦附中分校,1
2024,0,上海市南汇第三中学,,上海交通大学附属中学,1
2024,0,上海市南汇第三中学,,上海市建平中学,2
2024,0,上海市南汇第三中学,,上海市进才中学,1
2024,0,上海市南汇第三中学,,上海市洋泾中学,2
2024,0,上海市南汇第三中学,,上海市川沙中学,2
2024,0,上海市南汇第三中学,,上海 南汇中学,4
2024,0,上海市南汇第三中学,,上海市高桥中学,1
2024,0,上海市南汇第三中学,,上海中学东校,1
2024,0,上海市南汇第三中学,,上海市浦东复旦附中分校,1
2024,0,上海市新港中学,,上海师范大学附属中学,1
2024,0,上海市新港中学,,上海市建平中学,1
2024,0,上海市新港中学,,上海市进才中学,1
