类别,说明
到校-校区分配,奉贤区|上海理工大学附属奉贤学校|上海市格致中学|730.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤中学附属三官堂学校|上海市格致中学|705 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区钱桥学校|上海市格致中学|733.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区平安学校|上海市格致中学|716.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区弘文学校|上海市格致中学|743 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区肇文学校|上海市格致中学|717 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海市奉贤区奉浦中学|上海市格致中学|732.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海大学附属奉贤实验学校|上海市格致中学|716.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,奉贤区|上海奉贤区世外教育附属临港外国语学校|上海市格致中学|714.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,宝山区|上海市淞谊中学|华东师范大学第二附属中学|751 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区教育学院附属中学|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区吴淞初级中学|华东师范大学第二附属中学|725 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市吴淞中学附属宝山实验学校|华东师范大学第二附属中学|757 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海民办宝莲中学|华东师范大学第二附属中学|758.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市吴淞第二中学|华东师范大学第二附属中学|735 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市虎林中学|华东师范大学第二附属中学|749 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市泗塘中学|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区求真中学南校|华东师范大学第二附属中学|721 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市长江第二中学|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区求真中学|华东师范大学第二附属中学|758 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市大场中学|华东师范大学第二附属中学|746 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市大华中学|华东师范大学第二附属中学|756 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市月浦中学|华东师范大学第二附属中学|670.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山华曜附属罗泾中学|华东师范大学第二附属中学|752.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市罗南中学|华东师范大学第二附属中学|761 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市民办交华中学|华东师范大学第二附属中学|758.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山实验学校高境分校|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学(152003)
到校-校区分配,宝山区|上海市宝山实验学校高境分校|华东师范大学第二附属中学|756.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区罗店第二中学|华东师范大学第二附属中学|735 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区罗店第二中学|华东师范大学第二附属中学|760.5 -> 华东师范大学第二附属中学(152003)
到校-校区分配,宝山区|上海市宝山区乐之中学|华东师范大学第二附属中学|746.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区美兰湖中学|华东师范大学第二附属中学|761 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区杨泰实验中学|华东师范大学第二附属中学|753.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海师范大学附属宝山经纬实验中学|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海师范大学附属宝山罗店中学|华东师范大学第二附属中学|743 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海师范大学附属宝山罗店中学|华东师范大学第二附属中学|745.5 -> 华东师范大学第二附属中学(152003)
到校-校区分配,宝山区|上海市宝山中学|华东师范大学第二附属中学|756.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市行知实验中学|华东师范大学第二附属中学|746 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市盛桥中学|华东师范大学第二附属中学|729.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市同洲模范学校|华东师范大学第二附属中学|757.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山实验学校|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市民办锦秋学校|华东师范大学第二附属中学|743 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市月浦实验学校|华东师范大学第二附属中学|758.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山实验学校分校|华东师范大学第二附属中学|757.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市吴淞实验学校|华东师范大学第二附属中学|755.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
