序号,招生代码,学校名称,所属区,区代码,学校类型,寄宿情况,计划区域,计划数
44,123001,上海市闵行中学,闵行区,MH,市实验性示范性高中,部分寄宿,全市,120
45,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,MH,享受市实验性示范性高中招生政策高中,部分寄宿,全市,82
46,122003,上海师范大学附属中学闵行分校,闵行区,MH,享受市实验性示范性高中招生政策高中,部分寄宿,全市,86
47,122004,上海交通大学附属中学闵行分校,闵行区,MH,享受市实验性示范性高中招生政策高中,部分寄宿,全市,70
48,132001,上海市行知中学,宝山区,BS,市实验性示范性高中,部分寄宿,全市,115
49,132002,上海大学附属中学,宝山区,BS,市实验性示范性高中,全部寄宿,全市,119
50,133001,上海市吴淞中学,宝山区,BS,市实验性示范性高中,部分寄宿,全市,100
51,132003,上海师范大学附属中学宝山分校,宝山区,BS,享受市实验性示范性高中招生政策高中,全部寄宿,全市,51
52,133003,华东师范大学第二附属中学（宝山校区）,宝山区,BS,享受市实验性示范性高中招生政策高中,全部寄宿,全市,67
53,142001,上海市嘉定区第一中学,嘉定区,JD,市实验性示范性高中,部分寄宿,全市,89
54,142002,上海交通大学附属中学嘉定分校,嘉定区,JD,享受市实验性示范性高中招生政策高中,部分寄宿,全市,107
55,142004,上海师范大学附属中学嘉定新城分校,嘉定区,JD,享受市实验性示范性高中招生政策高中,部分寄宿,全市,58
56,152001,上海市建平中学,浦东新区,PD,市实验性示范性高中,部分寄宿,全市,109
57,152002,上海市进才中学,浦东新区,PD,市实验性示范性高中,部分寄宿,全市,109
58,152004,上海南汇中学,浦东新区,PD,市实验性示范性高中,部分寄宿,全市,140
59,153001,上海市洋泾中学,浦东新区,PD,市实验性示范性高中,部分寄宿,全市,109
60,153004,上海市高桥中学,浦东新区,PD,市实验性示范性高中,部分寄宿,全市,94
61,153005,上海市川沙中学,浦东新区,PD,市实验性示范性高中,部分寄宿,全市,94
62,151078,上海中学东校,浦东新区,PD,享受市实验性示范性高中招生政策高中,部分寄宿,全市,94
63,152005,上海市浦东复旦附中分校,浦东新区,PD,享受市实验性示范性高中招生政策高中,部分寄宿,全市,70
64,162000,上海市金山中学,金山区,JS,市实验性示范性高中,全部寄宿,全市,74
65,163002,华东师范大学第三附属中学,金山区,JS,市实验性示范性高中,全部寄宿,全市,78
66,172001,上海市松江二中,松江区,SJ,市实验性示范性高中,部分寄宿,全市,84
