年份,批次,区名称,初中学校代码,初中学校,高中学校代码,名额,文件来源
2025,名额分配到校,静安,062011,上海市回民中学,063004,21,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,062011,上海市回民中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,062011,上海市回民中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063001,上海市民立中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,062011,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063002,上海市第一中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,062001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,062002,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,062003,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,062011,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063008,上海市久隆模范中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,062001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,062002,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,062003,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,062011,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,063077,上海市闸北第八中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064001,上海市华东模范中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,062001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,062002,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,062003,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,062011,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,064001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064003,同济大学附属七一中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,063004,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,042032,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064007,上海市向东中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,062001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,062002,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,062003,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,062011,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064020,上海田家炳中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,062001,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,062002,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,062003,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
