年份,区域,初中学校,高中学校,录取分数线
2024,宝山,上海市宝山区高境镇第三中学,,716.5
2024,宝山,上海市宝山区高境镇第三中学,,736
2024,宝山,上海市宝山区罗店第二中学,,726.5
2024,宝山,上海市宝山区罗店第二中学,,717
2024,宝山,上海市宝山区罗店第二中学,,706
2024,宝山,上海市宝山区罗店第二中学,,735.5
2024,宝山,上海市宝山区乐之中学,,715
2024,宝山,上海市宝山区乐之中学,,705.5
2024,宝山,上海市宝山区乐之中学,,694.5
2024,宝山,上海市宝山区乐之中学,,729.5
2024,宝山,上海市宝山区美兰湖中学,,720
2024,宝山,上海市宝山区美兰湖中学,,715.5
2024,宝山,上海市宝山区美兰湖中学,,711.5
2024,宝山,上海市宝山区美兰湖中学,,732
2024,宝山,上海市宝山区杨泰实验中学,,735.5
2024,宝山,上海市宝山区杨泰实验中学,,715
2024,宝山,上海市宝山区杨泰实验中学,,733.5
2024,宝山,上海市宝山区杨泰实验中学,,715
2024,宝山,上海市宝山区杨泰实验中学,,747.5
2024,宝山,上海师范大学附属宝山经纬实验中学,,734
2024,宝山,上海师范大学附属宝山经纬实验中学,,723.5
2024,宝山,上海师范大学附属宝山经纬实验中学,,732
2024,宝山,上海师范大学附属宝山经纬实验中学,,707.5
2024,宝山,上海师范大学附属宝山经纬实验中学,,748.5
2024,宝山,上海师范大学附属宝山罗店中学,,694.5
2024,宝山,上海师范大学附属宝山罗店中学,,694.5
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海师范大学附属宝山罗店中学,,740.5
2024,宝山,上海师范大学附属宝山罗店中学,,698
2024,宝山,上海师范大学附属宝山罗店中学,,728
2024,宝山,上海市顾村中学,,722.5
2024,宝山,上海市顾村中学,,709
2024,宝山,上海市顾村中学,,702
2024,宝山,上海市顾村中学,,748
2024,宝山,上海市行知实验中学,,754
2024,宝山,上海市行知实验中学,,738
2024,宝山,上海市行知实验中学,,724
2024,宝山,上海市行知实验中学,,698.5
2024,宝山,上海市行知实验中学,,707.5
2024,宝山,上海市行知实验中学,,747
2024,宝山,上海市高境第一中学,,728.5
2024,宝山,上海市高境第一中学,,709
2024,宝山,上海市高境第一中学,,714
2024,宝山,上海市高境第一中学,,710
2024,宝山,上海市高境第一中学,,732
2024,宝山,上海市盛桥中学,,691
2024,宝山,上海市盛桥中学,,670
2024,宝山,上海市盛桥中学,,680
2024,宝山,上海市盛桥中学,,695.5
2024,宝山,上海市同洲模范学校,,734.5
2024,宝山,上海市同洲模范学校,,714
2024,宝山,上海市同洲模范学校,,712
2024,宝山,上海市同洲模范学校,,740
2024,宝山,上海市宝山实验学校,,737
2024,宝山,上海市宝山实验学校,,710
2024,宝山,上海市宝山实验学校,,736
2024,宝山,上海市宝山实验学校,,721
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市宝山实验学校,,750
2024,宝山,上海市民办锦秋学校,,734.5
2024,宝山,上海市民办锦秋学校,,720
