年份,区域,学校名称,学校代码,录取分数线
2024,虹口,上海市奉贤中学,,737.5
2024,虹口,上海市崇明中学,,708.5
2024,虹口,上海市实验学校东滩高级中学,,704
2024,金山,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,金山,上海市第二中学,,710.5
2024,金山,上海市南洋模范中学,,742.5
2024,金山,上海市上海中学,,760.5
2024,金山,上海市位育中学,,738
2024,金山,上海市南洋中学,,707.5
2024,金山,上海市延安中学,,732
2024,金山,上海市复旦中学,,693.5
2024,金山,上海市育才中学,,728.5
2024,金山,上海市新中高级中学,,677.5
2024,金山,上海市宜川中学,,703.5
2024,金山,华东师范大学第一附属中学,,711
2024,金山,上海财经大学附属北郊高级中学,,683
2024,金山,上海市杨浦高级中学,,713
2024,金山,上海交通大学附属中学,,741
2024,金山,复旦大学附属中学,,758
2024,金山,上海市七宝中学,,739
2024,金山,上海师范大学附属中学闵行分校,,727
2024,金山,上海市闵行中学,,715.5
2024,金山,上海大学附属中学,,704.5
2024,金山,上海市吴淞中学,,697.5
2024,金山,上海市嘉定区第一中学,,720.5
2024,金山,上海交通大学附属中学嘉定分校,,751.5
2024,金山,上海中学东校,,728.5
2024,金山,上海市建平中学,,735.5
2024,金山,上海市进才中学,,737
2024,金山,华东师范大学第二附属中学,,753
2024,金山,上海南汇中学,,706
2024,金山,上海师范大学附属中学,,717.5
2024,金山,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,金山,上海市洋泾中学,,708.5
2024,金山,上海市高桥中学,,681.5
2024,金山,上海市川沙中学,,694
2024,金山,上海市金山中学,,745.5
2024,金山,华东师范大学第三附属中学,,713
2024,金山,上海市松江二中,,741
2024,金山,上海市松江一中,,710.5
2024,金山,上海外国语大学附属外国语学校松江云间中学,,722
2024,金山,上海市青浦高级中学,,705
2024,金山,上海市朱家角中学,,691
2024,金山,上海市奉贤中学,,731.5
2024,金山,上海市崇明中学,,690.5
2024,长宁,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,长宁,上海市格致中学,,738.5
2024,长宁,上海市向明中学,,717
2024,长宁,上海外国语大学附属大境中学,,708
2024,长宁,上海市光明中学,,700.5
2024,长宁,上海市第二中学,,716.5
2024,长宁,上海市南洋模范中学,,754
2024,长宁,上海市上海中学,,765.5
2024,长宁,上海市位育中学,,740.5
2024,长宁,上海市南洋中学,,720.5
2024,长宁,上海市第三女子中学,,720
2024,长宁,上海市延安中学,,740.5
2024,长宁,上海市复旦中学,,713.5
2024,长宁,上海市市西中学,,737
2024,长宁,上海市育才中学,,724.5
2024,长宁,上海市新中高级中学,,706
2024,长宁,上海市市北中学,,713
2024,长宁,上海市回民中学,,669.5
2024,长宁,上海市第六十中学,,676.5
2024,长宁,上海市华东模范中学,,701.5
2024,长宁,上海市曹杨第二中学,,744
2024,长宁,上海市宜川中学,,709.5
2024,长宁,华东师范大学第二附属中学（普陀校区）,,750.5
2024,长宁,上海市复兴高级中学,,739
2024,长宁,华东师范大学第一附属中学,,692.5
2024,长宁,上海市杨浦高级中学,,687.5
2024,长宁,上海交通大学附属中学,,750.5
2024,长宁,复旦大学附属中学,,756
2024,长宁,上海市七宝中学,,751.5
2024,长宁,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,长宁,华东师范大学第二附属中学闵行紫竹分校,,731
2024,长宁,上海师范大学附属中学闵行分校,,724
2024,长宁,上海交通大学附属中学闵行分校,,739
2024,长宁,上海市闵行中学,,728.5
2024,长宁,上海市行知中学,,735
2024,长宁,上海大学附属中学,,720.5
2024,长宁,上海师范大学附属中学宝山分校,,688
2024,长宁,上海市吴淞中学,,706.5
2024,长宁,上海市嘉定区第一中学,,729.5
2024,长宁,上海交通大学附属中学嘉定分校,,752.5
2024,长宁,上海中学东校,,723.5
2024,长宁,上海市建平中学,,740.5
2024,长宁,上海市进才中学,,733.5
2024,长宁,华东师范大学第二附属中学,,755.5
2024,长宁,上海南汇中学,,689
2024,长宁,上海师范大学附属中学,,724
2024,长宁,上海市洋泾中学,,725.5
2024,长宁,上海市高桥中学,,694
2024,长宁,上海市川沙中学,,704.5
2024,长宁,上海市金山中学,,729.5
2024,长宁,华东师范大学第三附属中学,,665.5
2024,长宁,上海市松江二中,,742
2024,长宁,上海市松江一中,,691.5
2024,长宁,上海外国语大学附属外国语学校松江云间中学,,718.5
2024,长宁,上海市青浦高级中学,,703
2024,长宁,复旦大学附属中学青浦分校,,748.5
2024,长宁,上海市朱家角中学,,690
2024,长宁,上海市奉贤中学,,730
2024,长宁,华东师范大学第二附属中学临港奉贤分校,,716
2024,长宁,上海市崇明中学,,707
2024,闵行,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,闵行,上海市格致中学,,735
2024,闵行,上海市大同中学,,742.5
2024,闵行,上海市向明中学（浦江校区）,,728.5
2024,闵行,上海外国语大学附属大境中学,,721
2024,闵行,上海市光明中学,,699.5
2024,闵行,上海市敬业中学,,715.5
2024,闵行,上海市卢湾高级中学,,711
2024,闵行,上海市第二中学（梅陇校区）,,733
2024,闵行,上海市南洋模范中学,,751.5
2024,闵行,上海市上海中学,,764
2024,闵行,上海市位育中学,,743
2024,闵行,复旦大学附属中学徐汇分校,,755
2024,闵行,上海市南洋中学,,720.5
2024,闵行,上海市第三女子中学,,731.5
2024,闵行,上海市延安中学,,737.5
2024,闵行,上海市复旦中学,,715
2024,闵行,上海市市西中学,,726.5
2024,闵行,上海市育才中学,,716
2024,闵行,上海市新中高级中学,,701.5
2024,闵行,上海市市北中学,,728.5
2024,闵行,上海市回民中学,,693
2024,闵行,上海市第六十中学,,692
2024,闵行,上海市华东模范中学,,673.5
2024,闵行,上海市曹杨第二中学,,751
2024,闵行,上海市宜川中学,,721
2024,闵行,上海财经大学附属北郊高级中学,,700.5
2024,闵行,上海市杨浦高级中学,,717.5
2024,闵行,上海市控江中学,,737
2024,闵行,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,闵行,上海交通大学附属中学,,756.5
2024,闵行,复旦大学附属中学,,758
2024,闵行,同济大学第一附属中学,,708.5
2024,闵行,上海市七宝中学,,757
2024,闵行,华东师范大学第二附属中学闵行紫竹分校,,752
2024,闵行,上海师范大学附属中学闵行分校,,739
2024,闵行,上海交通大学附属中学闵行分校,,760
2024,闵行,上海市闵行中学,,734.5
2024,闵行,上海市行知中学,,727.5
2024,闵行,上海大学附属中学,,708
2024,闵行,上海市吴淞中学,,720.5
2024,闵行,华东师范大学第二附属中学（宝山校区）,,749
2024,闵行,上海市嘉定区第一中学,,721
2024,闵行,上海交通大学附属中学嘉定分校,,754.5
2024,闵行,上海中学东校,,735
2024,闵行,上海市建平中学,,742
2024,闵行,上海市进才中学,,727
2024,闵行,华东师范大学第二附属中学,,757
2024,闵行,上海南汇中学,,713.5
2024,闵行,上海市浦东复旦附中分校,,741.5
2024,闵行,上海师范大学附属中学,,736.5
2024,闵行,上海市洋泾中学,,719
2024,闵行,上海市高桥中学,,700
2024,闵行,上海市川沙中学,,717.5
2024,闵行,上海市金山中学,,732
2024,闵行,华东师范大学第三附属中学,,713
2024,闵行,上海市松江二中,,745.5
2024,闵行,华东师范大学第二附属中学松江分校,,748.5
2024,闵行,上海市松江一中,,716.5
2024,闵行,上海外国语大学附属外国语学校松江云间中学,,731.5
2024,闵行,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,闵行,上海市青浦高级中学,,729
2024,闵行,复旦大学附属中学青浦分校,,743.5
2024,闵行,上海市朱家角中学,,703
2024,闵行,上海市奉贤中学,,745
2024,闵行,华东师范大学第二附属中学临港奉贤分校,,740.5
2024,闵行,上海市崇明中学,,708
2024,青浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,青浦,上海市大同中学,,718.5
2024,青浦,上海市第二中学,,687.5
2024,青浦,上海市南洋模范中学,,743
2024,青浦,上海市上海中学,,758.5
2024,青浦,上海市位育中学,,734.5
2024,青浦,上海市南洋中学,,713.5
2024,青浦,上海市第三女子中学,,711
2024,青浦,上海市延安中学,,732.5
2024,青浦,上海市复旦中学,,728
2024,青浦,上海市育才中学,,720
2024,青浦,上海市新中高级中学,,707.5
2024,青浦,上海市晋元高级中学,,719
2024,青浦,上海市曹杨第二中学,,735.5
2024,青浦,上海市宜川中学,,700
2024,青浦,华东师范大学第一附属中学,,711.5
2024,青浦,上海市杨浦高级中学,,713
2024,青浦,上海市控江中学,,732
2024,青浦,上海交通大学附属中学,,758
2024,青浦,复旦大学附属中学,,755.5
2024,青浦,上海市七宝中学,,758.5
2024,青浦,上海师范大学附属中学闵行分校,,663
2024,青浦,上海交通大学附属中学闵行分校,,747.5
2024,青浦,上海市闵行中学,,717
2024,青浦,上海市行知中学,,722
2024,青浦,上海大学附属中学,,708
2024,青浦,上海市吴淞中学,,706
2024,青浦,上海市嘉定区第一中学,,710
2024,青浦,上海交通大学附属中学嘉定分校,,755
2024,青浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,青浦,上海市建平中学,,729.5
2024,青浦,上海市进才中学,,738
2024,青浦,华东师范大学第二附属中学,,760.5
2024,青浦,上海南汇中学,,701
2024,青浦,上海师范大学附属中学,,671.5
2024,青浦,上海市洋泾中学,,710.5
2024,青浦,上海市高桥中学,,680.5
2024,青浦,上海市川沙中学,,689
2024,青浦,上海市金山中学,,708
2024,青浦,华东师范大学第三附属中学,,691
2024,青浦,上海市松江二中,,738.5
2024,青浦,上海市松江一中,,707.5
2024,青浦,上海外国语大学附属外国语学校松江云间中学,,722.5
2024,青浦,上海市青浦高级中学,,737
2024,青浦,复旦大学附属中学青浦分校,,765.5
2024,青浦,上海市朱家角中学,,711
2024,青浦,上海市奉贤中学,,743
2024,青浦,上海市崇明中学,,693.5
2024,静安,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,静安,上海市格致中学,,742
2024,静安,上海市大同中学,,724.5
2024,静安,上海市向明中学,,738.5
2024,静安,上海外国语大学附属大境中学,,698.5
2024,静安,上海市光明中学,,699
2024,静安,上海市敬业中学,,716.5
2024,静安,上海市第二中学,,724
2024,静安,上海市南洋模范中学,,747
2024,静安,上海市上海中学,,760
2024,静安,上海市位育中学,,743.5
2024,静安,复旦大学附属中学徐汇分校,,744
2024,静安,上海市南洋中学,,713
2024,静安,上海市第三女子中学,,718.5
2024,静安,上海市延安中学,,734.5
2024,静安,上海市复旦中学,,693
2024,静安,上海市市西中学,,741.5
2024,静安,上海市育才中学,,721
2024,静安,上海市新中高级中学,,723
2024,静安,上海市市北中学,,734.5
2024,静安,上海市回民中学,,678
2024,静安,上海市第六十中学,,697.5
2024,静安,上海市华东模范中学,,696.5
2024,静安,上海市晋元高级中学,,731.5
2024,静安,上海市曹杨第二中学,,739.5
2024,静安,上海市宜川中学,,721
2024,静安,华东师范大学第二附属中学（普陀校区）,,741.5
2024,静安,上海市复兴高级中学,,749.5
2024,静安,华东师范大学第一附属中学,,730
2024,静安,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,静安,上海财经大学附属北郊高级中学,,715.5
2024,静安,上海市杨浦高级中学,,729.5
2024,静安,上海市控江中学,,742.5
2024,静安,上海交通大学附属中学,,748
2024,静安,复旦大学附属中学,,753.5
2024,静安,同济大学第一附属中学,,719
2024,静安,上海市七宝中学,,747
2024,静安,华东师范大学第二附属中学闵行紫竹分校,,740.5
2024,静安,上海师范大学附属中学闵行分校,,723.5
2024,静安,上海交通大学附属中学闵行分校,,744.5
2024,静安,上海市闵行中学,,724.5
2024,静安,上海市行知中学,,734
2024,静安,上海大学附属中学,,720
2024,静安,上海师范大学附属中学宝山分校,,718
2024,静安,上海市吴淞中学,,719
2024,静安,华东师范大学第二附属中学（宝山校区）,,739
2024,静安,上海市嘉定区第一中学,,714.5
2024,静安,上海交通大学附属中学嘉定分校,,756.5
2024,静安,上海中学东校,,730
2024,静安,上海市建平中学,,747
2024,静安,上海市进才中学,,734
2024,静安,华东师范大学第二附属中学,,753.5
2024,静安,上海南汇中学,,677
2024,静安,上海市浦东复旦附中分校,,746
2024,静安,上海市洋泾中学,,713
2024,静安,上海市高桥中学,,702
2024,静安,上海市川沙中学,,712
2024,静安,上海市金山中学,,721.5
2024,静安,华东师范大学第三附属中学,,671
2024,静安,上海市松江二中,,736.5
2024,静安,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,静安,上海市松江一中,,710
2024,静安,上海外国语大学附属外国语学校松江云间中学,,722.5
2024,静安,上海市青浦高级中学,,719
2024,静安,复旦大学附属中学青浦分校,,749
2024,静安,上海市朱家角中学,,692.5
2024,静安,上海市奉贤中学,,742.5
2024,静安,华东师范大学第二附属中学临港奉贤分校,,736
2024,静安,上海市崇明中学,,714
2024,静安,上海市实验学校东滩高级中学,,715.5
2024,黄浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,黄浦,上海市格致中学,,743.5
2024,黄浦,上海市格致中学（奉贤校区）,,732.5
2024,黄浦,上海市大同中学,,754
2024,黄浦,上海市向明中学,,735.5
2024,黄浦,上海市向明中学（浦江校区）,,720
2024,黄浦,上海外国语大学附属大境中学,,716
2024,黄浦,上海市光明中学,,712
2024,黄浦,上海市敬业中学,,724
2024,黄浦,上海市卢湾高级中学,,709
2024,黄浦,上海市第二中学,,729.5
2024,黄浦,上海市南洋模范中学,,753.5
2024,黄浦,上海市上海中学,,759.5
2024,黄浦,上海市位育中学,,735.5
2024,黄浦,上海市南洋中学,,719
2024,黄浦,上海市第三女子中学,,698.5
2024,黄浦,上海市延安中学,,735.5
2024,黄浦,上海市复旦中学,,714.5
2024,黄浦,上海市市西中学,,731.5
2024,黄浦,上海市育才中学,,728
2024,黄浦,上海市市北中学,,728
2024,黄浦,上海市回民中学,,681
2024,黄浦,上海市第六十中学,,707
2024,黄浦,上海市华东模范中学,,704
2024,黄浦,上海市曹杨第二中学,,751.5
2024,黄浦,上海市宜川中学,,691.5
2024,黄浦,华东师范大学第二附属中学（普陀校区）,,752.5
2024,黄浦,华东师范大学第一附属中学,,702
2024,黄浦,上海市杨浦高级中学,,725.5
2024,黄浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,黄浦,上海市控江中学,,740.5
2024,黄浦,上海交通大学附属中学,,751.5
2024,黄浦,复旦大学附属中学,,755.5
2024,黄浦,上海市七宝中学,,753.5
2024,黄浦,华东师范大学第二附属中学闵行紫竹分校,,735
2024,黄浦,上海师范大学附属中学闵行分校,,719
2024,黄浦,上海市闵行中学,,714.5
2024,黄浦,上海市行知中学,,737
2024,黄浦,上海大学附属中学,,718
2024,黄浦,上海师范大学附属中学宝山分校,,703.5
2024,黄浦,上海市吴淞中学,,713
2024,黄浦,华东师范大学第二附属中学（宝山校区）,,745
2024,黄浦,上海市嘉定区第一中学,,710.5
2024,黄浦,上海交通大学附属中学嘉定分校,,748
2024,黄浦,上海市建平中学,,737
2024,黄浦,上海市进才中学,,737.5
2024,黄浦,华东师范大学第二附属中学,,748
2024,黄浦,上海南汇中学,,691.5
2024,黄浦,上海市浦东复旦附中分校,,755
2024,黄浦,上海市洋泾中学,,720.5
2024,黄浦,上海市高桥中学,,701
2024,黄浦,上海市川沙中学,,713
2024,黄浦,上海市金山中学,,721.5
2024,黄浦,华东师范大学第三附属中学,,678
2024,黄浦,上海市松江二中,,739
2024,黄浦,上海市松江一中,,716.5
2024,黄浦,上海外国语大学附属外国语学校松江云间中学,,715
2024,黄浦,上海市青浦高级中学,,700
2024,黄浦,复旦大学附属中学青浦分校,,753
2024,黄浦,上海市朱家角中学,,703.5
2024,黄浦,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,黄浦,上海市奉贤中学,,729.5
2024,黄浦,华东师范大学第二附属中学临港奉贤分校,,731
2024,黄浦,上海市崇明中学,,698
