年份,区域,学校名称,学校代码,录取分数线
2024,松江,华东师范大学第二附属中学松江分校,,764
2024,松江,上海市松江一中,,728
2024,松江,上海外国语大学附属外国语学校松江云间中学,,737.5
2024,松江,上海市青浦高级中学,,725.5
2024,松江,复旦大学附属中学青浦分校,,757
2024,松江,上海市朱家角中学,,712
2024,松江,上海市奉贤中学,,743.5
2024,松江,上海市崇明中学,,691.5
2024,浦东新区,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,浦东新区,上海市格致中学,,740.5
2024,浦东新区,上海市大同中学,,736
2024,浦东新区,上海市向明中学,,723
2024,浦东新区,上海外国语大学附属大境中学,,712.5
2024,浦东新区,上海市光明中学,,701.5
2024,浦东新区,上海市敬业中学,,715
2024,浦东新区,上海市卢湾高级中学,,711
2024,浦东新区,上海市第二中学,,726
2024,浦东新区,上海市南洋模范中学,,748
2024,浦东新区,上海市上海中学,,759
2024,浦东新区,上海市位育中学,,727
2024,浦东新区,复旦大学附属中学徐汇分校,,752
2024,浦东新区,上海市南洋中学,,719
2024,浦东新区,上海市第三女子中学,,717.5
2024,浦东新区,上海市延安中学,,729.5
2024,浦东新区,上海市复旦中学,,716
2024,浦东新区,上海市市西中学,,723.5
2024,浦东新区,上海市育才中学,,722
2024,浦东新区,上海市新中高级中学,,709.5
2024,浦东新区,上海市市北中学,,719.5
2024,浦东新区,上海市回民中学,,686
2024,浦东新区,上海市第六十中学,,691.5
2024,浦东新区,上海市华东模范中学,,688.5
2024,浦东新区,上海市晋元高级中学,,726.5
2024,浦东新区,上海市曹杨第二中学,,736.5
2024,浦东新区,上海市宜川中学,,708.5
2024,浦东新区,上海市复兴高级中学,,739
2024,浦东新区,华东师范大学第一附属中学,,724
2024,浦东新区,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,浦东新区,上海财经大学附属北郊高级中学,,705
2024,浦东新区,上海市杨浦高级中学,,727
2024,浦东新区,上海市控江中学,,740.5
2024,浦东新区,上海交通大学附属中学,,753
2024,浦东新区,复旦大学附属中学,,757
2024,浦东新区,同济大学第一附属中学,,710.5
2024,浦东新区,上海市七宝中学,,746.5
2024,浦东新区,华东师范大学第二附属中学闵行紫竹分校,,742
2024,浦东新区,上海师范大学附属中学闵行分校,,723
2024,浦东新区,上海交通大学附属中学闵行分校,,749.5
2024,浦东新区,上海市闵行中学,,715
2024,浦东新区,上海市行知中学,,724.5
2024,浦东新区,上海大学附属中学,,707
2024,浦东新区,上海市吴淞中学,,709
2024,浦东新区,华东师范大学第二附属中学（宝山校区）,,741.5
2024,浦东新区,上海市嘉定区第一中学,,713
2024,浦东新区,上海交通大学附属中学嘉定分校,,758.5
2024,浦东新区,上海中学东校,,732
2024,浦东新区,上海市建平中学,,749.5
2024,浦东新区,上海市进才中学,,745
2024,浦东新区,华东师范大学第二附属中学,,756
2024,浦东新区,上海南汇中学,,720
2024,浦东新区,上海市浦东复旦附中分校,,751
2024,浦东新区,上海师范大学附属中学,,731.5
2024,浦东新区,上海市洋泾中学,,727.5
2024,浦东新区,上海市高桥中学,,719
2024,浦东新区,上海市川沙中学,,727.5
2024,浦东新区,上海市实验学校,,741
2024,浦东新区,上海市金山中学,,725.5
2024,浦东新区,华东师范大学第三附属中学,,703.5
2024,浦东新区,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,浦东新区,上海市松江二中,,726.5
2024,浦东新区,华东师范大学第二附属中学松江分校,,744.5
2024,浦东新区,上海市松江一中,,705.5
2024,浦东新区,上海外国语大学附属外国语学校松江云间中学,,721
2024,浦东新区,上海市青浦高级中学,,715
2024,浦东新区,复旦大学附属中学青浦分校,,746.5
2024,浦东新区,上海市朱家角中学,,698
2024,浦东新区,上海市奉贤中学,,739.5
2024,浦东新区,华东师范大学第二附属中学临港奉贤分校,,735.5
2024,浦东新区,上海市崇明中学,,715
2024,浦东新区,上海市实验学校东滩高级中学,,726
2024,虹口,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,虹口,上海市格致中学,,745.5
2024,虹口,上海市大同中学,,733
2024,虹口,上海外国语大学附属大境中学,,714
2024,虹口,上海市光明中学,,719
2024,虹口,上海市敬业中学,,707.5
2024,虹口,上海市第二中学,,726
2024,虹口,上海市南洋模范中学,,742.5
2024,虹口,上海市上海中学,,761
2024,虹口,上海市位育中学,,743
2024,虹口,上海市南洋中学,,707.5
2024,虹口,上海市第三女子中学,,702
2024,虹口,上海市延安中学,,731.5
2024,虹口,上海市复旦中学,,706
2024,虹口,上海市育才中学,,720.5
2024,虹口,上海市新中高级中学,,725
2024,虹口,上海市市北中学,,736.5
2024,虹口,上海市回民中学,,662
2024,虹口,上海市第六十中学,,704.5
2024,虹口,上海市华东模范中学,,709
2024,虹口,上海市晋元高级中学,,698
2024,虹口,上海市曹杨第二中学,,738.5
2024,虹口,上海市宜川中学,,718
