年份,批次,区名称,招生学校,录取最低分,是否同分优待
2025,名额分配到区,静安区,上海市吴淞中学,713.5,否
2025,名额分配到区,静安区,华东师范大学第二附属中学（宝山校区）,750.5,否
2025,名额分配到区,静安区,上海市第一中学,730.5,否
2025,名额分配到区,静安区,上海交通大学附属中学嘉定分校,750,否
2025,名额分配到区,静安区,上海师范大学附属中学嘉定新城分校,731.5,否
2025,名额分配到区,静安区,上海中学东校,732,否
2025,名额分配到区,静安区,上海市建平中学,692,否
2025,名额分配到区,静安区,上海市进才中学,740.5,否
2025,名额分配到区,静安区,华东师范大学第二附属中学,744,否
2025,名额分配到区,静安区,上海南汇中学,699,否
2025,名额分配到区,静安区,上海市浦东复旦附中分校,743.5,否
2025,名额分配到区,静安区,上海市洋泾中学,715.5,是
2025,名额分配到区,静安区,上海市高桥中学,701.5,否
2025,名额分配到区,静安区,上海市川沙中学,717.5,否
2025,名额分配到区,静安区,上海市金山中学,717.5,否
2025,名额分配到区,静安区,华东师范大学第三附属中学,675.5,否
2025,名额分配到区,静安区,上海市松江二中,736,否
2025,名额分配到区,静安区,上海市松江一中,696,否
2025,名额分配到区,静安区,上海外国语大学附属外国语学校松江云间中学,732,否
2025,名额分配到区,静安区,上海市青浦高级中学,701,否
2025,名额分配到区,静安区,复旦大学附属中学青浦分校,741.5,否
2025,名额分配到区,静安区,上海市朱家角中学,683,否
2025,名额分配到区,静安区,上海市奉贤中学 院,726,否
2025,名额分配到区,静安区,华东师范大学第二附属中学临港奉贤分校,731,否
2025,名额分配到区,静安区,上海市崇明中学,702,否
2025,名额分配到区,静安区,上海市实验学校东滩高级中学,711.5,否
2025,名额分配到区,普陀区,院上海市格致中学,738,否
2025,名额分配到区,普陀区,上海市大同中学,732.5,否
2025,名额分配到区,普陀区,上海市向明中学,728.5,否
2025,名额分配到区,普陀区,上海外国语大学附属大境中学,715.5,否
2025,名额分配到区,普陀区,上海市光明中学,706.5,否
2025,名额分配到区,普陀区,院,711,否
2025,名额分配到区,普陀区,上海市第二中学,727,否
2025,名额分配到区,普陀区,上海市南洋模范中学,752.5,否
2025,名额分配到区,普陀区,上海市位育中学,743,否
2025,名额分配到区,普陀区,复旦大学附属中学徐汇分校,755.5,否
2025,名额分配到区,普陀区,上海市南洋中学,707,否
2025,名额分配到区,普陀区,上海市第三女子中学,732,否
2025,名额分配到区,普陀区,上海市延安中学,743.5,否
2025,名额分配到区,普陀区,上海市复旦中学,721.5,否
2025,名额分配到区,普陀区,上海市市西中学,731,否
2025,名额分配到区,普陀区,上海市育才中学,720.5,否
2025,名额分配到区,普陀区,上海市新中高级中学,708.5,否
2025,名额分配到区,普陀区,上海市市北中学,726.5,否
2025,名额分配到区,普陀区,上海市回民中学,690.5,否
2025,名额分配到区,普陀区,上海市第六十中学,694,否
2025,名额分配到区,普陀区,上海市华东模范中学,690,否
2025,名额分配到区,普陀区,上海市晋元高级中学,735.5,否
2025,名额分配到区,普陀区,上海市曹杨第二中学,752,否
2025,名额分配到区,普陀区,上海市宜川中学,717.5,否
2025,名额分配到区,普陀区,华东师范大学第二附属中学（普陀校区）,760.5,否
2025,名额分配到区,普陀区,复旦大学附属复兴中学,733,否
2025,名额分配到区,普陀区,华东师范大学第一附属中学,731,否
2025,名额分配到区,普陀区,上海财经大学附属北郊高级中学,714,否
2025,名额分配到区,普陀区,上海市杨浦高级中学,726,否
2025,名额分配到区,普陀区,上海市控江中学,740.5,否
2025,名额分配到区,普陀区,上海交通大学附属中学,756.5,否
2025,名额分配到区,普陀区,复旦大学附属中学,762,否
2025,名额分配到区,普陀区,同济大学第一附属中学 院,722,否
2025,名额分配到区,普陀区,上海市七宝中学,748,否
2025,名额分配到区,普陀区,华东师范大学第二附属中学闵行紫竹分校,750,否
2025,名额分配到区,普陀区,上海师范大学附属中学闵行分校,720.5,否
2025,名额分配到区,普陀区,上海交通大学附属中学闵行分校,759,否
2025,名额分配到区,普陀区,上海市行知中学,721,否
2025,名额分配到区,普陀区,上海大学附属中学,714,否
2025,名额分配到区,普陀区,上海师范大学附属中学宝山分校,726,否
2025,名额分配到区,普陀区,上海市吴淞中学,718,否
2025,名额分配到区,普陀区,上海市第一中学,728.5,否
2025,名额分配到区,普陀区,上海交通大学附属中学嘉定分校,753,否
2025,名额分配到区,普陀区,上海师范大学附属中学嘉定新城分校,715,否
2025,名额分配到区,普陀区,上海市建平中学,748,否
2025,名额分配到区,普陀区,上海市进才中学,739.5,否
2025,名额分配到区,普陀区,华东师范大学第二附属中学,756.5,否
2025,名额分配到区,普陀区,上海南汇中学,703,否
