school_id,school_name,school_district_id,school_district_name,target_district_id,target_district_name,cutoff_score_2024
176,上海存志高级中学,10,宝山区,4,长宁区,664.00
176,上海存志高级中学,10,宝山区,5,静安区,651.00
176,上海存志高级中学,10,宝山区,6,普陀区,646.00
176,上海存志高级中学,10,宝山区,8,杨浦区,655.50
176,上海存志高级中学,10,宝山区,9,闵行区,617.50
176,上海存志高级中学,10,宝山区,11,嘉定区,633.00
176,上海存志高级中学,10,宝山区,12,浦东新区,634.50
176,上海存志高级中学,10,宝山区,13,金山区,625.00
176,上海存志高级中学,10,宝山区,14,松江区,602.00
176,上海存志高级中学,10,宝山区,15,青浦区,584.50
176,上海存志高级中学,10,宝山区,16,奉贤区,617.00
177,上海宝山区民办维尚高级中学,10,宝山区,2,黄浦区,572.00
177,上海宝山区民办维尚高级中学,10,宝山区,4,长宁区,583.50
177,上海宝山区民办维尚高级中学,10,宝山区,5,静安区,566.50
177,上海宝山区民办维尚高级中学,10,宝山区,6,普陀区,652.50
177,上海宝山区民办维尚高级中学,10,宝山区,8,杨浦区,608.50
177,上海宝山区民办维尚高级中学,10,宝山区,9,闵行区,657.00
177,上海宝山区民办维尚高级中学,10,宝山区,12,浦东新区,610.00
177,上海宝山区民办维尚高级中学,10,宝山区,14,松江区,597.00
178,上海创艺高级中学,10,宝山区,2,黄浦区,541.00
178,上海创艺高级中学,10,宝山区,3,徐汇区,528.50
178,上海创艺高级中学,10,宝山区,5,静安区,525.50
178,上海创艺高级中学,10,宝山区,8,杨浦区,518.00
178,上海创艺高级中学,10,宝山区,9,闵行区,519.50
178,上海创艺高级中学,10,宝山区,11,嘉定区,518.00
178,上海创艺高级中学,10,宝山区,12,浦东新区,521.00
178,上海创艺高级中学,10,宝山区,13,金山区,597.00
178,上海创艺高级中学,10,宝山区,14,松江区,523.50
178,上海创艺高级中学,10,宝山区,17,崇明区,518.00
179,上海市宝山华曜高级中学,10,宝山区,2,黄浦区,619.50
179,上海市宝山华曜高级中学,10,宝山区,4,长宁区,611.00
179,上海市宝山华曜高级中学,10,宝山区,5,静安区,646.50
179,上海市宝山华曜高级中学,10,宝山区,6,普陀区,643.00
179,上海市宝山华曜高级中学,10,宝山区,8,杨浦区,654.00
179,上海市宝山华曜高级中学,10,宝山区,9,闵行区,615.50
179,上海市宝山华曜高级中学,10,宝山区,11,嘉定区,628.50
179,上海市宝山华曜高级中学,10,宝山区,12,浦东新区,633.00
179,上海市宝山华曜高级中学,10,宝山区,13,金山区,594.00
179,上海市宝山华曜高级中学,10,宝山区,14,松江区,608.50
179,上海市宝山华曜高级中学,10,宝山区,16,奉贤区,612.50
179,上海市宝山华曜高级中学,10,宝山区,17,崇明区,623.00
180,上海市同洲模范学校,10,宝山区,8,杨浦区,555.00
180,上海市同洲模范学校,10,宝山区,9,闵行区,579.50
180,上海市同洲模范学校,10,宝山区,11,嘉定区,523.50
180,上海市同洲模范学校,10,宝山区,12,浦东新区,540.00
180,上海市同洲模范学校,10,宝山区,15,青浦区,5420.00
181,上海金瑞学校,10,宝山区,2,黄浦区,546.50
181,上海金瑞学校,10,宝山区,3,徐汇区,569.00
181,上海金瑞学校,10,宝山区,6,普陀区,656.00
181,上海金瑞学校,10,宝山区,8,杨浦区,518.00
181,上海金瑞学校,10,宝山区,9,闵行区,518.00
181,上海金瑞学校,10,宝山区,11,嘉定区,518.00
182,上海宝山区世外学校,10,宝山区,2,黄浦区,674.00
182,上海宝山区世外学校,10,宝山区,3,徐汇区,673.00
