初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市民办新华初级中学,华东师范大学第一附属中学,726.5,否,408,134,134,127
上海市民办新华初级中学,上海财经大学附属北郊高级中学,709.5,否,394.5,123,126,124
上海市民办新北郊初级中学,上海市复兴高级中学,734.5,否,408.5,133,129,134
上海市民办新北郊初级中学,华东师范大学第一附属中学,727,否,399,138,123,141
上海市民办新北郊初级中学,上海财经大学附属北郊高级中学,711.5,否,393.5,121,130,120
上海市民办新北郊初级中学,上海交通大学附属中学,745,否,410.5,135,132,141
上海市第五十二中学,上海市复兴高级中学,733.5,否,401,119,137,138
上海市第五十二中学,华东师范大学第一附属中学,721.5,否,402,123,134,130
上海市第五十二中学,上海财经大学附属北郊高级中学,713,否,380,119,122,138
上海市民办迅行中学,上海市复兴高级中学,739,否,401,134,133,143
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市民办迅行中学,华东师范大学第一附属中学,733,否,401,134,129,136
上海市民办迅行中学,上海财经大学附属北郊高级中学,718.5,否,391,129,131,133
上海外国语大学第一实验学校,上海市复兴高级中学,731.5,否,404.5,123,140,136
上海外国语大学第一实验学校,华东师范大学第一附属中学,724,否,398,123,132,131.5
上海外国语大学第一实验学校,上海财经大学附属北郊高级中学,716,否,397,129,125,128
上海外国语大学第一实验学校,复旦大学附属中学,748.5,否,416.5,144,132,141
上海市北郊学校,上海市复兴高级中学,723.5,否,390,118,129,139
上海市北郊学校,华东师范大学第一附属中学,719.5,否,395,135,130,135
上海市北郊学校,上海财经大学附属北郊高级中学,710.5,否,389.5,127,125,128
上海市北郊学校,上海交通大学附属中学,743.5,否,406.5,139,126,146
上海市霍山学校,上海市复兴高级中学,721,否,393,123,132,131
上海市霍山学校,华东师范大学第一附属中学,723,否,400,127,129,131
上海市霍山学校,上海财经大学附属北郊高级中学,715.5,否,394.5,127,132,126
上海市霍山学校,上海交通大学附属中学,732,否,407,124,139,131
上海市长青学校,上海市复兴高级中学,721.5,否,393.5,126,124,138
上海市长青学校,华东师范大学第一附属中学,713.5,否,383,117,127,139
上海市长青学校,上海财经大学附属北郊高级中学,708.5,否,377,119,126,141
上海市长青学校,华东师范大学第二附属中学,741,否,398,128,125,145
上海市虹口实验学校,上海市上海中学,754,否,414,134,136,140
上海市虹口实验学校,上海市复兴高级中学,731.5,否,401.5,124,133,136
上海市虹口实验学校,华东师范大学第一附属中学,720,否,394,120,132,135
上海市虹口实验学校,上海财经大学附属北郊高级中学,709.5,否,388.5,120,131,130
上海世外教育附属虹口区欧阳学校,上海市复兴高级中学,716.5,否,398.5,129,128,130
上海世外教育附属虹口区欧阳学校,华东师范大学第一附属中学,715.5,否,394,128,124,133
上海世外教育附属虹口区欧阳学校,上海财经大学附属北郊高级中学,697.5,否,380,122,130,127
