各初中学校考生人数（按到校名额占比推算，非官方公布）,,,,
推算方法：名额分配到校计划按各初中应届毕业生占全区比例均衡分配，故 推算考生数 = 全区考生数 × (该校到校名额合计 ÷ 全区到校名额合计)。全区考生数取自本工作簿『考生人数』Sheet（16区为民间估算，非官方口径）；到校名额合计取自『名额分配到校计划(逐校)』。结果四舍五入，单校误差约 ±(全区考生数÷全区到校名额) 人/名额；仅覆盖实际拿到到校名额的初中，个别 0 名额校（多为无中招报名资格或极小规模）不在此表。此数为推算值，仅供量级参考，正式用途以上海市教育考试院公布为准。,,,,
区,初中学校,推算考生数(人),到校名额合计,占全区比例(%)
普陀区,同济大学第二附属中学,333,34,4.62
普陀区,华东师范大学第四附属中学,313,32,4.35
普陀区,上海市曹杨第二中学附属学校,304,31,4.21
普陀区,上海华东师范大学附属进华中学,284,29,3.94
普陀区,上海市曹杨中学,255,26,3.53
普陀区,上海市江宁学校,255,26,3.53
普陀区,上海兰田中学,245,25,3.4
普陀区,上海市新杨中学,245,25,3.4
普陀区,上海市普陀区教育学院附属中学,235,24,3.26
普陀区,上海市普陀区梅陇实验中学,225,23,3.12
普陀区,上海市长征中学,225,23,3.12
普陀区,上海外国语大学尚阳外国语学校,225,23,3.12
普陀区,上海培佳双语学校,215,22,2.99
普陀区,上海市中远实验学校,215,22,2.99
普陀区,华东师范大学附属外国语实验学校,206,21,2.85
普陀区,上海市万里城实验学校,206,21,2.85
普陀区,上海市曹杨中学附属学校,186,19,2.58
普陀区,上海师范大学附属第二实验学校,166,17,2.31
普陀区,上海市曹杨第二中学附属实验中学,157,16,2.17
普陀区,上海市北海中学,137,14,1.9
普陀区,上海市民办新黄浦实验学校,137,14,1.9
普陀区,上海市文达学校,137,14,1.9
普陀区,上海市延河中学,117,12,1.63
普陀区,上海市真北中学,108,11,1.49
普陀区,上海市桃浦中学,108,11,1.49
普陀区,上海市铜川学校,108,11,1.49
普陀区,上海市宜川中学附属学校,108,11,1.49
普陀区,上海市晋元高级中学附属学校南校,98,10,1.36
普陀区,上海市沙田学校,98,10,1.36
普陀区,上海市洵阳中学,88,9,1.22
普陀区,上海市子长学校,59,6,0.82
普陀区,上海市洛川学校,59,6,0.82
普陀区,上海市普陀区教育学院附属学校,59,6,0.82
普陀区,上海理工大学附属普陀实验学校,59,6,0.82
普陀区,上海市怒江中学,39,4,0.54
普陀区,上海市甘泉外国语中学,39,4,0.54
普陀区,上海音乐学院附属安师实验中学,39,4,0.54
普陀区,上海安生学校,39,4,0.54
普陀区,上海市金鼎学校,39,4,0.54
虹口区,上海市民办新北郊初级中学,375,44,9.02
虹口区,上海市虹口实验学校,366,43,8.81
虹口区,上海市民办新复兴初级中学,366,43,8.81
虹口区,上海市民办新华初级中学,349,41,8.4
虹口区,上海市曲阳第二中学,256,30,6.15
虹口区,上海市丰镇中学,239,28,5.74
虹口区,上海市钟山初级中学,204,24,4.92
虹口区,华东师范大学第一附属初级中学,204,24,4.92
虹口区,上海市民办迅行中学,162,19,3.89
虹口区,上海民办克勒外国语学校,162,19,3.89
虹口区,上海音乐学院虹口区实验中学,153,18,3.69
虹口区,上海市长青学校,145,17,3.48
虹口区,上海市江湾初级中学,145,17,3.48
虹口区,上海市复兴实验中学,145,17,3.48
虹口区,上海市鲁迅初级中学,145,17,3.48
虹口区,上海市虹口区教育学院实验中学,136,16,3.28
虹口区,上海市北郊学校,119,14,2.87
虹口区,上海市第五十二中学,111,13,2.66
虹口区,上海师范大学附属虹口中学,111,13,2.66
虹口区,上海世外教育附属虹口区欧阳学校,102,12,2.46
虹口区,上海市继光初级中学,85,10,2.05
虹口区,同济大学附属澄衷中学,43,5,1.02
虹口区,上海市海南中学,34,4,0.82
杨浦区,上海市铁岭中学,423,41,5.8
杨浦区,上海音乐学院实验学校,392,38,5.37
杨浦区,上海市控江初级中学,361,35,4.95
杨浦区,上海市复旦实验中学,361,35,4.95
杨浦区,上海理工大学附属初级中学,309,30,4.24
杨浦区,复旦大学第二附属学校,309,30,4.24
杨浦区,上海市国和中学,299,29,4.1
杨浦区,上海市三门中学（上海财大学附属初级中学）,268,26,3.68
杨浦区,上海市昆明学校,247,24,3.39
杨浦区,上海市辽阳中学,237,23,3.25
杨浦区,上海杨浦双语学校,237,23,3.25
杨浦区,上海市同济初级中学,217,21,2.97
杨浦区,上海市市光学校,217,21,2.97
杨浦区,上海市存志学校,206,20,2.83
杨浦区,上海市鞍山初级中学,186,18,2.55
杨浦区,上海市鞍山实验中学,186,18,2.55
杨浦区,上海理工大学附属实验初级中学,186,18,2.55
杨浦区,上海民办兰生中学,175,17,2.4
杨浦区,上海民办杨浦凯慧初级中学,165,16,2.26
杨浦区,上海市十五中学,155,15,2.12
杨浦区,上海市同济第二初级中学,155,15,2.12
杨浦区,上海市黄兴学校,155,15,2.12
杨浦区,上海市惠民中学,144,14,1.98
杨浦区,上海市思源中学,144,14,1.98
杨浦区,上海市市东实验学校（上海市市东中学）,144,14,1.98
杨浦区,上海民办杨浦实验学校,144,14,1.98
杨浦区,同济大学附属新江湾城实验学校,144,14,1.98
杨浦区,上海市杨浦初级中学,124,12,1.7
杨浦区,上海市新大桥中学,124,12,1.7
杨浦区,上海市二十五中学,124,12,1.7
杨浦区,上海市长阳实验学校,124,12,1.7
杨浦区,上海同大实验学校,113,11,1.56
杨浦区,上海市杨浦区教育学院附属中学,103,10,1.41
杨浦区,上海市育鹰学校,103,10,1.41
杨浦区,上海市包头中学,93,9,1.27
杨浦区,上海民办沪东外国语学校,93,9,1.27
杨浦区,上海市建设初级中学,62,6,0.85
杨浦区,上海市东辽阳中学,31,3,0.42
杨浦区,上海市体育学院附属中学,31,3,0.42
闵行区,上海市闵行区莘松中学,1441,107,8.29
闵行区,上海市闵行区七宝第二中学,1051,78,6.05
闵行区,上海市七宝中学附属鑫都实验中学,660,49,3.8
闵行区,上海市莘光学校,660,49,3.8
闵行区,上海市实验学校西校,498,37,2.87
闵行区,上海交通大学附属第二中学,498,37,2.87
闵行区,华东师范大学第二附属中学附属初级中学,471,35,2.71
闵行区,上海市民办文绮中学,458,34,2.64
闵行区,上海市闵行区七宝第三中学,404,30,2.33
闵行区,上海师范大学康城实验学校,391,29,2.25
闵行区,上海市莘城学校,391,29,2.25
闵行区,上海市闵行区颛桥中学,377,28,2.17
闵行区,上海市闵行区浦江第一中学,364,27,2.09
闵行区,上海市闵行区田园外国语中学,364,27,2.09
闵行区,上海市闵行区浦航实验中学,337,25,1.94
闵行区,上海市闵行区马桥复旦万科实验中学,337,25,1.94
闵行区,上海市民办上宝中学,337,25,1.94
闵行区,上海市文来中学,337,25,1.94
闵行区,上海市七宝实验中学,323,24,1.86
闵行区,上海市闵行中学附属实验中学,323,24,1.86
闵行区,上海市闵行区龙茗中学,296,22,1.71
闵行区,上海市师资培训中心附属闵行实验中学,296,22,1.71
闵行区,上海中医药大学附属闵行晶城中学,296,22,1.71
闵行区,上海市闵行区七宝文来学校,296,22,1.71
闵行区,上海市七宝中学附属闵行金都实验中学,256,19,1.47
闵行区,上海市闵行区鹤北初级中学,242,18,1.4
闵行区,上海市航华中学,215,16,1.24
闵行区,上海市闵行区浦江第二中学,215,16,1.24
闵行区,上海市闵行区浦江第三中学,215,16,1.24
闵行区,上海市罗阳中学,202,15,1.16
闵行区,上海尚师初级中学,202,15,1.16
闵行区,上海市骏博外国语学校,202,15,1.16
闵行区,上海市闵行区诸翟学校,202,15,1.16
闵行区,上海交通大学附属闵行马桥实验学校,202,15,1.16
闵行区,上海市闵行第四中学,189,14,1.09
闵行区,上海师范大学附属闵行第三中学,189,14,1.09
闵行区,上海市闵行区华漕学校,189,14,1.09
闵行区,上海市闵行区文来实验学校,175,13,1.01
闵行区,上海市闵行区上虹中学,162,12,0.93
闵行区,上海市闵行区北桥中学,162,12,0.93
闵行区,上海市闵行区明星学校,162,12,0.93
闵行区,上海闵行区协和双语教科学校,148,11,0.85
闵行区,上海市闵行区纪王学校,148,11,0.85
闵行区,上海师范大学附属中学闵行实验学校,148,11,0.85
闵行区,华东师范大学附属闵行永德学校,148,11,0.85
闵行区,上海市民办德英乐实验学校,148,11,0.85
闵行区,上海市龙柏中学,135,10,0.78
闵行区,上海市闵行第三中学,135,10,0.78
闵行区,上海市闵行区君莲学校,135,10,0.78
闵行区,上海民办圣华紫竹双语学校,135,10,0.78
闵行区,上海市马桥强恕学校,121,9,0.7
闵行区,上海世外教育附属浦江外国语学校,121,9,0.7
闵行区,上海市民办万源城协和双语学校,121,9,0.7
闵行区,上海市吴泾中学,108,8,0.62
闵行区,华东师范大学附属闵行虹桥学校,108,8,0.62
闵行区,华东理工大学附属闵行梅陇实验学校,108,8,0.62
闵行区,上海市燎原双语学校,108,8,0.62
闵行区,上海市民办协和双语尚音学校,108,8,0.62
闵行区,上海博世凯外国语学校,108,8,0.62
闵行区,上海市古美学校,94,7,0.54
闵行区,上海市民办协和双语学校,67,5,0.39
闵行区,上海星河湾双语学校,67,5,0.39
闵行区,上海闵行区万科双语学校,67,5,0.39
闵行区,上海闵行区民办美高双语学校,67,5,0.39
闵行区,上海闵行区诺达双语学校,67,5,0.39
闵行区,上海闵行区民办德闳学校,67,5,0.39
宝山区,上海市宝山实验学校,408,38,3.53
宝山区,上海市宝山区杨泰实验中学,387,36,3.35
宝山区,上海师范大学附属宝山经纬实验中学,365,34,3.16
宝山区,上海大学附属学校,333,31,2.88
宝山区,上海市淞谊中学,322,30,2.79
宝山区,上海民办宝莲中学,322,30,2.79
宝山区,上海市宝山区共富实验学校,322,30,2.79
宝山区,上海市宝山区教育学院附属中学,301,28,2.6
宝山区,上海市长江第二中学,290,27,2.51
宝山区,上海民办至德实验学校,290,27,2.51
宝山区,上海市宝山区求真中学,268,25,2.32
宝山区,上海市月浦实验学校,268,25,2.32
宝山区,上海市顾村中学,258,24,2.23
宝山区,上海市民办交华中学,247,23,2.14
宝山区,上海大学附属宝山外国语学校,247,23,2.14
宝山区,上海市刘行新华实验学校,236,22,2.04
宝山区,上海市同洲模范学校,226,21,1.95
宝山区,上海市宝山区顾村实验学校,226,21,1.95
宝山区,上海民办华曜宝山实验学校,215,20,1.86
宝山区,上海市宝山区罗店第二中学,204,19,1.77
宝山区,上海市宝山实验学校分校,204,19,1.77
宝山区,上海市宝山区上海大学附属中学实验学校,204,19,1.77
宝山区,上海市罗南中学,193,18,1.67
宝山区,上海市宝山实验学校高境分校,193,18,1.67
宝山区,华东师范大学宝山实验学校,193,18,1.67
宝山区,上海市教育学会宝山实验学校,193,18,1.67
宝山区,上海市泗塘中学,183,17,1.58
宝山区,上海市月浦中学,183,17,1.58
宝山区,上海市宝山华曜附属罗泾中学,172,16,1.49
宝山区,上海市吴淞实验学校,172,16,1.49
宝山区,上海市宝山区鹿鸣学校,172,16,1.49
宝山区,上海市宝山区馨家园学校,161,15,1.39
宝山区,上海市宝山区庙行实验学校,161,15,1.39
宝山区,上海市宝山区行知外国语学校,161,15,1.39
