2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
奉贤区,上海市闵行中学,,,738,404.5,130,127,138,否
奉贤区,上海大学附属中学,,,722.5,394.5,125,125,135,否
奉贤区,上海市吴淞中学,,,725.5,396.5,130,124,133,否
奉贤区,华东师范大学第二附属中学,,,742,405.5,130,127,144,否
奉贤区,上海市嘉定区第一中学,,,720,388,128,125,135,否
奉贤区,上海师范大学附属中学嘉定新城分校,,,722.5,402.5,122,133,125,否
奉贤区,上海中学东校,,,752.5,414.5,139,133,143,否
奉贤区,上海市建平中学,,,743,410.5,137,130,136,否
奉贤区,上海市进才中学,,,743.5,403.5,134,128,143,否
奉贤区,华东师范大学第二附属中学,,,755,412,141,128,148,否
奉贤区,上海南汇中学,,,721,383,119,122,143,否
奉贤区,上海师范大学附属中学,,,747,406.5,135,132,145,否
奉贤区,上海市洋泾中学,,,732,400,122,129,138,否
奉贤区,上海市高桥中学,,,715.5,389.5,116,130,133,否
奉贤区,上海市川沙中学,,,732.5,401.5,132,125,135,否
奉贤区,上海市金山中学,,,730.5,403,134,128,139,否
奉贤区,华东师范大学第三附属中学,,,707.5,380,121,120,136,否
奉贤区,上海市松江二中,,,750.5,417.5,141,130,138,否
奉贤区,上海市松江一中,,,701.5,385.5,120,126,128,否
奉贤区,上海外国语大学附属外国语学校松江云间中学,,,742.5,411.5,126,138,137,否
奉贤区,上海市青浦高级中学,,,718,392,123,127,130,否
奉贤区,上海市朱家角中学,,,712,389,131,128,130,否
奉贤区,上海市奉贤中学,,,767,424,146,130,147,否
奉贤区,华东师范大学第二附属中学临港奉贤分校,,,746,407,142,130,147,否
宝山区,上海市格致中学,,,743,408,132,130,139,否
宝山区,上海市大同中学,,,753,414.5,146,122,145,否
宝山区,上海外国语大学附属大境中学,,,715.5,388.5,126,127,134,否
宝山区,上海市光明中学,,,709.5,389.5,116,130,129,否
宝山区,同济大学科技中学,,,752.5,411.5,139,132,147,否
宝山区,上海市第二中学,,,668.5,370,104,128,110,否
宝山区,上海市南洋模范中学,,,756,419,143,131,140,否
宝山区,上海市上海中学,,,768,424,144,133,147,否
宝山区,上海市位育中学,,,747,410,139,123,141,否
宝山区,上海市南洋中学,,,691,371,104,131,128,否
宝山区,上海市第三女子中学,,,727,398,125,130,133,否
宝山区,上海市延安中学,,,734,399,133,124,138,否
宝山区,上海市复旦中学,,,725.5,393.5,136,124,143,否
宝山区,上海市市西中学,,,747.5,406,135,129,147,否
宝山区,上海市育才中学,,,740,408,131,131,132,否
宝山区,上海市市北中学,,,728,395,138,125,141,否
宝山区,上海市回民中学,,,691,372,110,118,135,否
宝山区,上海市第六十中学,,,698.5,371.5,124,124,140,否
宝山区,上海市晋元高级中学,,,740,410,132,134,143,否
宝山区,上海市曹杨第二中学,,,757,417.5,141,134,144,否
宝山区,上海市宜川中学,,,710.5,387.5,121,120,136,否
宝山区,复旦大学附属复兴中学,,,746.5,407.5,129,134,142,否
宝山区,华东师范大学第一附属中学,,,737,402,130,129,138,否
宝山区,上海财经大学附属北郊高级中学,,,727,404,124,133,136,否
宝山区,上海市杨浦高级中学,,,728,391.5,126,126,142,否
宝山区,上海市控江中学,,,753,418,142,131,140,否
宝山区,上海交通大学附属中学,,,767,425.5,146,133,147,否
宝山区,复旦大学附属中学,,,763,425,146,133,140,否
宝山区,同济大学第一附属中学,,,722,387,119,122,141,否
宝山区,上海市七宝中学,,,761,422,146,131,146,否
宝山区,华东师范大学第二附属中学闵行紫竹分校,,,753,420.5,145,131,138,否
宝山区,上海师范大学附属中学闵行分校,,,714,381.5,131,116,142,否
宝山区,上海市闵行中学,,,727.5,396,127,124,137,否
宝山区,上海市行知中学,,,753,420.5,144,129,140,否
宝山区,上海大学附属中学,,,730.5,402.5,137,125,135,否
宝山区,上海师范大学附属中学宝山分校,,,745,406.5,133,130,140,否
宝山区,上海市吴淞中学,,,739,407,137,125,141,否
宝山区,华东师范大学第二附属中学,,,766.5,425.5,140,137,145,否
宝山区,上海市嘉定区第一中学,,,737.5,405.5,132,134,139,否
宝山区,上海交通大学附属中学嘉定分校,,,762.5,423.5,143,136,146,否
宝山区,上海师范大学附属中学嘉定新城分校,,,736.5,402.5,136,128,144,否
宝山区,上海中学东校,,,744.5,402.5,138,122,145,否
宝山区,上海市建平中学,,,753,418,140,134,142,否
