各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
闵行区,上海市航华中学,215,16,-0.9,,,,,55.6,56,,53,527,全量(仅A)·声誉待补
闵行区,上海市闵行第四中学,189,14,-0.909,,,,,55.5,57,,54,521,全量(仅A)·声誉待补
闵行区,上海市闵行区纪王学校,148,11,-1.508,,,,,47.4,58,,55,573,全量(仅A)·声誉待补
闵行区,上海市马桥强恕学校,121,9,-1.563,,,,,46.7,59,,56,603,全量(仅A)·声誉待补
闵行区,上海市闵行区浦江第一中学,364,27,-0.403,10,2.7,,,42.3,47,13,57,480,双覆盖·声誉待补
闵行区,上海市燎原双语学校,108,8,-2.063,,,,,40,60,,58,618,全量(仅A)·声誉待补
闵行区,上海星河湾双语学校,67,5,-2.984,,,,,27.6,61,,59,642,全量(仅A)·声誉待补
闵行区,上海市莘城学校,391,29,0.919,,,58,第三梯队｜机构公众号梯队列,27.5,1,,60,24,全量(仅A)·含声誉
闵行区,上海市实验学校西校,498,37,0.826,80,16.1,58,第三梯队｜机构公众号梯队列,26.8,3,6,61,22,双覆盖·含声誉
闵行区,上海闵行区民办德闳学校,67,5,-3.51,,,,,20.6,62,,62,646,全量(仅A)·声誉待补
闵行区,上海闵行区民办美高双语学校,67,5,-3.554,,,,,20,63,,63,647,全量(仅A)·声誉待补
闵行区,上海市民办协和双语学校,67,5,0,,,,,,64,,,683,全量(仅A)·声誉待补
闵行区,上海闵行区万科双语学校,67,5,0,,,,,,65,,,684,全量(仅A)·声誉待补
闵行区,上海闵行区诺达双语学校,67,5,0,,,,,,66,,,685,全量(仅A)·声誉待补
宝山区,上海民办华曜宝山实验学校,215,20,0.112,,,92,第一梯队｜机构公众号梯队列,87.7,38,,1,361,全量(仅A)·含声誉
宝山区,上海世外教育附属宝山大华实验学校,118,11,1.044,,,,,80,1,,2,31,全量(仅A)·声誉待补
宝山区,上海市宝山中学,129,12,0.91,,,,,77.9,2,,3,29,全量(仅A)·声誉待补
宝山区,上海师范大学附属宝山实验学校,97,9,0.824,,,,,76.6,4,,4,44,全量(仅A)·声誉待补
宝山区,上海市罗南中学,193,18,0.79,,,,,76.1,5,,5,55,全量(仅A)·声誉待补
宝山区,上海宝山区世外学校,97,9,0.738,,,,,75.3,6,,6,75,全量(仅A)·声誉待补
宝山区,上海市淞谊中学,322,30,0.708,,,,,74.8,7,,7,91,全量(仅A)·声誉待补
宝山区,上海市宝山区杨泰实验中学,387,36,0.696,,,,,74.7,8,,8,98,全量(仅A)·声誉待补
宝山区,上海市月浦实验学校,268,25,0.686,,,,,74.5,9,,9,102,全量(仅A)·声誉待补
宝山区,上海市同洲模范学校,226,21,0.643,,,,,73.8,10,,10,103,全量(仅A)·声誉待补
宝山区,上海市吴淞实验学校,172,16,0.632,,,,,73.7,11,,11,117,全量(仅A)·声誉待补
宝山区,上海市宝山实验学校分校,204,19,0.619,,,,,73.5,12,,12,124,全量(仅A)·声誉待补
宝山区,上海外国语大学附属宝山双语学校,140,13,0.618,,,,,73.5,13,,13,125,全量(仅A)·声誉待补
宝山区,上海大学附属宝山外国语学校,247,23,0.596,,,,,73.1,15,,14,135,全量(仅A)·声誉待补
宝山区,上海民办至德实验学校,290,27,0.587,83,28.6,,,73,16,1,15,139,双覆盖·声誉待补
宝山区,上海民办宝莲中学,322,30,0.543,,,,,72.3,18,,16,166,全量(仅A)·声誉待补
宝山区,上海师范大学附属宝山经纬实验中学,365,34,0.534,,,,,72.2,19,,17,171,全量(仅A)·声誉待补
宝山区,上海市民办交华中学,247,23,0.518,,,,,71.9,20,,18,181,全量(仅A)·声誉待补
宝山区,上海市大场中学,118,11,0.486,,,,,71.4,21,,19,197,全量(仅A)·声誉待补
宝山区,上海市宝山区顾村科技园学校,54,5,0.448,,,,,70.9,22,,20,214,全量(仅A)·声誉待补
宝山区,上海市宝山区美兰湖中学,107,10,0.427,,,,,70.5,23,,21,227,全量(仅A)·声誉待补
宝山区,上海市刘行新华实验学校,236,22,0.422,,,,,70.5,24,,22,230,全量(仅A)·声誉待补
宝山区,上海市宝山区行知外国语学校,161,15,0.377,,,,,69.8,25,,23,303,全量(仅A)·声誉待补
宝山区,上海市宝山区求真中学北校,107,10,0.365,,,,,69.6,26,,24,268,全量(仅A)·声誉待补
宝山区,上海市宝山区上海大学附属中学实验学校,204,19,0.335,,,,,69.1,27,,25,220,全量(仅A)·声誉待补
宝山区,上海大学附属学校,333,31,0.325,,,,,69,28,,26,283,全量(仅A)·声誉待补
宝山区,华东师范大学宝山实验学校,193,18,0.313,,,,,68.8,29,,27,302,全量(仅A)·声誉待补
宝山区,上海市大华中学,129,12,0.301,,,,,68.6,30,,28,292,全量(仅A)·声誉待补
宝山区,上海市泗塘中学,183,17,0.29,,,,,68.4,31,,29,297,全量(仅A)·声誉待补
宝山区,上海市宝山区庙行实验学校,161,15,0.277,,,,,68.2,32,,30,304,全量(仅A)·声誉待补
宝山区,上海市教育学会宝山实验学校,193,18,0.256,,,,,67.9,33,,31,328,全量(仅A)·声誉待补
宝山区,上海市宝山区鹿鸣学校,172,16,0.235,,,,,67.6,34,,32,319,全量(仅A)·声誉待补
宝山区,上海市宝山区乐之中学,129,12,0.164,,,,,66.5,35,,33,344,全量(仅A)·声誉待补
宝山区,上海市宝山区共富实验学校,322,30,0.153,,,,,66.3,36,,34,348,全量(仅A)·声誉待补
宝山区,上海市宝山区南大实验学校,86,8,0.127,,,,,65.9,37,,35,353,全量(仅A)·声誉待补
宝山区,上海市存志附属宝山实验学校,54,5,0.083,,,,,65.3,39,,36,370,全量(仅A)·声誉待补
宝山区,上海市行知实验中学,150,14,0.082,,,,,65.2,40,,37,372,全量(仅A)·声誉待补
宝山区,上海师范大学附属宝山潜溪学校,54,5,0.078,,,,,65.2,41,,38,373,全量(仅A)·声誉待补
宝山区,上海市宝山区天馨学校,150,14,0.058,,,,,64.9,43,,39,377,全量(仅A)·声誉待补
宝山区,上海市宝山区新民实验学校,161,15,0.06,,,,,64.9,42,,40,376,全量(仅A)·声誉待补
宝山区,上海市长江第二中学,290,27,-0.12,,,,,62.1,45,,41,421,全量(仅A)·声誉待补
宝山区,上海市宝山区顾村实验学校,226,21,-0.124,,,,,62.1,46,,42,422,全量(仅A)·声誉待补
宝山区,上海市吴淞中学附属宝山实验学校,118,11,-0.281,,,,,59.7,47,,43,461,全量(仅A)·声誉待补
宝山区,上海市宝山区教育学院附属中学,301,28,0.599,,,76,第二梯队｜机构公众号梯队列,59.6,14,,44,133,全量(仅A)·含声誉
宝山区,上海市宝山华曜附属罗泾中学,172,16,-0.293,,,,,59.5,48,,45,463,全量(仅A)·声誉待补
宝山区,上海市宝山区求真中学,268,25,0.557,,,76,第二梯队｜机构公众号梯队列,59.4,17,,46,151,全量(仅A)·含声誉
宝山区,上海市宝山实验学校高境分校,193,18,-0.339,,,,,58.8,49,,47,479,全量(仅A)·声誉待补
宝山区,上海市宝山区淞谊实验学校,97,9,-0.401,,,,,57.8,50,,48,481,全量(仅A)·声誉待补
宝山区,上海农场学校,54,5,-0.474,,,,,56.7,51,,49,496,全量(仅A)·声誉待补
宝山区,上海市宝山区馨家园学校,161,15,-0.53,,,,,55.8,52,,50,510,全量(仅A)·声誉待补
宝山区,上海师范大学附属宝山罗店中学,97,9,-0.564,,,,,55.3,54,,51,489,全量(仅A)·声誉待补
宝山区,上海市民办锦秋学校,64,6,-0.563,,,,,55.3,53,,52,493,全量(仅A)·声誉待补
宝山区,上海市宝山区罗店第二中学,204,19,-0.637,,,,,54.2,55,,53,542,全量(仅A)·声誉待补
宝山区,上海市宝山区吴淞初级中学,54,5,-0.726,,,,,52.8,56,,54,537,全量(仅A)·声誉待补
宝山区,上海世外教育附属宝山美兰湖实验学校,97,9,-0.798,,,,,51.7,57,,55,478,全量(仅A)·声誉待补
宝山区,上海市行知中学附属宝山实验学校,54,5,-0.994,,,76,第二梯队｜机构公众号梯队列,51.5,61,,56,561,全量(仅A)·含声誉
宝山区,上海市宝山区陈伯吹罗店实验学校,86,8,-0.831,,,,,51.2,58,,57,576,全量(仅A)·声誉待补
宝山区,上海市虎林中学,140,13,-0.86,,,,,50.8,59,,58,545,全量(仅A)·声誉待补
宝山区,华东师范大学附属宝山宝杨实验学校,140,13,-0.922,,,,,49.8,60,,59,559,全量(仅A)·声誉待补
宝山区,上海市吴淞第二中学,118,11,-1.357,,,,,43.2,62,,60,586,全量(仅A)·声誉待补
宝山区,上海市宝山区求真中学南校,118,11,-1.366,,,,,43,63,,61,588,全量(仅A)·声誉待补
宝山区,上海市月浦中学,183,17,-1.398,,,,,42.5,64,,62,592,全量(仅A)·声誉待补
宝山区,上海市盛桥中学,75,7,-1.932,,,,,34.3,65,,63,620,全量(仅A)·声誉待补
宝山区,上海市白茅岭学校（上海市白茅岭学校军天湖分校）,32,3,-1.986,,,,,33.5,66,,64,622,全量(仅A)·声誉待补
宝山区,上海市宝山实验学校,408,38,0.84,,,58,第三梯队｜机构公众号梯队列,26.5,3,,65,40,全量(仅A)·含声誉
宝山区,上海市顾村中学,258,24,-0.1,,,58,第三梯队｜机构公众号梯队列,21.7,44,,66,417,全量(仅A)·含声誉
宝山区,上海金瑞学校,54,5,-2.866,,,,,20,67,,67,639,全量(仅A)·声誉待补
嘉定区,上海民办华曜嘉定初级中学,241,17,0.495,,,92,"第一梯队｜机构公众号梯队列＋嘉定调研(2025嘉定中考多源:700+40+人,四校自招8,公认区一哥)",88.6,14,,1,212,全量(仅A)·含声誉
嘉定区,交大附中附属嘉定德富中学,298,21,0.508,,,88,"一梯队(公办最强)｜嘉定联网调研(头条/百家号:700+17人,最难进,公办黑马;交大资源)",83.2,13,,2,188,全量(仅A)·含声誉
嘉定区,交大附中附属嘉定洪德中学,241,17,0.646,37,15.4,80,"二梯队(第一届中考)｜嘉定联网调研(百家号/头条:最高715,第三届?交大品牌,上升期)",80.5,9,1,3,134,双覆盖·含声誉
嘉定区,上海华旭双语学校,43,3,1.105,,,,,80,1,,4,10,全量(仅A)·声誉待补
嘉定区,中科院上海实验学校,312,22,0.778,,,84,"一梯队(黑马)｜嘉定联网调研(多家:≥27人>729(含综评),2025名额到校亮眼,上升猛)",79.4,7,,5,63,全量(仅A)·含声誉
嘉定区,上海嘉定区世外学校,142,10,0.925,,,,,76.6,3,,6,26,全量(仅A)·声誉待补
嘉定区,上海外国语大学嘉定外国语学校,269,19,0.842,,,,,75,4,,7,38,全量(仅A)·声誉待补
嘉定区,同济大学附属嘉定实验中学,128,9,1.005,,,76,"第二梯队｜机构公众号梯队列＋嘉定调研(57cha:700+21人(8.7%),管理严,家长称公办第一)",69.7,2,,8,17,全量(仅A)·含声誉
嘉定区,上海市民办远东学校,170,12,0.513,,,,,68.7,12,,9,183,全量(仅A)·声誉待补
嘉定区,上海市嘉定区练川实验学校,198,14,0.441,,,,,67.3,16,,10,216,全量(仅A)·声誉待补
嘉定区,上海市民办嘉宜初级中学,312,22,0.414,,,,,66.8,18,,11,241,全量(仅A)·声誉待补
嘉定区,上海市嘉定区新城实验中学,326,23,0.749,30,9.2,75,"二梯队｜嘉定联网调研(头条:最高724,700+6人,难进)",66.7,8,2,12,150,双覆盖·含声誉
嘉定区,上海市民办桃李园实验学校,411,29,0.411,,,76,"第二梯队｜机构公众号梯队列＋嘉定调研(57cha:700+29人,市重率稳,政府购买学位)",65.9,19,,13,243,全量(仅A)·含声誉
嘉定区,上海市曹杨二中附属江桥实验中学,312,22,0.528,,,74,"二梯队｜嘉定联网调研(百家号:最高727.5,700+12人,区前三甲)",63.9,11,,14,175,全量(仅A)·含声誉
嘉定区,上海市嘉定区黄渡中学,241,17,0.223,,,,,63.1,21,,15,324,全量(仅A)·声誉待补
嘉定区,同济大学附属实验中学,255,18,-0.299,,,76,"二梯队(同济品牌)｜嘉定联网调研(公办口碑,同济附属体系)",61.4,30,,16,468,全量(仅A)·含声誉
嘉定区,上海市嘉定区朱桥学校,71,5,0.088,,,,,60.6,24,,17,327,全量(仅A)·声誉待补
嘉定区,上海师范大学附属第五嘉定实验学校,142,10,0.073,,,,,60.3,25,,18,404,全量(仅A)·声誉待补
嘉定区,上海市嘉定区迎园中学,397,28,0.488,,,70,"二梯队｜嘉定联网调研(gdlsgz:≥28人>725.5,入学友好)",58.1,15,,19,108,全量(仅A)·含声誉
嘉定区,上海市嘉定区南苑中学,170,12,-0.168,,,,,55.7,27,,20,435,全量(仅A)·声誉待补
嘉定区,上海大学附属嘉定留云中学,369,26,0.814,,,66,二/三梯队｜嘉定联网调研(百度:最高706),54.7,6,,21,77,全量(仅A)·含声誉
嘉定区,上海市嘉定区嘉二实验学校,255,18,-0.288,,,,,53.4,29,,22,462,全量(仅A)·声誉待补
嘉定区,上海嘉定区民办华盛怀少学校,170,12,0.366,,,64,三梯队｜嘉定联网调研(百度:最高714.5),49.1,20,,23,267,全量(仅A)·含声誉
嘉定区,上海市嘉定区方泰中学,85,6,-0.55,,,,,48.4,31,,24,520,全量(仅A)·声誉待补
嘉定区,上海市嘉定区南翔中学,298,21,0.417,9,3,66,"二/三梯队｜嘉定联网调研(百度:最高716,700+6人)",44.7,17,3,25,234,双覆盖·含声誉
嘉定区,上海市嘉定区苏民学校,255,18,0.223,,,60,三梯队｜嘉定联网调研(百度:南翔片区),42.6,22,,26,67,全量(仅A)·含声誉
嘉定区,上海市嘉定区金鹤学校,241,17,0.559,,,58,三梯队｜嘉定联网调研(百度:江桥片区),42,10,,27,159,全量(仅A)·含声誉
嘉定区,上海市嘉定区震川中学,496,35,0.128,,,58,第三梯队｜机构公众号梯队列,39.3,23,,28,381,全量(仅A)·含声誉
嘉定区,上海市嘉定区嘉一实验初级中学,184,13,-1.085,,,,,38.1,33,,29,570,全量(仅A)·声誉待补
嘉定区,上海市嘉定区华亭学校,57,4,-1.216,,,,,35.6,35,,30,613,全量(仅A)·声誉待补
嘉定区,上海市嘉定区娄塘学校,57,4,-1.226,,,,,35.4,36,,31,617,全量(仅A)·声誉待补
嘉定区,上海市嘉定区丰庄中学,241,17,-0.25,,,56,三梯队｜嘉定联网调研(头条:最高708),34.1,28,,32,459,全量(仅A)·含声誉
嘉定区,上海市嘉定区启良中学,241,17,-0.052,,,55,三梯队｜嘉定联网调研(57cha:老师严),34,26,,33,407,全量(仅A)·含声誉
嘉定区,上海市嘉定区华江中学,255,18,-0.879,,,58,三梯队｜嘉定联网调研(百度:江桥片区),32.8,32,,34,555,全量(仅A)·含声誉
嘉定区,上海市嘉定区疁城实验学校,354,25,-1.153,,,58,第三梯队｜机构公众号梯队列,31.1,34,,35,575,全量(仅A)·含声誉
嘉定区,上海市嘉定区外冈中学,128,9,-1.478,,,,,30.6,37,,36,599,全量(仅A)·声誉待补
嘉定区,上海市嘉定区戬浜学校,43,3,0.839,,,45,"三梯队/普通｜嘉定联网调研(未见任何头部榜单,综合推断为中下游(本次修正关键))",25.8,5,,37,41,全量(仅A)·含声誉
嘉定区,上海市嘉定区马陆育才联合中学,156,11,-1.874,,,,,23,38,,38,616,全量(仅A)·声誉待补
嘉定区,上海市嘉定区徐行中学,113,8,-2.032,,,,,20,39,,39,606,全量(仅A)·声誉待补
松江区,上海市松江九峰实验学校,311,24,0.674,,,92,第一梯队｜机构公众号梯队列,91.4,8,,1,121,全量(仅A)·含声誉
松江区,上海市松江区民办茸一中学,298,23,0.256,,,92,第一梯队｜机构公众号梯队列,88.8,21,,2,313,全量(仅A)·含声誉
松江区,上海工程技术大学附属松江泗泾实验学校,208,16,0.833,,,,,79.6,2,,3,42,全量(仅A)·声誉待补
松江区,华东政法大学附属松江实验学校,415,32,0.821,,,,,79.4,3,,4,46,全量(仅A)·声誉待补
松江区,上海市松江区第七中学,636,49,0.752,,,,,78.1,4,,5,71,全量(仅A)·声誉待补
松江区,上海市松江区新闵学校,285,22,0.723,,,,,77.6,6,,6,131,全量(仅A)·声誉待补
松江区,上海市西外外国语学校,259,20,0.701,36,13.9,,,77.2,7,1,7,96,双覆盖·声誉待补
松江区,上海市松江区九亭第二中学（含领科校区）,454,35,0.66,,,,,76.4,9,,8,109,全量(仅A)·声誉待补
松江区,上海外国语大学松江外国语学校,688,53,0.656,,,,,76.4,10,,9,112,全量(仅A)·声誉待补
松江区,上海市松江区九亭中学,701,54,0.617,,,,,75.7,11,,10,126,全量(仅A)·声誉待补
松江区,上海对外经贸大学附属松江实验学校花园分校,675,52,0.595,,,,,75.2,12,,11,136,全量(仅A)·声誉待补
松江区,上海师范大学附属松江实验学校,208,16,0.588,,,,,75.1,13,,12,245,全量(仅A)·声誉待补
松江区,上海市三新学校松江思贤分校,104,8,0.58,,,,,75,14,,13,191,全量(仅A)·声誉待补
松江区,上海市松江区第六中学,363,28,0.506,,,,,73.6,15,,14,189,全量(仅A)·声誉待补
松江区,上海外国语大学附属外国语学校松江云间中学,311,24,0.451,,,,,72.6,17,,15,211,全量(仅A)·声誉待补
松江区,上海师范大学松江科创实验学校,65,5,0.391,,,,,71.5,18,,16,252,全量(仅A)·声誉待补
松江区,上海市松江区科技学校,298,23,0.386,,,,,71.4,19,,17,308,全量(仅A)·声誉待补
松江区,上海市三新学校松江东部分校,363,28,0.268,,,,,69.2,20,,18,310,全量(仅A)·声誉待补
松江区,上海市松江一中附属叶榭学校,104,8,0.167,,,,,67.4,22,,19,342,全量(仅A)·声誉待补
松江区,上海市松江区泗泾实验学校,182,14,0.164,,,,,67.3,23,,20,343,全量(仅A)·声誉待补
松江区,上海市松江区新桥中学,234,18,0.122,,,,,66.5,24,,21,355,全量(仅A)·声誉待补
松江区,上海市松江区洞泾学校,247,19,0.111,,,,,66.3,25,,22,363,全量(仅A)·声誉待补
松江区,上海戏剧学院附属松江实验学校,78,6,0.017,,,,,64.6,26,,23,388,全量(仅A)·声誉待补
松江区,上海政法学院附属松江外国语学校,104,8,-0.008,,,,,64.1,27,,24,393,全量(仅A)·声誉待补
松江区,东华大学附属实验学校,532,41,0.854,,,76,第二梯队｜机构公众号梯队列,61.9,1,,25,36,全量(仅A)·含声誉
松江区,上海市松江区第五中学,285,22,-0.147,,,,,61.6,28,,26,399,全量(仅A)·声誉待补
松江区,上海市松江区民乐学校,337,26,0.472,,,76,第二梯队｜机构公众号梯队列,59.6,16,,27,204,全量(仅A)·含声誉
松江区,上海世外教育附属松江区车墩学校,104,8,-0.565,,,,,53.9,29,,28,525,全量(仅A)·声誉待补
松江区,上海市松江区佘山学校,91,7,-0.684,,,,,51.7,30,,29,533,全量(仅A)·声誉待补
松江区,东华大学附属实验学校松江小昆山分校,182,14,-0.721,,,,,51,31,,30,536,全量(仅A)·声誉待补
松江区,上海市松江区仓桥学校,234,18,-0.867,,,,,48.3,32,,31,553,全量(仅A)·声誉待补
松江区,上海市松江区张泽学校,65,5,-1.381,,,,,38.9,34,,32,591,全量(仅A)·声誉待补
松江区,上海市松江区洞泾外国语实验学校,65,5,-1.676,,,,,33.4,35,,33,607,全量(仅A)·声誉待补
松江区,上海市松江区天马山学校,78,6,-1.692,,,,,33.1,36,,34,594,全量(仅A)·声誉待补
松江区,上海市三新学校,376,29,0.725,,,58,第三梯队｜机构公众号梯队列,26.7,5,,35,82,全量(仅A)·含声誉
松江区,上海师范大学松江未来实验学校,65,5,-2.131,,,,,25.1,37,,36,627,全量(仅A)·声誉待补
松江区,上海赫贤学校,65,5,-2.407,,,,,20,38,,37,633,全量(仅A)·声誉待补
松江区,上海市松江二中附属浦南实验学校,195,15,-0.96,,,58,第三梯队｜机构公众号梯队列,16.4,33,,38,539,全量(仅A)·含声誉
青浦区,上海青浦兰生学校,123,17,0.734,30,24.4,92,第一梯队｜机构公众号梯队列,98.3,5,1,1,78,双覆盖·含声誉
青浦区,上海青浦区世外学校,101,14,0.108,,,92,第一梯队｜机构公众号梯队列,87,19,,2,364,全量(仅A)·含声誉
青浦区,上海市青浦区第一中学,348,48,1.023,,,,,80,1,,3,14,全量(仅A)·声誉待补
青浦区,上海市毓秀学校,348,48,0.923,,,,,78.2,2,,4,27,全量(仅A)·声誉待补
青浦区,上海市教育学会青浦清河湾中学,290,40,0.871,,,,,77.3,4,,5,35,全量(仅A)·声誉待补
青浦区,上海市青浦区教育学院附属中学,225,31,0.875,,,,,77.3,3,,6,34,全量(仅A)·声誉待补
青浦区,上海市青浦区豫才中学,254,35,0.579,,,,,72,6,,7,147,全量(仅A)·声誉待补
青浦区,上海市青浦区思源中学,145,20,0.558,,,,,71.6,8,,8,160,全量(仅A)·声誉待补
青浦区,上海市青浦区珠溪中学,196,27,0.48,,,,,70.2,12,,9,169,全量(仅A)·声誉待补
青浦区,上海市青浦区凤溪中学,167,23,0.349,,,,,67.8,15,,10,282,全量(仅A)·声誉待补
青浦区,上海宋庆龄学校,36,5,0.237,,,,,65.8,16,,11,318,全量(仅A)·声誉待补
青浦区,上海五浦汇实验学校,225,31,0.236,,,,,65.8,17,,12,247,全量(仅A)·声誉待补
青浦区,上海市青浦区徐泾中学,275,38,0.212,,,,,65.4,18,,13,279,全量(仅A)·声誉待补
青浦区,上海市青浦区白鹤中学,188,26,0.012,,,,,61.8,20,,14,394,全量(仅A)·声誉待补
青浦区,上海市青浦区第一中学尚美分校,109,15,-0.147,,,,,58.9,21,,15,428,全量(仅A)·声誉待补
青浦区,上海市博文学校,51,7,-0.161,,,,,58.7,22,,16,430,全量(仅A)·声誉待补
青浦区,上海市青浦区华新中学,348,48,0.386,14,4,,,52.9,14,2,17,255,双覆盖·声誉待补
青浦区,上海政法学院附属青浦崧淀中学,109,15,0.505,3,2.8,,,52.9,10,3,18,190,双覆盖·声誉待补
青浦区,上海市青浦区崧泽学校,225,31,0.484,6,2.7,,,52.4,11,4,19,198,双覆盖·声誉待补
青浦区,上海师范大学附属青浦实验中学,101,14,-0.536,,,,,51.9,23,,20,511,全量(仅A)·声誉待补
青浦区,上海师范大学附属青浦重固学校,130,18,0.54,2,1.5,,,51.3,9,5,21,168,双覆盖·声誉待补
青浦区,上海市青浦区金泽中学,36,5,-0.79,,,,,47.3,24,,22,547,全量(仅A)·声誉待补
青浦区,上海青浦区协和双语学校,51,7,-0.893,,,,,45.5,25,,23,558,全量(仅A)·声誉待补
青浦区,上海市毓华学校,22,3,-0.931,,,,,44.8,26,,24,560,全量(仅A)·声誉待补
青浦区,上海市佳信学校,22,3,-0.974,,,,,44,27,,25,562,全量(仅A)·声誉待补
青浦区,上海市青浦区颜安中学,123,17,-1.072,,,,,42.2,28,,26,567,全量(仅A)·声誉待补
青浦区,上海市青浦区少年业余体育学校,22,3,-1.412,,,,,36.1,29,,27,593,全量(仅A)·声誉待补
青浦区,上海市青浦区沈巷中学,51,7,-1.867,,,,,27.9,30,,28,615,全量(仅A)·声誉待补
青浦区,上海市青浦区实验中学,696,96,0.56,,,76,第二梯队｜机构公众号梯队列,24.7,7,,29,68,全量(仅A)·含声誉
青浦区,上海市青浦区东方中学,457,63,0.415,,,76,第二梯队｜机构公众号梯队列,23.8,13,,30,237,全量(仅A)·含声誉
青浦区,上海青浦平和双语学校,80,11,-2.305,,,,,20,31,,31,631,全量(仅A)·声誉待补
奉贤区,上海市奉贤区实验中学,392,24,0.683,,,92,第一梯队｜机构公众号梯队列,89.9,8,,1,97,全量(仅A)·含声誉
奉贤区,上海市奉贤区育秀中学,376,23,0.575,,,92,第一梯队｜机构公众号梯队列,89.4,12,,2,116,全量(仅A)·含声誉
奉贤区,上海市奉贤中学附属初级中学,212,13,1.213,,,,,80,1,,3,7,全量(仅A)·声誉待补
奉贤区,上海外国语大学附属奉贤实验中学,163,10,0.937,,,,,75.9,2,,4,12,全量(仅A)·声誉待补
奉贤区,上海市奉贤区待问中学,147,9,0.931,,,,,75.8,3,,5,20,全量(仅A)·声誉待补
奉贤区,上海市奉贤区青溪中学,212,13,0.897,,,,,75.3,4,,6,21,全量(仅A)·声誉待补
奉贤区,上海市奉贤区星火学校,82,5,0.881,,,,,75.1,5,,7,32,全量(仅A)·声誉待补
奉贤区,上海市奉贤区钱桥学校,65,4,0.747,,,,,73.1,7,,8,54,全量(仅A)·声誉待补
奉贤区,上海奉贤区世外学校,82,5,0.648,,,,,71.7,9,,9,81,全量(仅A)·声誉待补
奉贤区,上海市奉贤区崇实中学,294,18,0.637,,,,,71.5,10,,10,70,全量(仅A)·声誉待补
奉贤区,上海市奉贤区汇贤中学,294,18,0.593,,,,,70.8,11,,11,65,全量(仅A)·声誉待补
奉贤区,上海市奉贤区华亭学校,229,14,0.572,,,,,70.5,13,,12,113,全量(仅A)·声誉待补
奉贤区,上海市奉贤区西渡学校,163,10,0.522,,,,,69.8,14,,13,164,全量(仅A)·声誉待补
奉贤区,上海市奉贤区阳光外国语学校,180,11,0.496,,,,,69.4,15,,14,177,全量(仅A)·声誉待补
奉贤区,上海市奉贤区尚同中学,147,9,0.406,,,,,68.1,16,,15,209,全量(仅A)·声誉待补
奉贤区,上海市奉贤区胡桥学校,49,3,0.385,,,,,67.8,17,,16,256,全量(仅A)·声誉待补
奉贤区,上海市奉贤区奉城第二中学,147,9,0.35,,,,,67.3,18,,17,246,全量(仅A)·声誉待补
奉贤区,上海市奉贤区古华中学,163,10,0.321,,,,,66.8,19,,18,271,全量(仅A)·声誉待补
奉贤区,上海市奉贤中学附属南桥中学,229,14,0.294,,,,,66.4,20,,19,299,全量(仅A)·声誉待补
奉贤区,上海市奉贤区庄行学校,82,5,0.29,,,,,66.4,21,,20,277,全量(仅A)·声誉待补
奉贤区,上海理工大学附属奉贤学校,131,8,0.281,,,,,66.2,22,,21,280,全量(仅A)·声誉待补
奉贤区,上海师范大学附属奉贤实验中学,114,7,0.265,,,,,66,23,,22,288,全量(仅A)·声誉待补
奉贤区,上海市奉贤区奉浦中学,131,8,0.2,,,,,65,24,,23,312,全量(仅A)·声誉待补
奉贤区,上海市奉贤区塘外中学,65,4,0.032,,,,,62.6,25,,24,378,全量(仅A)·声誉待补
奉贤区,上海市奉贤区肖塘中学,98,6,-0.033,,,,,61.6,27,,25,392,全量(仅A)·声誉待补
奉贤区,上海市奉贤区邬桥学校,65,4,-0.032,,,,,61.6,26,,26,384,全量(仅A)·声誉待补
奉贤区,上海市奉贤区蓝湾五四学校,65,4,-0.051,,,,,61.3,28,,27,390,全量(仅A)·声誉待补
