各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
浦东新区,上海市三林中学北校,339,21,-0.036,,,,,63,74,,66,403,全量(仅A)·声誉待补
浦东新区,上海市浦东新区建平南汇实验学校,178,11,-0.052,,,,,62.7,75,,67,401,全量(仅A)·声誉待补
浦东新区,上海市浦东新区建平康梧中学,226,14,-0.095,,,,,62,76,,68,419,全量(仅A)·声誉待补
浦东新区,上海市洪山中学,242,15,-0.103,,,,,61.9,77,,69,440,全量(仅A)·声誉待补
浦东新区,上海市进才实验中学,404,25,0.978,,,76,第二梯队｜机构公众号梯队列,61.7,2,,70,16,全量(仅A)·含声誉
浦东新区,上海市上南中学北校,178,11,-0.123,,,,,61.6,78,,71,424,全量(仅A)·声誉待补
浦东新区,上海立信会计金融学院附属高行中学,226,14,-0.127,,,,,61.5,79,,72,423,全量(仅A)·声誉待补
浦东新区,上海市育人中学,226,14,-0.132,,,,,61.4,80,,73,427,全量(仅A)·声誉待补
浦东新区,上海市沪新中学,145,9,-0.148,,,,,61.2,81,,74,429,全量(仅A)·声誉待补
浦东新区,上海戏剧学院附属浦东实验中学,145,9,-0.164,,,,,60.9,82,,75,446,全量(仅A)·声誉待补
浦东新区,上海市浦东外国语学校东校,145,9,-0.188,,,,,60.5,83,,76,445,全量(仅A)·声誉待补
浦东新区,上海市六灶中学,145,9,-0.241,,,,,59.7,85,,77,457,全量(仅A)·声誉待补
浦东新区,上海市三林中学东校,145,9,-0.239,,,,,59.7,84,,78,456,全量(仅A)·声誉待补
浦东新区,上海市蔡路中学,145,9,-0.245,,,,,59.6,86,,79,471,全量(仅A)·声誉待补
浦东新区,华东师范大学第二附属中学前滩学校,178,11,0,50,28.1,,,59.4,131,3,80,655,仅B(缺A)·声誉待补
浦东新区,上海师范大学附属高桥实验中学,420,26,0.498,,,76,第二梯队｜机构公众号梯队列,59.1,39,,81,223,全量(仅A)·含声誉
浦东新区,上海市陆行中学北校,145,9,-0.282,,,,,59,87,,82,466,全量(仅A)·声誉待补
浦东新区,上海市罗山中学,258,16,0.446,,,76,第二梯队｜机构公众号梯队列,58.9,43,,83,215,全量(仅A)·含声誉
浦东新区,上海浦东新区民办欣竹中学,387,24,0.832,60,15.5,76,第二梯队｜机构公众号梯队列,58.5,6,6,84,47,双覆盖·含声誉
浦东新区,上海市东沟中学,145,9,-0.354,,,,,57.8,88,,85,472,全量(仅A)·声誉待补
浦东新区,上海市江镇中学,178,11,-0.359,,,,,57.7,89,,86,473,全量(仅A)·声誉待补
浦东新区,上海中医药大学附属浦东鹤沙学校,210,13,-0.382,,,,,57.4,90,,87,491,全量(仅A)·声誉待补
浦东新区,上海市黄路学校,145,9,-0.393,,,,,57.2,91,,88,487,全量(仅A)·声誉待补
浦东新区,上海市凌桥中学,145,9,-0.418,,,,,56.8,92,,89,484,全量(仅A)·声誉待补
浦东新区,上海市大团中学,194,12,-0.45,,,,,56.3,93,,90,492,全量(仅A)·声誉待补
浦东新区,上海市孙桥中学,145,9,-0.464,,,,,56,94,,91,494,全量(仅A)·声誉待补
浦东新区,上海市川沙中学南校,533,33,0.72,25,4.7,,,55.3,22,9,92,100,双覆盖·声誉待补
浦东新区,上海市建平实验中学,565,35,0.852,40,7.1,76,第二梯队｜机构公众号梯队列,54.7,5,8,93,43,双覆盖·含声誉
浦东新区,上海浦东新区民办协和双语学校,129,8,-0.555,,,,,54.5,95,,94,513,全量(仅A)·声誉待补
浦东新区,上海市高东中学,129,8,-0.57,,,,,54.3,96,,95,515,全量(仅A)·声誉待补
浦东新区,上海市浦东新区进才万祥学校,274,17,-0.576,,,,,54.2,97,,96,526,全量(仅A)·声誉待补
浦东新区,上海市民办平和学校,178,11,-0.585,,,,,54.1,98,,97,532,全量(仅A)·声誉待补
浦东新区,上海市浦泾中学,145,9,-0.598,,,,,53.8,99,,98,523,全量(仅A)·声誉待补
浦东新区,上海市育民中学,210,13,-0.744,,,,,51.5,100,,99,541,全量(仅A)·声誉待补
浦东新区,上海市民办尚德实验学校,468,29,0,102,21.8,,,51.5,125,4,100,649,仅B(缺A)·声誉待补
浦东新区,上海民办光华中学,145,9,-0.811,,,,,50.4,101,,101,549,全量(仅A)·声誉待补
浦东新区,上海市新云台中学,,,-0.835,,,,,50,102,,102,551,全量(仅A)·声誉待补
浦东新区,上海市合庆中学,129,8,-0.863,,,,,49.5,103,,103,552,全量(仅A)·声誉待补
浦东新区,上海市泥城中学,194,12,-1.025,,,,,46.9,104,,104,568,全量(仅A)·声誉待补
浦东新区,上海市宣桥学校,145,9,-1.031,,,,,46.8,105,,105,572,全量(仅A)·声誉待补
浦东新区,上海市浦东新区教育学院附属实验中学,145,9,-1.055,,,,,46.4,106,,106,578,全量(仅A)·声誉待补
浦东新区,上海市绿川学校,145,9,-1.063,,,,,46.3,107,,107,566,全量(仅A)·声誉待补
浦东新区,上海市施湾中学,145,9,-1.207,,,,,43.9,108,,108,583,全量(仅A)·声誉待补
浦东新区,上海市金川中学,,,-1.242,,,,,43.4,109,,109,581,全量(仅A)·声誉待补
浦东新区,上海市泾南中学,145,9,-1.271,,,,,42.9,111,,110,582,全量(仅A)·声誉待补
浦东新区,上海市浦东新区彭镇中学,404,25,-1.269,,,,,42.9,110,,111,595,全量(仅A)·声誉待补
浦东新区,上海市三灶学校,145,9,-1.324,,,,,42,112,,112,584,全量(仅A)·声誉待补
浦东新区,上海市东林中学,145,9,-1.449,,,,,40,113,,113,602,全量(仅A)·声誉待补
浦东新区,上海市历城中学,145,9,-1.465,,,,,39.8,114,,114,598,全量(仅A)·声誉待补
浦东新区,上海市黄楼中学,145,9,-1.592,,,,,37.7,115,,115,605,全量(仅A)·声誉待补
浦东新区,上海师范大学附属浦东秋萍学校,194,12,-1.716,,,,,35.7,116,,116,623,全量(仅A)·声誉待补
浦东新区,上海市书院中学,178,11,-1.742,,,,,35.3,117,,117,614,全量(仅A)·声誉待补
浦东新区,上海市浦东教育发展研究院附属中学,145,9,-1.77,,,,,34.8,118,,118,611,全量(仅A)·声誉待补
浦东新区,上海市周浦育才学校,129,8,-2.095,,,,,29.5,119,,119,626,全量(仅A)·声誉待补
浦东新区,上海市致远中学,274,17,1.01,,,58,第三梯队｜机构公众号梯队列,27.5,1,,120,13,全量(仅A)·含声誉
浦东新区,上海市坦直中学,129,8,-2.238,,,,,27.2,120,,121,629,全量(仅A)·声誉待补
浦东新区,上海市六团中学,145,9,-2.395,,,,,24.6,121,,122,632,全量(仅A)·声誉待补
浦东新区,上海市上南中学东校,436,27,0.439,,,58,第三梯队｜机构公众号梯队列,24.4,44,,123,235,全量(仅A)·含声誉
浦东新区,上海市洋泾中学东校,161,10,0.289,,,58,第三梯队｜机构公众号梯队列,23.6,59,,124,298,全量(仅A)·含声誉
浦东新区,上海市老港中学,145,9,-2.504,,,,,22.9,122,,125,634,全量(仅A)·声誉待补
浦东新区,上海市三墩学校,178,11,-2.585,,,,,21.5,123,,126,637,全量(仅A)·声誉待补
浦东新区,上海市东海学校,129,8,-2.68,,,,,20,124,,127,636,全量(仅A)·声誉待补
浦东新区,上海市周浦实验学校,291,18,0,,,,,,126,,,650,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办远翔实验学校,210,13,0,,,,,,127,,,651,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办进德外国语中学,210,13,0,,,,,,128,,,652,全量(仅A)·声誉待补
浦东新区,上海市浦东新区进才书院学校,178,11,0,,,,,,130,,,654,全量(仅A)·声誉待补
浦东新区,上海浦东民办来科技学校,178,11,0,,,,,,132,,,656,全量(仅A)·声誉待补
浦东新区,上海市今日学校,161,10,0,,,,,,133,,,657,全量(仅A)·声誉待补
浦东新区,上海市川沙中学北校,145,9,0,,,,,,134,,,658,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办东鼎外国语学校,145,9,0,,,,,,135,,,659,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办沪港学校,145,9,0,,,,,,136,,,660,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办更新学校,145,9,0,,,,,,137,,,661,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办万科学校,145,9,0,,,,,,138,,,662,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办惠立学校,145,9,0,,,,,,139,,,663,全量(仅A)·声誉待补
浦东新区,上海科技大学附属学校,145,9,0,,,,,,140,,,664,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办宏文学校,129,8,0,,,,,,141,,,665,全量(仅A)·声誉待补
浦东新区,上海市浦东新区东城学校,129,8,0,,,,,,142,,,666,全量(仅A)·声誉待补
黄浦区,向明初级中学,379,91,0.675,,,92,第一梯队｜机构公众号梯队列,91.7,3,,1,153,全量(仅A)·含声誉
黄浦区,大同初级中学,350,84,0.583,,,92,第一梯队｜机构公众号梯队列,91.3,4,,2,232,全量(仅A)·含声誉
黄浦区,格致初级中学,488,117,0.175,80,16.4,92,第一梯队｜机构公众号梯队列,89.4,10,1,3,391,双覆盖·含声誉
黄浦区,民办立达中学,288,69,0.134,,,92,第一梯队｜机构公众号梯队列,89.2,11,,4,385,全量(仅A)·含声誉
黄浦区,大境初级中学,271,65,0.846,,,,,80,1,,5,99,全量(仅A)·声誉待补
黄浦区,中山学校,229,55,0.35,,,,,73,5,,6,322,全量(仅A)·声誉待补
黄浦区,尚文中学,167,40,0.291,,,,,72.2,6,,7,358,全量(仅A)·声誉待补
