2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
嘉定区,,上海市嘉定区封浜高级中学,593.5,,,,,,,
嘉定区,,上海市民办远东学校,546.5,,,,,,,
嘉定区,,上海华旭双语学校,492.5,,,,,,未录满,
嘉定区,,上海嘉定区民办华盛怀少学校,505.5,,,,,,未录满,
嘉定区,,上海市同济黄浦设计创意中学,638.5,,,,,,,
嘉定区,,上海市上海中学,716.5,,,,,,,
嘉定区,,上海市久隆模范中学,/,,,,,,未录满,
嘉定区,,上海田家炳中学,658,388,,,,,,
嘉定区,,上海戏剧学院附属高级中学,588,,,,,,,
嘉定区,,上海安生学校,531.5,,,,,,,
嘉定区,,上海音乐学院附属安师实验中学,614.5,,,,,,,
嘉定区,,上海交通大学附属中学,717.5,,,,,,,
嘉定区,,复旦大学附属中学,718,,,,,,,
嘉定区,,上海圣华紫竹高级中学,510,,,,,,未录满,
嘉定区,,上海民办行中中学,542.5,,,,,,,
嘉定区,,上海存志高级中学,646,,,,,,,
嘉定区,,上海创艺高级中学,519,,,,,,未录满,
嘉定区,,上海市宝山华曜高级中学,638,,,,,,,
嘉定区,,上海市同洲模范学校,544,310,,,,,,
嘉定区,,上海金瑞学校,/,,,,,,未录满,
嘉定区,,上海宝山区世外学校,674,,,,,,,
嘉定区,,华东师范大学第二附属中学,716,,,,,,,
嘉定区,,上海师范大学附属中学,698.5,410.5,,,,,,
嘉定区,,上海市浦东新区民办浦实高级中学,543.5,,,,,,,
嘉定区,,上海市民办丰华高级中学,610,355,,,,,,
嘉定区,,民办上海工商外国语职业学院附属中学,578,,,,,,,
嘉定区,,上海浦东新区民办东鼎外国语学校,588,,,,,,,
嘉定区,,上海市民办尚德实验学校,634.5,,,,,,,
嘉定区,,上海市民办交大南洋中学,582.5,,,,,,,
嘉定区,,上海市民办永昌中学,509,,,,,,,
嘉定区,,上海金山区世外学校,653.5,,,,,,,
嘉定区,,上海市松江区科德高级中学,/,,,,,,未录满,
嘉定区,,上海市松江区励滕高级中学,/,,,,,,未录满,
嘉定区,,上海市西外外国语学校,588,336.5,,,,,,
嘉定区,,上海赫贤学校,572.5,,,,,,,
嘉定区,,上海松江区爱菊学校,648,,,,,,未录满,
嘉定区,,上海青浦区世外高级中学,591,,,,,,,
嘉定区,,2026年嘉定区统一招生录取“1至15志愿”,2026年嘉定区统一招生录取“ 1至15志愿”,2026年嘉定区统一招生录取“ 1至15志愿”,2026年嘉定区统一招生录取“ 1至15志愿”,,,,2026年嘉定区统一招生录取“ 1至15志愿”,
嘉定区,,高中学校投档分数线,高中学校投档分数线,高中学校投档分数线,高中学校投档分数线,,,,高中学校投档分数线,
嘉定区,,上海青浦区宏润博源高级中学,/,,,,,,未录满,
嘉定区,,上海青浦区协和双语学校,509.5,,,,,,未录满,
嘉定区,,上海美达菲双语高级中学,/,,,,,,未录满,
嘉定区,,上海奉贤区博华高级中学,578,,,,,,,
嘉定区,,上海市崇明区城桥中学,581,,,,,,,
嘉定区,,上海市崇明区堡镇中学,636,,,,,,,
嘉定区,,上海民办民一中学,529,,,,,,,
嘉定区,,上海新纪元双语学校,/,,,,,,未录满,
奉贤区,202001,上海市奉贤中学,690,406,138,126,143,否,,
奉贤区,202002,华东师范大学第二附属中学临港奉贤分校,682.5,401.5,129,130,134,否,,
奉贤区,012002,上海市格致中学,682,402,129,133,136,否,,
奉贤区,203002,华东理工大学附属奉贤曙光中学,659.5,385.5,125,121,131,否,,
奉贤区,204001,东华大学附属奉贤致远中学,637.5,371.5,128,113,131,否,,
奉贤区,204005,上海应用技术大学附属奉贤奉城高级中学,616.5,362.5,133,126,120,否,,
奉贤区,204006,上海师范大学第四附属中学,579,336,119,103,113,否,,
