序号,学校 招生代码,学校名称,所属区,办别,学校类型,寄宿情况,合计,其中:市级优秀体育学生,其中:市级艺术骨干学生
68,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,48,0,0
69,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,56,4,4
70,151078,上海中学东校,浦东新区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,44,2,2
71,152005,上海市浦东复旦附中分校,浦东新区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,36,4,3
72,153002,华东师范大学附属东昌中学,浦东新区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,84,0,0
73,154009,上海市香山中学,浦东新区,公办,"区实验性示范性高中
（市特色普通高中）",无寄宿,60,0,0
74,154013,上海海事大学附属北蔡高级中学,浦东新区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,48,0,0
75,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,48,4,6
76,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,54,11,5
77,163001,上海师范大学第二附属中学,金山区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,48,0,0
78,164000,华东师范大学附属枫泾中学,金山区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,36,0,0
79,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,56,10,6
80,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,56,11,5
81,172002,"华东师范大学第二附属中学
松江分校",松江区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,14,0,0
82,174003,"上海外国语大学附属外国语学校
松江云间中学",松江区,公办,"享受市实验性示范性高中
招生政策高中",部分寄宿,40,0,0
83,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,65,7,3
84,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,59,2,2
85,182002,复旦大学附属中学青浦分校,青浦区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,31,6,4
86,184005,上海市青浦区第一中学,青浦区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,49,0,0
87,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,51,6,3
88,202002,"华东师范大学第二附属中学
临港奉贤分校",奉贤区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,21,0,0
89,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,38,4,2
90,512001,上海市实验学校东滩高级中学,崇明区,公办,"享受市实验性示范性高中
招生政策高中",全部寄宿,15,0,0
91,514001,上海市崇明区城桥中学,崇明区,公办,"区实验性示范性高中
（市特色普通高中）",部分寄宿,58,18,3
