year,district_id,school_name,min_score
2025,16,上海市奉贤区奉城高级中学,615.50
2025,16,上海师范大学第四附属中学,581.00
2025,16,上海奉贤区博华高级中学,541.50
2025,16,上海美达菲双语高级中学,514.00
2025,16,上海市上海中学,706.00
2025,16,上海田家炳中学,643.00
2025,16,上海戏剧学院附属高级中学（艺术班）,670.00
2025,16,上海交通大学附属中学,705.00
2025,16,上海市民办文绮中学,648.00
2025,16,上海存志高级中学,577.00
2025,16,上海市宝山华曜高级中学,552.50
2025,16,上海市同洲模范学校,538.00
2025,16,上海市民办远东学校,550.50
2025,16,华东师范大学第二附属中学,697.50
2025,16,上海师范大学附属中学,691.50
2025,16,上海市民办丰华高级中学,579.50
2025,16,民办上海工商外国语职业学院附属中学,565.00
2025,16,上海浦东新区民办东鼎外国语学校,579.50
2025,16,上海市民办尚德实验学校,649.00
2025,16,上海市民办交大南洋中学,566.00
2025,16,上海市民办永昌中学,562.00
2025,16,上海金山区世外学校,627.00
2025,16,上海市西外外国语学校,536.50
2025,16,上海赫贤学校,620.00
2025,16,上海青浦区世外高级中学,611.50
2024,5,上海市第一中学,615.50
2024,5,上海市风华中学,650.00
2024,5,上海市第六十中学,638.00
2024,5,上海市彭浦中学,626.50
2025,16,上海民办民一中学,579.00
2025,17,上海市崇明中学,659.00
2025,10,上海田家炳中学,644.00
2025,10,上海市民办扬波中学,557.00
2025,10,上海市浦东新区民办浦实高级中学,513.00
2025,10,上海领科双语学校,644.00
2025,10,上海松江区爱菊学校,513.00
2025,10,上海青浦区协和双语学校,513.00
2025,10,上海奉贤区博华高级中学,545.00
2025,10,上海市崇明区城桥中学,570.50
2025,11,上海市久隆模范中学,640.50
2025,11,上海田家炳中学,647.00
2025,11,上海市民办新和中学,592.00
2025,16,上海市崇明区城桥中学,577.50
2025,17,上海市扬子中学,573.00
2025,17,上海师范大学附属宝山罗店中学,716.50
2024,9,上海市同济黄浦设计创意中学,628.00
2024,9,上海市第二中学（梅陇校区）,682.50
2024,9,上海市上海中学,710.50
2024,9,上海市民办西南高级中学,632.50
2024,9,上海市久隆模范中学,621.00
2024,9,上海田家炳中学,630.50
2024,9,上海安生学校,550.50
2025,17,上海民办民一中学,710.00
2024,9,上海市民办交大南洋中学,581.50
2024,9,上海宋庆龄学校,608.50
2024,9,上海美达菲双语高级中学,571.50
2025,17,上海市崇明区横沙中学,665.50
2025,17,上海市上海中学,703.50
2025,17,华东师范大学第二附属中学,712.00
2025,17,上海交通大学附属中学,705.00
2025,17,复旦大学附属中学,706.00
2025,17,上海师范大学附属中学,691.50
2024,12,上海市泾南中学,574.50
2024,12,上海市香山中学,612.50
2024,12,上海市沪新中学,563.50
2024,12,上海市陆行中学,637.00
2024,12,上海市浦东中学,590.00
2024,12,上海海事大学附属北蔡高级中学,661.00
2024,12,上海市育民中学,614.50
2024,12,上海市江镇中学,580.50
2024,4,华东师范大学附属天山学校,641.50
2024,4,华东政法大学附属中学,623.00
2024,4,上海音乐学院附属安师实验中学,615.50
2024,12,上海青浦区协和双语学校,559.50
2024,12,上海美达菲双语高级中学,524.50
2024,12,上海奉贤区博华高级中学,567.50
2025,7,同济大学附属澄衷中学,691.50
2025,16,上海市奉贤区景秀高级中学,593.00
2024,11,同济大学附属七一中学,645.00
2025,7,华东师范大学第一附属中学,672.50
2025,7,上海市继光高级中学,691.50
2025,10,上海七宝德怀特高级中学,635.00
2025,15,上海青浦区协和双语学校,525.50
2024,9,上海奉贤区博华高级中学,581.00
2025,7,上海师范大学附属虹口中学,627.00
2025,3,上海市位育附属徐汇科技实验中学,682.50
2025,12,上海市徐汇中学,692.00
2024,13,同济大学附属七一中学,630.50
2024,6,同济大学附属七一中学,653.50
2024,6,上海大学市北附属中学,570.50
2024,2,同济大学附属七一中学,626.50
2024,2,上海大学市北附属中学,586.00
2024,10,同济大学附属七一中学,640.00
2024,10,上海大学市北附属中学,575.50
2024,12,同济大学附属七一中学,639.00
2024,12,上海市风华中学,442.00
2024,16,同济大学附属七一中学,631.00
2024,4,上海市民办交大南洋中学,540.50
2024,4,上海市西外外国语学校,520.50
