id,name,short_name,district
489,上海市实验学校南校,上海市实验学,浦东新区
141,上海市第一中学,上海市第一中,静安区
325,上海市海滨第二中学,上海市海滨第,宝山区
235,上海市思源中学,上海市思源中,杨浦区
635,上海政法学院附属青浦崧淀中学,上海政法学院,青浦区
183,上海市洛川学校,上海市洛川学,普陀区
674,上海市奉贤区柘林学校,上海市奉贤区,奉贤区
562,上海市山阳中学,上海市山阳中,金山区
115,上海市延安初级中学,上海市延安初,长宁区
186,上海市普陀区教育学院附属学校,上海市普陀区,普陀区
352,上海市宝山实验学校,上海市宝山实,宝山区
93,上海市第四中学,上海市第四中,徐汇区
138,上海市彭浦第四中学,上海市彭浦第,静安区
501,上海第二工业大学附属龚路中学,上海第二工业,浦东新区
90,上海市第五十四中学,上海市第五十,徐汇区
125,民办上海上外静安外国语中学,民办上海上外,静安区
253,上海市市光学校,上海市市光学,杨浦区
288,上海市闵行区教育学院附属友爱实验中学,上海市闵行区,闵行区
363,上海市宝山区馨家园学校,上海市宝山区,宝山区
474,上海市六灶中学,上海市六灶中,浦东新区
191,上海市中远实验学校,上海市中远实,普陀区
242,上海民办杨浦凯慧初级中学,上海民办杨浦,杨浦区
521,上海市民办金苹果学校,上海市民办金,浦东新区
541,上海市康城学校,上海市康城学,浦东新区
688,上海市奉贤区肇文学校,上海市奉贤区,奉贤区
276,上海市吴泾中学,上海市吴泾中,闵行区
520,上海市建平实验中学,上海市建平实,浦东新区
177,上海培佳双语学校,上海培佳双语,普陀区
26,上海市嘉定区华亭学校,,嘉定区
411,上海市嘉定区华亭学校,上海市嘉定区,嘉定区
284,上海市闵行中学附属实验中学,上海市闵行中,闵行区
67,上音比乐中学,上音比乐中学,黄浦区
473,上海市澧溪中学,上海市澧溪中,浦东新区
394,上海市民办嘉一联合中学,上海市民办嘉,嘉定区
9,上海市民办嘉一联合中学,,嘉定区
241,上海市存志学校,上海市存志学,杨浦区
193,上海外国语大学尚阳外国语学校,上海外国语大,普陀区
224,上海市杨浦初级中学,上海市杨浦初,杨浦区
513,上海市泥城中学,上海市泥城中,浦东新区
132,上海市彭浦初级中学,上海市彭浦初,静安区
531,上海市浦东新区彭镇中学,上海市浦东新,浦东新区
24,上海市民办远东学校,,嘉定区
409,上海市民办远东学校,上海市民办远,嘉定区
636,上海市教育学会青浦清河湾中学,上海市教育学,青浦区
168,上海市曹杨中学,上海市曹杨中,普陀区
46,上海市曹杨中学,曹杨中学,普陀区
452,上海市川沙中学华夏西校,上海市川沙中,浦东新区
286,上海市骏博外国语学校,上海市骏博外,闵行区
344,上海市宝山区杨泰实验中学,上海市宝山区,宝山区
162,上海市怒江中学,上海市怒江中,普陀区
291,上海市七宝中学附属鑫都实验中学,上海市七宝中,闵行区
357,上海市宝山区天馨学校,上海市宝山区,宝山区
124,上海市五四中学,上海市五四中,静安区
345,上海师范大学附属宝山经纬实验中学,上海师范大学,宝山区
528,上海市浦东新区建平南汇实验学校,上海市浦东新,浦东新区
51,向明初级中学,向明初级中学,黄浦区
231,上海理工大学附属初级中学,上海理工大学,杨浦区
110,上海市泸定中学,上海市泸定中,长宁区
591,上海市松江九峰实验学校,上海市松江九,松江区
516,上海市绿川学校,上海市绿川学,浦东新区
274,上海市七宝实验中学,上海市七宝实,闵行区
551,上海浦东新区民办万科学校,上海浦东新区,浦东新区
360,华东师范大学宝山实验学校,华东师范大学,宝山区
228,上海市建设初级中学,上海市建设初,杨浦区
103,上海市第三女子初级中学,上海市第三女,长宁区
341,上海市宝山区罗店第二中学,上海市宝山区,宝山区
317,上海闵行区民办美高双语学校,上海闵行区民,闵行区
589,上海市松江区新桥中学,上海市松江区,松江区
558,上海市罗星中学,上海市罗星中,金山区
320,上海闵行区民办德闳学校,上海闵行区民,闵行区
161,华东师范大学第四附属中学,华东师范大学,普陀区
310,上海市燎原双语学校,上海市燎原双,闵行区
453,上海市陆行中学北校,上海市陆行中,浦东新区
596,上海市松江区泖港学校,上海市松江区,松江区
670,上海市奉贤区华亭学校,上海市奉贤区,奉贤区
53,光明初级中学,光明初级中学,黄浦区
312,上海市民办协和双语学校,上海市民办协,闵行区
328,上海市虎林中学,上海市虎林中,宝山区
543,上海浦东新区民办东鼎外国语学校,上海浦东新区,浦东新区
379,上海宝山区世外学校,上海宝山区世,宝山区
722,上海市崇明区长明中学,,崇明区
504,上海市江镇中学,上海市江镇中,浦东新区
702,上海市崇明区长明中学,上海市崇明区,崇明区
523,上海市民办中芯学校,上海市民办中,浦东新区
180,上海市沙田学校,上海市沙田学,普陀区
329,上海市泗塘中学,上海市泗塘中,宝山区
503,上海市侨光中学,上海市侨光中,浦东新区
716,上海市崇明区向化中学,,崇明区
695,上海市崇明区向化中学,上海市崇明区,崇明区
634,上海市青浦区金泽中学,上海市青浦区,青浦区
443,上海市施湾中学,上海市施湾中,浦东新区
724,上海市崇明区庙镇学校,,崇明区
704,上海市崇明区庙镇学校,上海市崇明区,崇明区
96,华东理工大学附属中学,华东理工大学,徐汇区
479,上海市北蔡中学,上海市北蔡中,浦东新区
369,上海市教育学会宝山实验学校,上海市教育学,宝山区
457,上海市六团中学,上海市六团中,浦东新区
518,上海市民办平和学校,上海市民办平,浦东新区
630,上海市青浦区白鹤中学,上海市青浦区,青浦区
222,上海市鞍山初级中学,上海市鞍山初,杨浦区
455,上海市浦东新区进才实验中学南校,上海市浦东新,浦东新区
421,上海市建平中学西校,上海市建平中,浦东新区
540,上海市今日学校,上海市今日学,浦东新区
364,上海世外教育附属宝山大华实验学校,上海世外教育,宝山区
592,上海领科双语学校,上海领科双语,松江区
279,上海市闵行区浦航实验中学,上海市闵行区,闵行区
