year,school_id,school_code,school_name,district_id,is_local,school_type,nature,quota_count,boarding,fee,belongs_district,source
2026,235,155043,上海市民办尚德实验学校,11,0,一般高中,民办,3,部分寄宿,50000,浦东新区,2026_tongyi_external_jiading.pdf
2026,341,164005,上海市民办交大南洋中学,11,0,一般高中,民办,20,部分寄宿,18000,金山区,2026_tongyi_external_jiading.pdf
2026,251,164008,上海市民办永昌中学,11,0,一般高中,民办,5,全部寄宿,40000,金山区,2026_tongyi_external_jiading.pdf
2026,249,165004,上海金山区世外学校,11,0,一般高中,民办,3,全部寄宿,40000,金山区,2026_tongyi_external_jiading.pdf
2026,263,173002,上海市松江区科德高级中学,11,0,一般高中,民办,2,全部寄宿,90000,松江区,2026_tongyi_external_jiading.pdf
2026,360,173005,上海市松江区励滕高级中学,11,0,一般高中,民办,2,部分寄宿,,松江区,2026_tongyi_external_jiading.pdf
2026,267,175018,上海市西外外国语学校,11,0,一般高中,民办,7,部分寄宿,32000,松江区,2026_tongyi_external_jiading.pdf
2026,269,175024,上海赫贤学校,11,0,一般高中,民办,3,部分寄宿,102000,松江区,2026_tongyi_external_jiading.pdf
2026,270,175025,上海松江区爱菊学校,11,0,一般高中,民办,3,部分寄宿,75000,松江区,2026_tongyi_external_jiading.pdf
2026,277,184006,上海青浦区世外高级中学,11,0,一般高中,民办,2,部分寄宿,95000,青浦区,2026_tongyi_external_jiading.pdf
2026,278,184007,上海青浦区宏润博源高级中学,11,0,一般高中,民办,1,部分寄宿,87000,青浦区,2026_tongyi_external_jiading.pdf
2026,279,185014,上海青浦区协和双语学校,11,0,一般高中,民办,5,全部寄宿,85000,青浦区,2026_tongyi_external_jiading.pdf
2026,342,204020,上海美达菲双语高级中学,11,0,一般高中,民办,2,部分寄宿,40000,奉贤区,2026_tongyi_external_jiading.pdf
2026,364,204021,上海奉贤区博华高级中学,11,0,一般高中,民办,5,部分寄宿,21200,奉贤区,2026_tongyi_external_jiading.pdf
2026,291,514001,上海市崇明区城桥中学,11,0,区实验性示范性高中（市特色普通高中）,公办,1,部分寄宿,900,崇明区,2026_tongyi_external_jiading.pdf
2026,294,514004,上海市崇明区堡镇中学,11,0,区实验性示范性高中,公办,1,部分寄宿,900,崇明区,2026_tongyi_external_jiading.pdf
2026,295,514010,上海民办民一中学,11,0,一般高中,民办,12,部分寄宿,20000,崇明区,2026_tongyi_external_jiading.pdf
2026,365,514014,上海新纪元双语学校,11,0,一般高中,民办,3,全部寄宿,55000,崇明区,2026_tongyi_external_jiading.pdf
