序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
34,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,4
35,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,宝山,9
36,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,宝山,10
37,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,宝山,10
38,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,2
39,133003,"华东师范大学第二附属中学（宝山校区）",宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,3
40,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,宝山,9
41,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,5
42,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,8
43,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,宝山,6
44,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,8
45,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,4
46,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,7
47,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,宝山,6
48,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,6
49,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,宝山,2
50,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,宝山,2
51,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,宝山,3
52,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,宝山,3
53,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,1
54,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,宝山,4
55,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,宝山,6
56,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,宝山,8
57,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,2
58,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,宝山,1
59,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,宝山,8
60,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,宝山,3
