序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
29,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,浦东,6
30,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,浦东,15
31,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,浦东,8
32,092001,上海市复兴高级中学,虹口区,公办,市实验性示范性高中,部分寄宿,浦东,13
33,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,浦东,17
34,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,浦东,15
35,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,浦东,34
36,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,浦东,20
37,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,浦东,38
38,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,浦东,22
39,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,浦东,28
40,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,浦东,17
41,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,浦东,12
42,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,浦东,17
43,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,浦东,20
44,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,浦东,20
45,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,浦东,24
46,133003,"华东师范大学第二附属中学（宝山校区）",宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,浦东,6
47,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,浦东,10
48,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,浦东,6
49,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,浦东,11
50,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,浦东,11
51,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,浦东,14
52,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,浦东,11
53,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,浦东,10
54,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,浦东,9
55,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,浦东,8
56,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,浦东,6
57,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,浦东,11
58,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,浦东,12
59,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,浦东,12
60,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,浦东,8
61,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,浦东,12
62,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,浦东,12
63,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,浦东,12
64,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,浦东,11
65,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,浦东,4
