序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
35,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,徐汇,1
36,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,徐汇,16
37,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,徐汇,8
38,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,15
39,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,8
40,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,14
41,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,徐汇,2
42,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,徐汇,2
43,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,徐汇,2
44,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,1
45,133003,"华东师范大学第二附属中学（宝山校区）",宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,3
46,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,徐汇,6
47,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,8
48,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,6
49,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,徐汇,7
50,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,7
51,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,6
52,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,4
53,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,徐汇,7
54,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,10
55,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,4
56,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,徐汇,7
57,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,徐汇,5
58,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,徐汇,7
59,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,徐汇,5
60,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,3
61,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,5
62,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,徐汇,4
63,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,徐汇,4
64,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,3
65,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,徐汇,2
66,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,8
67,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,徐汇,2
